"score","seed","alg","task","real"
14228,98128,"EvoCom","Aggregation","simulation"
15524,78246,"EvoCom","Aggregation","simulation"
12025,5081,"EvoCom","Aggregation","simulation"
14407,51028,"EvoCom","Aggregation","simulation"
12743,28832,"EvoCom","Aggregation","simulation"
15074,37383,"EvoCom","Aggregation","simulation"
12865,34385,"EvoCom","Aggregation","simulation"
15735,96043,"EvoCom","Aggregation","simulation"
13928,95415,"EvoCom","Aggregation","simulation"
13268,9221,"EvoCom","Aggregation","simulation"
14742,16672,"EvoCom","Aggregation","simulation"
14485,14671,"EvoCom","Aggregation","simulation"
13779,79820,"EvoCom","Aggregation","simulation"
15152,7583,"EvoCom","Aggregation","simulation"
14922,58134,"EvoCom","Aggregation","simulation"
14712,98128,"Gianduja","Aggregation","simulation"
15568,78246,"Gianduja","Aggregation","simulation"
9848,5081,"Gianduja","Aggregation","simulation"
17611,51028,"Gianduja","Aggregation","simulation"
11815,28832,"Gianduja","Aggregation","simulation"
16929,37383,"Gianduja","Aggregation","simulation"
14413,34385,"Gianduja","Aggregation","simulation"
12744,96043,"Gianduja","Aggregation","simulation"
15547,95415,"Gianduja","Aggregation","simulation"
12771,9221,"Gianduja","Aggregation","simulation"
15798,16672,"Gianduja","Aggregation","simulation"
14038,14671,"Gianduja","Aggregation","simulation"
15187,79820,"Gianduja","Aggregation","simulation"
13848,7583,"Gianduja","Aggregation","simulation"
18160,58134,"Gianduja","Aggregation","simulation"
10776,98128,"Chocolate","Aggregation","simulation"
12094,78246,"Chocolate","Aggregation","simulation"
13524,5081,"Chocolate","Aggregation","simulation"
10412,51028,"Chocolate","Aggregation","simulation"
6812,28832,"Chocolate","Aggregation","simulation"
12273,37383,"Chocolate","Aggregation","simulation"
11059,34385,"Chocolate","Aggregation","simulation"
14391,96043,"Chocolate","Aggregation","simulation"
12605,95415,"Chocolate","Aggregation","simulation"
12293,9221,"Chocolate","Aggregation","simulation"
12395,16672,"Chocolate","Aggregation","simulation"
8072,14671,"Chocolate","Aggregation","simulation"
9337,79820,"Chocolate","Aggregation","simulation"
11325,7583,"Chocolate","Aggregation","simulation"
8599,58134,"Chocolate","Aggregation","simulation"
