"score","seed","alg","task","real"
15085,98128,"EvoComX","Aggregation1X","simulation"
17152,78246,"EvoComX","Aggregation1X","simulation"
13018,5081,"EvoComX","Aggregation1X","simulation"
13301,51028,"EvoComX","Aggregation1X","simulation"
14966,28832,"EvoComX","Aggregation1X","simulation"
11696,37383,"EvoComX","Aggregation1X","simulation"
14980,34385,"EvoComX","Aggregation1X","simulation"
14420,96043,"EvoComX","Aggregation1X","simulation"
14122,95415,"EvoComX","Aggregation1X","simulation"
12866,9221,"EvoComX","Aggregation1X","simulation"
1662,16672,"EvoComX","Aggregation1X","simulation"
10010,14671,"EvoComX","Aggregation1X","simulation"
15449,79820,"EvoComX","Aggregation1X","simulation"
12474,7583,"EvoComX","Aggregation1X","simulation"
9494,58134,"EvoComX","Aggregation1X","simulation"
7868,98128,"GiandujaE","Aggregation1X","simulation"
10877,78246,"GiandujaE","Aggregation1X","simulation"
11937,5081,"GiandujaE","Aggregation1X","simulation"
14735,51028,"GiandujaE","Aggregation1X","simulation"
9926,28832,"GiandujaE","Aggregation1X","simulation"
10033,37383,"GiandujaE","Aggregation1X","simulation"
16209,34385,"GiandujaE","Aggregation1X","simulation"
17181,96043,"GiandujaE","Aggregation1X","simulation"
17395,95415,"GiandujaE","Aggregation1X","simulation"
14538,9221,"GiandujaE","Aggregation1X","simulation"
14807,16672,"GiandujaE","Aggregation1X","simulation"
9910,14671,"GiandujaE","Aggregation1X","simulation"
13306,79820,"GiandujaE","Aggregation1X","simulation"
13615,7583,"GiandujaE","Aggregation1X","simulation"
13913,58134,"GiandujaE","Aggregation1X","simulation"
8913,98128,"GiandujaEX","Aggregation1X","simulation"
13423,78246,"GiandujaEX","Aggregation1X","simulation"
12567,5081,"GiandujaEX","Aggregation1X","simulation"
15032,51028,"GiandujaEX","Aggregation1X","simulation"
12773,28832,"GiandujaEX","Aggregation1X","simulation"
11717,37383,"GiandujaEX","Aggregation1X","simulation"
12604,34385,"GiandujaEX","Aggregation1X","simulation"
12411,96043,"GiandujaEX","Aggregation1X","simulation"
10560,95415,"GiandujaEX","Aggregation1X","simulation"
10741,9221,"GiandujaEX","Aggregation1X","simulation"
11116,16672,"GiandujaEX","Aggregation1X","simulation"
6978,14671,"GiandujaEX","Aggregation1X","simulation"
9841,79820,"GiandujaEX","Aggregation1X","simulation"
10578,7583,"GiandujaEX","Aggregation1X","simulation"
9193,58134,"GiandujaEX","Aggregation1X","simulation"
14228,98128,"EvoCom","Aggregation","simulation"
15524,78246,"EvoCom","Aggregation","simulation"
12025,5081,"EvoCom","Aggregation","simulation"
14407,51028,"EvoCom","Aggregation","simulation"
12743,28832,"EvoCom","Aggregation","simulation"
15074,37383,"EvoCom","Aggregation","simulation"
12865,34385,"EvoCom","Aggregation","simulation"
15735,96043,"EvoCom","Aggregation","simulation"
13928,95415,"EvoCom","Aggregation","simulation"
13268,9221,"EvoCom","Aggregation","simulation"
14742,16672,"EvoCom","Aggregation","simulation"
14485,14671,"EvoCom","Aggregation","simulation"
13779,79820,"EvoCom","Aggregation","simulation"
15152,7583,"EvoCom","Aggregation","simulation"
14922,58134,"EvoCom","Aggregation","simulation"
14712,98128,"Gianduja","Aggregation","simulation"
15568,78246,"Gianduja","Aggregation","simulation"
9848,5081,"Gianduja","Aggregation","simulation"
17611,51028,"Gianduja","Aggregation","simulation"
11815,28832,"Gianduja","Aggregation","simulation"
16929,37383,"Gianduja","Aggregation","simulation"
14413,34385,"Gianduja","Aggregation","simulation"
12744,96043,"Gianduja","Aggregation","simulation"
15547,95415,"Gianduja","Aggregation","simulation"
12771,9221,"Gianduja","Aggregation","simulation"
15798,16672,"Gianduja","Aggregation","simulation"
14038,14671,"Gianduja","Aggregation","simulation"
15187,79820,"Gianduja","Aggregation","simulation"
13848,7583,"Gianduja","Aggregation","simulation"
18160,58134,"Gianduja","Aggregation","simulation"
10776,98128,"Chocolate","Aggregation","simulation"
12094,78246,"Chocolate","Aggregation","simulation"
13524,5081,"Chocolate","Aggregation","simulation"
10412,51028,"Chocolate","Aggregation","simulation"
6812,28832,"Chocolate","Aggregation","simulation"
12273,37383,"Chocolate","Aggregation","simulation"
11059,34385,"Chocolate","Aggregation","simulation"
14391,96043,"Chocolate","Aggregation","simulation"
12605,95415,"Chocolate","Aggregation","simulation"
12293,9221,"Chocolate","Aggregation","simulation"
12395,16672,"Chocolate","Aggregation","simulation"
8072,14671,"Chocolate","Aggregation","simulation"
9337,79820,"Chocolate","Aggregation","simulation"
11325,7583,"Chocolate","Aggregation","simulation"
8599,58134,"Chocolate","Aggregation","simulation"
