"score","seed","alg","task","real"
33751,98128,"EvoComX","Stop1X","simulation"
41345,78246,"EvoComX","Stop1X","simulation"
31085,5081,"EvoComX","Stop1X","simulation"
29502,51028,"EvoComX","Stop1X","simulation"
38010,28832,"EvoComX","Stop1X","simulation"
35881,37383,"EvoComX","Stop1X","simulation"
35266,34385,"EvoComX","Stop1X","simulation"
34954,96043,"EvoComX","Stop1X","simulation"
33825,95415,"EvoComX","Stop1X","simulation"
33988,9221,"EvoComX","Stop1X","simulation"
38254,16672,"EvoComX","Stop1X","simulation"
35036,14671,"EvoComX","Stop1X","simulation"
37703,79820,"EvoComX","Stop1X","simulation"
36619,7583,"EvoComX","Stop1X","simulation"
34946,58134,"EvoComX","Stop1X","simulation"
42402,98128,"GiandujaE","Stop1X","simulation"
20404,78246,"GiandujaE","Stop1X","simulation"
41762,5081,"GiandujaE","Stop1X","simulation"
34915,51028,"GiandujaE","Stop1X","simulation"
40901,28832,"GiandujaE","Stop1X","simulation"
42242,37383,"GiandujaE","Stop1X","simulation"
42893,34385,"GiandujaE","Stop1X","simulation"
40818,96043,"GiandujaE","Stop1X","simulation"
42810,95415,"GiandujaE","Stop1X","simulation"
42866,9221,"GiandujaE","Stop1X","simulation"
10913,16672,"GiandujaE","Stop1X","simulation"
33349,14671,"GiandujaE","Stop1X","simulation"
36401,79820,"GiandujaE","Stop1X","simulation"
43627,7583,"GiandujaE","Stop1X","simulation"
44079,58134,"GiandujaE","Stop1X","simulation"
44070,98128,"GiandujaEX","Stop1X","simulation"
44034,78246,"GiandujaEX","Stop1X","simulation"
39150,5081,"GiandujaEX","Stop1X","simulation"
43224,51028,"GiandujaEX","Stop1X","simulation"
41328,28832,"GiandujaEX","Stop1X","simulation"
40661,37383,"GiandujaEX","Stop1X","simulation"
22812,34385,"GiandujaEX","Stop1X","simulation"
42257,96043,"GiandujaEX","Stop1X","simulation"
38738,95415,"GiandujaEX","Stop1X","simulation"
42718,9221,"GiandujaEX","Stop1X","simulation"
43238,16672,"GiandujaEX","Stop1X","simulation"
37314,14671,"GiandujaEX","Stop1X","simulation"
34712,79820,"GiandujaEX","Stop1X","simulation"
37104,7583,"GiandujaEX","Stop1X","simulation"
44805,58134,"GiandujaEX","Stop1X","simulation"
36819,98128,"EvoCom","Stop","simulation"
38292,78246,"EvoCom","Stop","simulation"
34691,5081,"EvoCom","Stop","simulation"
10578,51028,"EvoCom","Stop","simulation"
34827,28832,"EvoCom","Stop","simulation"
39281,37383,"EvoCom","Stop","simulation"
33330,34385,"EvoCom","Stop","simulation"
39512,96043,"EvoCom","Stop","simulation"
32669,95415,"EvoCom","Stop","simulation"
33084,9221,"EvoCom","Stop","simulation"
37129,16672,"EvoCom","Stop","simulation"
38219,14671,"EvoCom","Stop","simulation"
36264,79820,"EvoCom","Stop","simulation"
36401,7583,"EvoCom","Stop","simulation"
11167,58134,"EvoCom","Stop","simulation"
38806,98128,"Gianduja","Stop","simulation"
41197,78246,"Gianduja","Stop","simulation"
41927,5081,"Gianduja","Stop","simulation"
39107,51028,"Gianduja","Stop","simulation"
37875,28832,"Gianduja","Stop","simulation"
43579,37383,"Gianduja","Stop","simulation"
43709,34385,"Gianduja","Stop","simulation"
43946,96043,"Gianduja","Stop","simulation"
43056,95415,"Gianduja","Stop","simulation"
44864,9221,"Gianduja","Stop","simulation"
44652,16672,"Gianduja","Stop","simulation"
43869,14671,"Gianduja","Stop","simulation"
41876,79820,"Gianduja","Stop","simulation"
43644,7583,"Gianduja","Stop","simulation"
44536,58134,"Gianduja","Stop","simulation"
40441,98128,"Chocolate","Stop","simulation"
42324,78246,"Chocolate","Stop","simulation"
41823,5081,"Chocolate","Stop","simulation"
37968,51028,"Chocolate","Stop","simulation"
40939,28832,"Chocolate","Stop","simulation"
41544,37383,"Chocolate","Stop","simulation"
41040,34385,"Chocolate","Stop","simulation"
2983,96043,"Chocolate","Stop","simulation"
41429,95415,"Chocolate","Stop","simulation"
42485,9221,"Chocolate","Stop","simulation"
41650,16672,"Chocolate","Stop","simulation"
1772,14671,"Chocolate","Stop","simulation"
40747,79820,"Chocolate","Stop","simulation"
33430,7583,"Chocolate","Stop","simulation"
43399,58134,"Chocolate","Stop","simulation"
