"score","seed","alg","task","real"
21615,98128,"EvoComX","Stop1X","simulation"
25241,78246,"EvoComX","Stop1X","simulation"
30862,5081,"EvoComX","Stop1X","simulation"
21751,51028,"EvoComX","Stop1X","simulation"
32685,28832,"EvoComX","Stop1X","simulation"
22580,37383,"EvoComX","Stop1X","simulation"
22131,34385,"EvoComX","Stop1X","simulation"
27011,96043,"EvoComX","Stop1X","simulation"
25229,95415,"EvoComX","Stop1X","simulation"
29134,9221,"EvoComX","Stop1X","simulation"
24270,16672,"EvoComX","Stop1X","simulation"
27114,14671,"EvoComX","Stop1X","simulation"
29063,79820,"EvoComX","Stop1X","simulation"
25601,7583,"EvoComX","Stop1X","simulation"
29719,58134,"EvoComX","Stop1X","simulation"
30508,98128,"GiandujaE","Stop1X","simulation"
22329,78246,"GiandujaE","Stop1X","simulation"
40788,5081,"GiandujaE","Stop1X","simulation"
30065,51028,"GiandujaE","Stop1X","simulation"
25610,28832,"GiandujaE","Stop1X","simulation"
41214,37383,"GiandujaE","Stop1X","simulation"
40817,34385,"GiandujaE","Stop1X","simulation"
41375,96043,"GiandujaE","Stop1X","simulation"
29998,95415,"GiandujaE","Stop1X","simulation"
33270,9221,"GiandujaE","Stop1X","simulation"
17849,16672,"GiandujaE","Stop1X","simulation"
32572,14671,"GiandujaE","Stop1X","simulation"
18018,79820,"GiandujaE","Stop1X","simulation"
42227,7583,"GiandujaE","Stop1X","simulation"
42954,58134,"GiandujaE","Stop1X","simulation"
43055,98128,"GiandujaEX","Stop1X","simulation"
43304,78246,"GiandujaEX","Stop1X","simulation"
35539,5081,"GiandujaEX","Stop1X","simulation"
41844,51028,"GiandujaEX","Stop1X","simulation"
41310,28832,"GiandujaEX","Stop1X","simulation"
36461,37383,"GiandujaEX","Stop1X","simulation"
26209,34385,"GiandujaEX","Stop1X","simulation"
42620,96043,"GiandujaEX","Stop1X","simulation"
26313,95415,"GiandujaEX","Stop1X","simulation"
37711,9221,"GiandujaEX","Stop1X","simulation"
43604,16672,"GiandujaEX","Stop1X","simulation"
36357,14671,"GiandujaEX","Stop1X","simulation"
25908,79820,"GiandujaEX","Stop1X","simulation"
30567,7583,"GiandujaEX","Stop1X","simulation"
43508,58134,"GiandujaEX","Stop1X","simulation"
25585,98128,"GiandujaX","Stop1X","simulation"
25720,78246,"GiandujaX","Stop1X","simulation"
32353,5081,"GiandujaX","Stop1X","simulation"
41572,51028,"GiandujaX","Stop1X","simulation"
41156,28832,"GiandujaX","Stop1X","simulation"
27411,37383,"GiandujaX","Stop1X","simulation"
37712,34385,"GiandujaX","Stop1X","simulation"
40245,96043,"GiandujaX","Stop1X","simulation"
34657,95415,"GiandujaX","Stop1X","simulation"
41099,9221,"GiandujaX","Stop1X","simulation"
31391,16672,"GiandujaX","Stop1X","simulation"
38625,14671,"GiandujaX","Stop1X","simulation"
27360,79820,"GiandujaX","Stop1X","simulation"
35099,7583,"GiandujaX","Stop1X","simulation"
36394,58134,"GiandujaX","Stop1X","simulation"
22090,98128,"EvoCom","Stop1X","simulation"
23203,78246,"EvoCom","Stop1X","simulation"
26601,5081,"EvoCom","Stop1X","simulation"
21569,51028,"EvoCom","Stop1X","simulation"
31018,28832,"EvoCom","Stop1X","simulation"
21512,37383,"EvoCom","Stop1X","simulation"
23807,34385,"EvoCom","Stop1X","simulation"
22299,96043,"EvoCom","Stop1X","simulation"
26862,95415,"EvoCom","Stop1X","simulation"
22851,9221,"EvoCom","Stop1X","simulation"
21872,16672,"EvoCom","Stop1X","simulation"
23546,14671,"EvoCom","Stop1X","simulation"
25452,79820,"EvoCom","Stop1X","simulation"
22650,7583,"EvoCom","Stop1X","simulation"
21868,58134,"EvoCom","Stop1X","simulation"
41354,98128,"Gianduja","Stop1X","simulation"
37437,78246,"Gianduja","Stop1X","simulation"
38290,5081,"Gianduja","Stop1X","simulation"
30078,51028,"Gianduja","Stop1X","simulation"
40320,28832,"Gianduja","Stop1X","simulation"
42083,37383,"Gianduja","Stop1X","simulation"
43113,34385,"Gianduja","Stop1X","simulation"
43871,96043,"Gianduja","Stop1X","simulation"
40625,95415,"Gianduja","Stop1X","simulation"
43190,9221,"Gianduja","Stop1X","simulation"
41885,16672,"Gianduja","Stop1X","simulation"
43030,14671,"Gianduja","Stop1X","simulation"
42741,79820,"Gianduja","Stop1X","simulation"
42258,7583,"Gianduja","Stop1X","simulation"
245,58134,"Gianduja","Stop1X","simulation"
38085,98128,"Chocolate","Stop1X","simulation"
38375,78246,"Chocolate","Stop1X","simulation"
38329,5081,"Chocolate","Stop1X","simulation"
33752,51028,"Chocolate","Stop1X","simulation"
42309,28832,"Chocolate","Stop1X","simulation"
37488,37383,"Chocolate","Stop1X","simulation"
39819,34385,"Chocolate","Stop1X","simulation"
40533,96043,"Chocolate","Stop1X","simulation"
43789,95415,"Chocolate","Stop1X","simulation"
32991,9221,"Chocolate","Stop1X","simulation"
40876,16672,"Chocolate","Stop1X","simulation"
34179,14671,"Chocolate","Stop1X","simulation"
42425,79820,"Chocolate","Stop1X","simulation"
62,7583,"Chocolate","Stop1X","simulation"
40729,58134,"Chocolate","Stop1X","simulation"
