"score","seed","alg","task","real"
5217,78246,"EvoComX","Decision1X","simulation"
19798,5081,"EvoComX","Decision1X","simulation"
21385,51028,"EvoComX","Decision1X","simulation"
10858,28832,"EvoComX","Decision1X","simulation"
6393,37383,"EvoComX","Decision1X","simulation"
5384,34385,"EvoComX","Decision1X","simulation"
8389,96043,"EvoComX","Decision1X","simulation"
13907,95415,"EvoComX","Decision1X","simulation"
20241,9221,"EvoComX","Decision1X","simulation"
10938,16672,"EvoComX","Decision1X","simulation"
8301,14671,"EvoComX","Decision1X","simulation"
16428,79820,"EvoComX","Decision1X","simulation"
8389,7583,"EvoComX","Decision1X","simulation"
19509,58134,"EvoComX","Decision1X","simulation"
21619,78246,"GiandujaE","Decision1X","simulation"
21210,5081,"GiandujaE","Decision1X","simulation"
19983,51028,"GiandujaE","Decision1X","simulation"
20804,28832,"GiandujaE","Decision1X","simulation"
19055,37383,"GiandujaE","Decision1X","simulation"
11683,34385,"GiandujaE","Decision1X","simulation"
21666,96043,"GiandujaE","Decision1X","simulation"
21139,95415,"GiandujaE","Decision1X","simulation"
20284,9221,"GiandujaE","Decision1X","simulation"
22687,16672,"GiandujaE","Decision1X","simulation"
21164,14671,"GiandujaE","Decision1X","simulation"
20642,79820,"GiandujaE","Decision1X","simulation"
19321,7583,"GiandujaE","Decision1X","simulation"
20428,58134,"GiandujaE","Decision1X","simulation"
2691,78246,"GiandujaEX","Decision1X","simulation"
20996,5081,"GiandujaEX","Decision1X","simulation"
12000,51028,"GiandujaEX","Decision1X","simulation"
19832,28832,"GiandujaEX","Decision1X","simulation"
20401,37383,"GiandujaEX","Decision1X","simulation"
19830,34385,"GiandujaEX","Decision1X","simulation"
18665,96043,"GiandujaEX","Decision1X","simulation"
20965,95415,"GiandujaEX","Decision1X","simulation"
17680,9221,"GiandujaEX","Decision1X","simulation"
22687,16672,"GiandujaEX","Decision1X","simulation"
19896,14671,"GiandujaEX","Decision1X","simulation"
2989,79820,"GiandujaEX","Decision1X","simulation"
19321,7583,"GiandujaEX","Decision1X","simulation"
20238,58134,"GiandujaEX","Decision1X","simulation"
2691,78246,"GiandujaX","Decision1X","simulation"
20996,5081,"GiandujaX","Decision1X","simulation"
12000,51028,"GiandujaX","Decision1X","simulation"
21285,28832,"GiandujaX","Decision1X","simulation"
8055,37383,"GiandujaX","Decision1X","simulation"
19830,34385,"GiandujaX","Decision1X","simulation"
21666,96043,"GiandujaX","Decision1X","simulation"
20965,95415,"GiandujaX","Decision1X","simulation"
20705,9221,"GiandujaX","Decision1X","simulation"
20696,16672,"GiandujaX","Decision1X","simulation"
21164,14671,"GiandujaX","Decision1X","simulation"
9475,79820,"GiandujaX","Decision1X","simulation"
19542,7583,"GiandujaX","Decision1X","simulation"
8553,58134,"GiandujaX","Decision1X","simulation"
11705,78246,"EvoCom","Decision1X","simulation"
12756,5081,"EvoCom","Decision1X","simulation"
10784,51028,"EvoCom","Decision1X","simulation"
13367,28832,"EvoCom","Decision1X","simulation"
10752,37383,"EvoCom","Decision1X","simulation"
12126,34385,"EvoCom","Decision1X","simulation"
15594,96043,"EvoCom","Decision1X","simulation"
12641,95415,"EvoCom","Decision1X","simulation"
8446,9221,"EvoCom","Decision1X","simulation"
17672,16672,"EvoCom","Decision1X","simulation"
11091,14671,"EvoCom","Decision1X","simulation"
10303,79820,"EvoCom","Decision1X","simulation"
9626,7583,"EvoCom","Decision1X","simulation"
15676,58134,"EvoCom","Decision1X","simulation"
18084,78246,"Gianduja","Decision1X","simulation"
10679,5081,"Gianduja","Decision1X","simulation"
19364,51028,"Gianduja","Decision1X","simulation"
17125,28832,"Gianduja","Decision1X","simulation"
20608,37383,"Gianduja","Decision1X","simulation"
19830,34385,"Gianduja","Decision1X","simulation"
19755,96043,"Gianduja","Decision1X","simulation"
20636,95415,"Gianduja","Decision1X","simulation"
20284,9221,"Gianduja","Decision1X","simulation"
21000,16672,"Gianduja","Decision1X","simulation"
3927,14671,"Gianduja","Decision1X","simulation"
19552,79820,"Gianduja","Decision1X","simulation"
19321,7583,"Gianduja","Decision1X","simulation"
20238,58134,"Gianduja","Decision1X","simulation"
20215,78246,"Chocolate","Decision1X","simulation"
20996,5081,"Chocolate","Decision1X","simulation"
4785,51028,"Chocolate","Decision1X","simulation"
21285,28832,"Chocolate","Decision1X","simulation"
16885,37383,"Chocolate","Decision1X","simulation"
8589,34385,"Chocolate","Decision1X","simulation"
21596,96043,"Chocolate","Decision1X","simulation"
6778,95415,"Chocolate","Decision1X","simulation"
13165,9221,"Chocolate","Decision1X","simulation"
9805,16672,"Chocolate","Decision1X","simulation"
5788,14671,"Chocolate","Decision1X","simulation"
20365,79820,"Chocolate","Decision1X","simulation"
11496,7583,"Chocolate","Decision1X","simulation"
9425,58134,"Chocolate","Decision1X","simulation"
