"score","seed","alg","task","real"
4964,98128,"Gianduja2","Beacon Aggregation","simulation"
8547,78246,"Gianduja2","Beacon Aggregation","simulation"
8034,5081,"Gianduja2","Beacon Aggregation","simulation"
7690,51028,"Gianduja2","Beacon Aggregation","simulation"
5451,28832,"Gianduja2","Beacon Aggregation","simulation"
8632,37383,"Gianduja2","Beacon Aggregation","simulation"
8958,34385,"Gianduja2","Beacon Aggregation","simulation"
8677,96043,"Gianduja2","Beacon Aggregation","simulation"
7458,95415,"Gianduja2","Beacon Aggregation","simulation"
6566,9221,"Gianduja2","Beacon Aggregation","simulation"
7197,16672,"Gianduja2","Beacon Aggregation","simulation"
5913,14671,"Gianduja2","Beacon Aggregation","simulation"
7532,7550,"Gianduja2","Beacon Aggregation","simulation"
7688,7583,"Gianduja2","Beacon Aggregation","simulation"
9640,58134,"Gianduja2","Beacon Aggregation","simulation"
6887,98128,"Gianduja2E","Beacon Aggregation","simulation"
6299,78246,"Gianduja2E","Beacon Aggregation","simulation"
7686,5081,"Gianduja2E","Beacon Aggregation","simulation"
6951,51028,"Gianduja2E","Beacon Aggregation","simulation"
7751,28832,"Gianduja2E","Beacon Aggregation","simulation"
11808,37383,"Gianduja2E","Beacon Aggregation","simulation"
8245,34385,"Gianduja2E","Beacon Aggregation","simulation"
9205,96043,"Gianduja2E","Beacon Aggregation","simulation"
12658,95415,"Gianduja2E","Beacon Aggregation","simulation"
629,9221,"Gianduja2E","Beacon Aggregation","simulation"
7300,16672,"Gianduja2E","Beacon Aggregation","simulation"
7401,14671,"Gianduja2E","Beacon Aggregation","simulation"
7177,7550,"Gianduja2E","Beacon Aggregation","simulation"
7083,7583,"Gianduja2E","Beacon Aggregation","simulation"
8549,58134,"Gianduja2E","Beacon Aggregation","simulation"
8843,98128,"Gianduja3","Beacon Aggregation","simulation"
8961,78246,"Gianduja3","Beacon Aggregation","simulation"
5361,5081,"Gianduja3","Beacon Aggregation","simulation"
10142,51028,"Gianduja3","Beacon Aggregation","simulation"
7612,28832,"Gianduja3","Beacon Aggregation","simulation"
6700,37383,"Gianduja3","Beacon Aggregation","simulation"
8545,34385,"Gianduja3","Beacon Aggregation","simulation"
11159,96043,"Gianduja3","Beacon Aggregation","simulation"
6537,95415,"Gianduja3","Beacon Aggregation","simulation"
5876,9221,"Gianduja3","Beacon Aggregation","simulation"
946,16672,"Gianduja3","Beacon Aggregation","simulation"
7866,14671,"Gianduja3","Beacon Aggregation","simulation"
7612,7550,"Gianduja3","Beacon Aggregation","simulation"
786,7583,"Gianduja3","Beacon Aggregation","simulation"
7399,58134,"Gianduja3","Beacon Aggregation","simulation"
6521,98128,"Gianduja3E","Beacon Aggregation","simulation"
6766,78246,"Gianduja3E","Beacon Aggregation","simulation"
5941,5081,"Gianduja3E","Beacon Aggregation","simulation"
7724,51028,"Gianduja3E","Beacon Aggregation","simulation"
9777,28832,"Gianduja3E","Beacon Aggregation","simulation"
8041,37383,"Gianduja3E","Beacon Aggregation","simulation"
9318,34385,"Gianduja3E","Beacon Aggregation","simulation"
6399,96043,"Gianduja3E","Beacon Aggregation","simulation"
7981,95415,"Gianduja3E","Beacon Aggregation","simulation"
7441,9221,"Gianduja3E","Beacon Aggregation","simulation"
7455,16672,"Gianduja3E","Beacon Aggregation","simulation"
7937,14671,"Gianduja3E","Beacon Aggregation","simulation"
1100,7550,"Gianduja3E","Beacon Aggregation","simulation"
6671,7583,"Gianduja3E","Beacon Aggregation","simulation"
8656,58134,"Gianduja3E","Beacon Aggregation","simulation"
1099,98128,"EvoCom2","Beacon Aggregation","simulation"
12120,78246,"EvoCom2","Beacon Aggregation","simulation"
13720,5081,"EvoCom2","Beacon Aggregation","simulation"
7367,51028,"EvoCom2","Beacon Aggregation","simulation"
11372,28832,"EvoCom2","Beacon Aggregation","simulation"
12743,37383,"EvoCom2","Beacon Aggregation","simulation"
12836,34385,"EvoCom2","Beacon Aggregation","simulation"
9715,96043,"EvoCom2","Beacon Aggregation","simulation"
12142,95415,"EvoCom2","Beacon Aggregation","simulation"
1073,9221,"EvoCom2","Beacon Aggregation","simulation"
