"score","seed","alg","task","real"
11866,98128,"Gianduja2","Beacon Dec","simulation"
9231,78246,"Gianduja2","Beacon Dec","simulation"
11841,5081,"Gianduja2","Beacon Dec","simulation"
13086,51028,"Gianduja2","Beacon Dec","simulation"
11738,28832,"Gianduja2","Beacon Dec","simulation"
15200,37383,"Gianduja2","Beacon Dec","simulation"
10545,34385,"Gianduja2","Beacon Dec","simulation"
13343,96043,"Gianduja2","Beacon Dec","simulation"
14352,95415,"Gianduja2","Beacon Dec","simulation"
11889,9221,"Gianduja2","Beacon Dec","simulation"
16144,16672,"Gianduja2","Beacon Dec","simulation"
15720,14671,"Gianduja2","Beacon Dec","simulation"
9573,7550,"Gianduja2","Beacon Dec","simulation"
11831,7583,"Gianduja2","Beacon Dec","simulation"
11601,58134,"Gianduja2","Beacon Dec","simulation"
15793,98128,"Gianduja2E","Beacon Dec","simulation"
11055,78246,"Gianduja2E","Beacon Dec","simulation"
14467,5081,"Gianduja2E","Beacon Dec","simulation"
11202,51028,"Gianduja2E","Beacon Dec","simulation"
11362,28832,"Gianduja2E","Beacon Dec","simulation"
11786,37383,"Gianduja2E","Beacon Dec","simulation"
18353,34385,"Gianduja2E","Beacon Dec","simulation"
15348,96043,"Gianduja2E","Beacon Dec","simulation"
12327,95415,"Gianduja2E","Beacon Dec","simulation"
13403,9221,"Gianduja2E","Beacon Dec","simulation"
16273,16672,"Gianduja2E","Beacon Dec","simulation"
11865,14671,"Gianduja2E","Beacon Dec","simulation"
14416,7550,"Gianduja2E","Beacon Dec","simulation"
8039,7583,"Gianduja2E","Beacon Dec","simulation"
11938,58134,"Gianduja2E","Beacon Dec","simulation"
12539,98128,"Gianduja3","Beacon Dec","simulation"
8904,78246,"Gianduja3","Beacon Dec","simulation"
6127,5081,"Gianduja3","Beacon Dec","simulation"
10113,51028,"Gianduja3","Beacon Dec","simulation"
11354,28832,"Gianduja3","Beacon Dec","simulation"
5917,37383,"Gianduja3","Beacon Dec","simulation"
10390,34385,"Gianduja3","Beacon Dec","simulation"
10254,96043,"Gianduja3","Beacon Dec","simulation"
17124,95415,"Gianduja3","Beacon Dec","simulation"
3739,9221,"Gianduja3","Beacon Dec","simulation"
11094,16672,"Gianduja3","Beacon Dec","simulation"
11793,14671,"Gianduja3","Beacon Dec","simulation"
16342,7550,"Gianduja3","Beacon Dec","simulation"
12672,7583,"Gianduja3","Beacon Dec","simulation"
14857,58134,"Gianduja3","Beacon Dec","simulation"
11628,98128,"Gianduja3E","Beacon Dec","simulation"
12950,78246,"Gianduja3E","Beacon Dec","simulation"
11856,5081,"Gianduja3E","Beacon Dec","simulation"
8841,51028,"Gianduja3E","Beacon Dec","simulation"
10759,28832,"Gianduja3E","Beacon Dec","simulation"
11534,37383,"Gianduja3E","Beacon Dec","simulation"
9424,34385,"Gianduja3E","Beacon Dec","simulation"
9333,96043,"Gianduja3E","Beacon Dec","simulation"
15911,95415,"Gianduja3E","Beacon Dec","simulation"
16741,9221,"Gianduja3E","Beacon Dec","simulation"
12465,16672,"Gianduja3E","Beacon Dec","simulation"
12155,14671,"Gianduja3E","Beacon Dec","simulation"
14683,7550,"Gianduja3E","Beacon Dec","simulation"
11362,7583,"Gianduja3E","Beacon Dec","simulation"
12545,58134,"Gianduja3E","Beacon Dec","simulation"
16305,98128,"EvoCom2","Beacon Dec","simulation"
18161,78246,"EvoCom2","Beacon Dec","simulation"
15622,5081,"EvoCom2","Beacon Dec","simulation"
17675,51028,"EvoCom2","Beacon Dec","simulation"
13404,28832,"EvoCom2","Beacon Dec","simulation"
17079,37383,"EvoCom2","Beacon Dec","simulation"
17903,34385,"EvoCom2","Beacon Dec","simulation"
16146,96043,"EvoCom2","Beacon Dec","simulation"
15698,95415,"EvoCom2","Beacon Dec","simulation"
17362,9221,"EvoCom2","Beacon Dec","simulation"
18294,16672,"EvoCom2","Beacon Dec","simulation"
16389,14671,"EvoCom2","Beacon Dec","simulation"
17256,7550,"EvoCom2","Beacon Dec","simulation"
16853,7583,"EvoCom2","Beacon Dec","simulation"
16823,58134,"EvoCom2","Beacon Dec","simulation"
17776,98128,"EvoCom2X","Beacon Dec","simulation"
15359,78246,"EvoCom2X","Beacon Dec","simulation"
16630,5081,"EvoCom2X","Beacon Dec","simulation"
15827,51028,"EvoCom2X","Beacon Dec","simulation"
16917,28832,"EvoCom2X","Beacon Dec","simulation"
17779,37383,"EvoCom2X","Beacon Dec","simulation"
13982,34385,"EvoCom2X","Beacon Dec","simulation"
17883,96043,"EvoCom2X","Beacon Dec","simulation"
17676,95415,"EvoCom2X","Beacon Dec","simulation"
17609,9221,"EvoCom2X","Beacon Dec","simulation"
15293,16672,"EvoCom2X","Beacon Dec","simulation"
13014,14671,"EvoCom2X","Beacon Dec","simulation"
16572,7550,"EvoCom2X","Beacon Dec","simulation"
17285,7583,"EvoCom2X","Beacon Dec","simulation"
16534,58134,"EvoCom2X","Beacon Dec","simulation"
18064,98128,"EvoCom3","Beacon Dec","simulation"
17031,78246,"EvoCom3","Beacon Dec","simulation"
16913,5081,"EvoCom3","Beacon Dec","simulation"
17486,51028,"EvoCom3","Beacon Dec","simulation"
17762,28832,"EvoCom3","Beacon Dec","simulation"
14785,37383,"EvoCom3","Beacon Dec","simulation"
16685,34385,"EvoCom3","Beacon Dec","simulation"
17178,96043,"EvoCom3","Beacon Dec","simulation"
15437,95415,"EvoCom3","Beacon Dec","simulation"
18589,9221,"EvoCom3","Beacon Dec","simulation"
17820,16672,"EvoCom3","Beacon Dec","simulation"
18981,14671,"EvoCom3","Beacon Dec","simulation"
15717,7550,"EvoCom3","Beacon Dec","simulation"
18238,7583,"EvoCom3","Beacon Dec","simulation"
17436,58134,"EvoCom3","Beacon Dec","simulation"
16817,98128,"EvoCom3X","Beacon Dec","simulation"
17061,78246,"EvoCom3X","Beacon Dec","simulation"
14414,5081,"EvoCom3X","Beacon Dec","simulation"
18299,51028,"EvoCom3X","Beacon Dec","simulation"
16417,28832,"EvoCom3X","Beacon Dec","simulation"
16866,37383,"EvoCom3X","Beacon Dec","simulation"
15703,34385,"EvoCom3X","Beacon Dec","simulation"
15320,96043,"EvoCom3X","Beacon Dec","simulation"
15782,95415,"EvoCom3X","Beacon Dec","simulation"
18725,9221,"EvoCom3X","Beacon Dec","simulation"
16611,16672,"EvoCom3X","Beacon Dec","simulation"
15796,14671,"EvoCom3X","Beacon Dec","simulation"
15914,7550,"EvoCom3X","Beacon Dec","simulation"
15917,7583,"EvoCom3X","Beacon Dec","simulation"
15528,58134,"EvoCom3X","Beacon Dec","simulation"
10404,98128,"Gianduja2PR","Beacon Dec","simulation"
7653,78246,"Gianduja2PR","Beacon Dec","simulation"
10243,5081,"Gianduja2PR","Beacon Dec","simulation"
11344,51028,"Gianduja2PR","Beacon Dec","simulation"
7688,28832,"Gianduja2PR","Beacon Dec","simulation"
13151,37383,"Gianduja2PR","Beacon Dec","simulation"
8316,34385,"Gianduja2PR","Beacon Dec","simulation"
12262,96043,"Gianduja2PR","Beacon Dec","simulation"
9315,95415,"Gianduja2PR","Beacon Dec","simulation"
8934,9221,"Gianduja2PR","Beacon Dec","simulation"
14662,16672,"Gianduja2PR","Beacon Dec","simulation"
13785,14671,"Gianduja2PR","Beacon Dec","simulation"
10452,7550,"Gianduja2PR","Beacon Dec","simulation"
7607,7583,"Gianduja2PR","Beacon Dec","simulation"
8804,58134,"Gianduja2PR","Beacon Dec","simulation"
12222,98128,"Gianduja2EPR","Beacon Dec","simulation"
10323,78246,"Gianduja2EPR","Beacon Dec","simulation"
10267,5081,"Gianduja2EPR","Beacon Dec","simulation"
10478,51028,"Gianduja2EPR","Beacon Dec","simulation"
11372,28832,"Gianduja2EPR","Beacon Dec","simulation"
8704,37383,"Gianduja2EPR","Beacon Dec","simulation"
10743,34385,"Gianduja2EPR","Beacon Dec","simulation"
11975,96043,"Gianduja2EPR","Beacon Dec","simulation"
9840,95415,"Gianduja2EPR","Beacon Dec","simulation"
11400,9221,"Gianduja2EPR","Beacon Dec","simulation"
