"score","seed","alg","task","real"
9780,98128,"Gianduja2","Beacon Aggregation","simulation"
8547,78246,"Gianduja2","Beacon Aggregation","simulation"
8034,5081,"Gianduja2","Beacon Aggregation","simulation"
9070,51028,"Gianduja2","Beacon Aggregation","simulation"
10154,28832,"Gianduja2","Beacon Aggregation","simulation"
5698,37383,"Gianduja2","Beacon Aggregation","simulation"
8958,34385,"Gianduja2","Beacon Aggregation","simulation"
5759,96043,"Gianduja2","Beacon Aggregation","simulation"
8559,95415,"Gianduja2","Beacon Aggregation","simulation"
6958,9221,"Gianduja2","Beacon Aggregation","simulation"
7197,16672,"Gianduja2","Beacon Aggregation","simulation"
10068,14671,"Gianduja2","Beacon Aggregation","simulation"
7532,7550,"Gianduja2","Beacon Aggregation","simulation"
7688,7583,"Gianduja2","Beacon Aggregation","simulation"
9640,58134,"Gianduja2","Beacon Aggregation","simulation"
5103,98128,"Gianduja2E","Beacon Aggregation","simulation"
6299,78246,"Gianduja2E","Beacon Aggregation","simulation"
7686,5081,"Gianduja2E","Beacon Aggregation","simulation"
10689,51028,"Gianduja2E","Beacon Aggregation","simulation"
5939,28832,"Gianduja2E","Beacon Aggregation","simulation"
5870,37383,"Gianduja2E","Beacon Aggregation","simulation"
8245,34385,"Gianduja2E","Beacon Aggregation","simulation"
3695,96043,"Gianduja2E","Beacon Aggregation","simulation"
5702,95415,"Gianduja2E","Beacon Aggregation","simulation"
11171,9221,"Gianduja2E","Beacon Aggregation","simulation"
7300,16672,"Gianduja2E","Beacon Aggregation","simulation"
6482,14671,"Gianduja2E","Beacon Aggregation","simulation"
7177,7550,"Gianduja2E","Beacon Aggregation","simulation"
7083,7583,"Gianduja2E","Beacon Aggregation","simulation"
8549,58134,"Gianduja2E","Beacon Aggregation","simulation"
9151,98128,"Gianduja3","Beacon Aggregation","simulation"
8961,78246,"Gianduja3","Beacon Aggregation","simulation"
5361,5081,"Gianduja3","Beacon Aggregation","simulation"
6702,51028,"Gianduja3","Beacon Aggregation","simulation"
7120,28832,"Gianduja3","Beacon Aggregation","simulation"
7140,37383,"Gianduja3","Beacon Aggregation","simulation"
8545,34385,"Gianduja3","Beacon Aggregation","simulation"
4578,96043,"Gianduja3","Beacon Aggregation","simulation"
7544,95415,"Gianduja3","Beacon Aggregation","simulation"
7428,9221,"Gianduja3","Beacon Aggregation","simulation"
946,16672,"Gianduja3","Beacon Aggregation","simulation"
9095,14671,"Gianduja3","Beacon Aggregation","simulation"
7612,7550,"Gianduja3","Beacon Aggregation","simulation"
786,7583,"Gianduja3","Beacon Aggregation","simulation"
7399,58134,"Gianduja3","Beacon Aggregation","simulation"
10824,98128,"Gianduja3E","Beacon Aggregation","simulation"
6766,78246,"Gianduja3E","Beacon Aggregation","simulation"
5941,5081,"Gianduja3E","Beacon Aggregation","simulation"
6084,51028,"Gianduja3E","Beacon Aggregation","simulation"
8040,28832,"Gianduja3E","Beacon Aggregation","simulation"
8845,37383,"Gianduja3E","Beacon Aggregation","simulation"
9318,34385,"Gianduja3E","Beacon Aggregation","simulation"
4912,96043,"Gianduja3E","Beacon Aggregation","simulation"
635,95415,"Gianduja3E","Beacon Aggregation","simulation"
5301,9221,"Gianduja3E","Beacon Aggregation","simulation"
7455,16672,"Gianduja3E","Beacon Aggregation","simulation"
6959,14671,"Gianduja3E","Beacon Aggregation","simulation"
1100,7550,"Gianduja3E","Beacon Aggregation","simulation"
6671,7583,"Gianduja3E","Beacon Aggregation","simulation"
8656,58134,"Gianduja3E","Beacon Aggregation","simulation"
15710,98128,"EvoCom2","Beacon Aggregation","simulation"
12120,78246,"EvoCom2","Beacon Aggregation","simulation"
13720,5081,"EvoCom2","Beacon Aggregation","simulation"
11230,51028,"EvoCom2","Beacon Aggregation","simulation"
12306,28832,"EvoCom2","Beacon Aggregation","simulation"
11647,37383,"EvoCom2","Beacon Aggregation","simulation"
12836,34385,"EvoCom2","Beacon Aggregation","simulation"
8281,96043,"EvoCom2","Beacon Aggregation","simulation"
5872,95415,"EvoCom2","Beacon Aggregation","simulation"
14158,9221,"EvoCom2","Beacon Aggregation","simulation"
13264,16672,"EvoCom2","Beacon Aggregation","simulation"
7127,14671,"EvoCom2","Beacon Aggregation","simulation"
12662,7550,"EvoCom2","Beacon Aggregation","simulation"
10140,7583,"EvoCom2","Beacon Aggregation","simulation"
14133,58134,"EvoCom2","Beacon Aggregation","simulation"
7629,98128,"EvoCom2X","Beacon Aggregation","simulation"
7005,78246,"EvoCom2X","Beacon Aggregation","simulation"
12865,5081,"EvoCom2X","Beacon Aggregation","simulation"
10253,51028,"EvoCom2X","Beacon Aggregation","simulation"
11903,28832,"EvoCom2X","Beacon Aggregation","simulation"
13440,37383,"EvoCom2X","Beacon Aggregation","simulation"
15181,34385,"EvoCom2X","Beacon Aggregation","simulation"
8404,96043,"EvoCom2X","Beacon Aggregation","simulation"
9312,95415,"EvoCom2X","Beacon Aggregation","simulation"
7498,9221,"EvoCom2X","Beacon Aggregation","simulation"
11877,16672,"EvoCom2X","Beacon Aggregation","simulation"
11852,14671,"EvoCom2X","Beacon Aggregation","simulation"
6209,7550,"EvoCom2X","Beacon Aggregation","simulation"
11583,7583,"EvoCom2X","Beacon Aggregation","simulation"
9523,58134,"EvoCom2X","Beacon Aggregation","simulation"
10632,98128,"EvoCom3","Beacon Aggregation","simulation"
12600,78246,"EvoCom3","Beacon Aggregation","simulation"
12111,5081,"EvoCom3","Beacon Aggregation","simulation"
