"score","seed","alg","task","real"
22197,98128,"Gianduja2","Beacon Stop","simulation"
17863,78246,"Gianduja2","Beacon Stop","simulation"
20433,5081,"Gianduja2","Beacon Stop","simulation"
19772,51028,"Gianduja2","Beacon Stop","simulation"
22238,28832,"Gianduja2","Beacon Stop","simulation"
19913,37383,"Gianduja2","Beacon Stop","simulation"
21899,34385,"Gianduja2","Beacon Stop","simulation"
22323,7583,"Gianduja2","Beacon Stop","simulation"
21863,95415,"Gianduja2","Beacon Stop","simulation"
22485,16672,"Gianduja2","Beacon Stop","simulation"
21956,9221,"Gianduja2","Beacon Stop","simulation"
19451,14671,"Gianduja2","Beacon Stop","simulation"
22147,7550,"Gianduja2","Beacon Stop","simulation"
18977,96043,"Gianduja2","Beacon Stop","simulation"
22396,58134,"Gianduja2","Beacon Stop","simulation"
22304,98128,"Gianduja2E","Beacon Stop","simulation"
22437,78246,"Gianduja2E","Beacon Stop","simulation"
22987,5081,"Gianduja2E","Beacon Stop","simulation"
21983,51028,"Gianduja2E","Beacon Stop","simulation"
22103,28832,"Gianduja2E","Beacon Stop","simulation"
22985,37383,"Gianduja2E","Beacon Stop","simulation"
22576,34385,"Gianduja2E","Beacon Stop","simulation"
22468,7583,"Gianduja2E","Beacon Stop","simulation"
22739,95415,"Gianduja2E","Beacon Stop","simulation"
22416,16672,"Gianduja2E","Beacon Stop","simulation"
22098,9221,"Gianduja2E","Beacon Stop","simulation"
22263,14671,"Gianduja2E","Beacon Stop","simulation"
22758,7550,"Gianduja2E","Beacon Stop","simulation"
22421,96043,"Gianduja2E","Beacon Stop","simulation"
22467,58134,"Gianduja2E","Beacon Stop","simulation"
20499,98128,"Gianduja3","Beacon Stop","simulation"
18194,78246,"Gianduja3","Beacon Stop","simulation"
22542,5081,"Gianduja3","Beacon Stop","simulation"
19103,51028,"Gianduja3","Beacon Stop","simulation"
21222,28832,"Gianduja3","Beacon Stop","simulation"
22147,37383,"Gianduja3","Beacon Stop","simulation"
18560,34385,"Gianduja3","Beacon Stop","simulation"
19926,7583,"Gianduja3","Beacon Stop","simulation"
19278,95415,"Gianduja3","Beacon Stop","simulation"
22411,16672,"Gianduja3","Beacon Stop","simulation"
22125,9221,"Gianduja3","Beacon Stop","simulation"
19363,14671,"Gianduja3","Beacon Stop","simulation"
20472,7550,"Gianduja3","Beacon Stop","simulation"
18560,96043,"Gianduja3","Beacon Stop","simulation"
20459,58134,"Gianduja3","Beacon Stop","simulation"
22301,98128,"Gianduja3E","Beacon Stop","simulation"
23276,78246,"Gianduja3E","Beacon Stop","simulation"
22544,5081,"Gianduja3E","Beacon Stop","simulation"
