"score","seed","alg","task","real"
85719,98128,"Gianduja2E","Beacon Stop","simulation"
90884,78246,"Gianduja2E","Beacon Stop","simulation"
90227,5081,"Gianduja2E","Beacon Stop","simulation"
89702,51028,"Gianduja2E","Beacon Stop","simulation"
87651,28832,"Gianduja2E","Beacon Stop","simulation"
91039,34385,"Gianduja2E","Beacon Stop","simulation"
90863,7583,"Gianduja2E","Beacon Stop","simulation"
91290,95415,"Gianduja2E","Beacon Stop","simulation"
90716,16672,"Gianduja2E","Beacon Stop","simulation"
89947,9221,"Gianduja2E","Beacon Stop","simulation"
89653,14671,"Gianduja2E","Beacon Stop","simulation"
91257,7550,"Gianduja2E","Beacon Stop","simulation"
88834,96043,"Gianduja2E","Beacon Stop","simulation"
90976,58134,"Gianduja2E","Beacon Stop","simulation"
53190,98128,"EvoCom2","Beacon Stop","simulation"
51217,78246,"EvoCom2","Beacon Stop","simulation"
61825,5081,"EvoCom2","Beacon Stop","simulation"
54226,51028,"EvoCom2","Beacon Stop","simulation"
54297,28832,"EvoCom2","Beacon Stop","simulation"
62979,34385,"EvoCom2","Beacon Stop","simulation"
53013,7583,"EvoCom2","Beacon Stop","simulation"
59420,95415,"EvoCom2","Beacon Stop","simulation"
58472,16672,"EvoCom2","Beacon Stop","simulation"
58586,9221,"EvoCom2","Beacon Stop","simulation"
51290,14671,"EvoCom2","Beacon Stop","simulation"
54464,7550,"EvoCom2","Beacon Stop","simulation"
65047,96043,"EvoCom2","Beacon Stop","simulation"
43378,58134,"EvoCom2","Beacon Stop","simulation"
