"score","seed","alg","task","real"
174970,98128,"Gianduja2E","Beacon Stop","simulation"
150183,78246,"Gianduja2E","Beacon Stop","simulation"
163251,5081,"Gianduja2E","Beacon Stop","simulation"
179446,51028,"Gianduja2E","Beacon Stop","simulation"
180483,28832,"Gianduja2E","Beacon Stop","simulation"
180186,37383,"Gianduja2E","Beacon Stop","simulation"
176592,34385,"Gianduja2E","Beacon Stop","simulation"
180429,7583,"Gianduja2E","Beacon Stop","simulation"
179870,95415,"Gianduja2E","Beacon Stop","simulation"
181957,16672,"Gianduja2E","Beacon Stop","simulation"
178014,9221,"Gianduja2E","Beacon Stop","simulation"
180240,14671,"Gianduja2E","Beacon Stop","simulation"
174519,7550,"Gianduja2E","Beacon Stop","simulation"
177167,96043,"Gianduja2E","Beacon Stop","simulation"
181770,58134,"Gianduja2E","Beacon Stop","simulation"
102579,98128,"EvoCom2","Beacon Stop","simulation"
96103,78246,"EvoCom2","Beacon Stop","simulation"
106325,5081,"EvoCom2","Beacon Stop","simulation"
106728,51028,"EvoCom2","Beacon Stop","simulation"
108216,28832,"EvoCom2","Beacon Stop","simulation"
123293,37383,"EvoCom2","Beacon Stop","simulation"
118649,34385,"EvoCom2","Beacon Stop","simulation"
104104,7583,"EvoCom2","Beacon Stop","simulation"
100632,95415,"EvoCom2","Beacon Stop","simulation"
119295,16672,"EvoCom2","Beacon Stop","simulation"
117042,9221,"EvoCom2","Beacon Stop","simulation"
103356,14671,"EvoCom2","Beacon Stop","simulation"
97961,7550,"EvoCom2","Beacon Stop","simulation"
112093,96043,"EvoCom2","Beacon Stop","simulation"
84345,58134,"EvoCom2","Beacon Stop","simulation"
