"score","seed","alg","task","real"
45276,78246,"Gianduja2E","Beacon Stop","simulation"
45982,5081,"Gianduja2E","Beacon Stop","simulation"
44797,51028,"Gianduja2E","Beacon Stop","simulation"
45105,28832,"Gianduja2E","Beacon Stop","simulation"
45270,37383,"Gianduja2E","Beacon Stop","simulation"
45535,34385,"Gianduja2E","Beacon Stop","simulation"
45331,7583,"Gianduja2E","Beacon Stop","simulation"
45237,95415,"Gianduja2E","Beacon Stop","simulation"
44067,16672,"Gianduja2E","Beacon Stop","simulation"
44896,9221,"Gianduja2E","Beacon Stop","simulation"
44827,14671,"Gianduja2E","Beacon Stop","simulation"
45757,7550,"Gianduja2E","Beacon Stop","simulation"
44692,96043,"Gianduja2E","Beacon Stop","simulation"
45152,58134,"Gianduja2E","Beacon Stop","simulation"
25365,78246,"EvoCom2","Beacon Stop","simulation"
30794,5081,"EvoCom2","Beacon Stop","simulation"
27398,51028,"EvoCom2","Beacon Stop","simulation"
26268,28832,"EvoCom2","Beacon Stop","simulation"
30482,37383,"EvoCom2","Beacon Stop","simulation"
36483,34385,"EvoCom2","Beacon Stop","simulation"
27031,7583,"EvoCom2","Beacon Stop","simulation"
29465,95415,"EvoCom2","Beacon Stop","simulation"
29269,16672,"EvoCom2","Beacon Stop","simulation"
28745,9221,"EvoCom2","Beacon Stop","simulation"
25463,14671,"EvoCom2","Beacon Stop","simulation"
28172,7550,"EvoCom2","Beacon Stop","simulation"
33719,96043,"EvoCom2","Beacon Stop","simulation"
22861,58134,"EvoCom2","Beacon Stop","simulation"
