"score","seed","alg","task","real"
59485,78246,"Gianduja2E","Beacon Stop","simulation"
79632,5081,"Gianduja2E","Beacon Stop","simulation"
90056,51028,"Gianduja2E","Beacon Stop","simulation"
91100,28832,"Gianduja2E","Beacon Stop","simulation"
92104,37383,"Gianduja2E","Beacon Stop","simulation"
91077,34385,"Gianduja2E","Beacon Stop","simulation"
84874,7583,"Gianduja2E","Beacon Stop","simulation"
91094,95415,"Gianduja2E","Beacon Stop","simulation"
90270,16672,"Gianduja2E","Beacon Stop","simulation"
88295,9221,"Gianduja2E","Beacon Stop","simulation"
89236,14671,"Gianduja2E","Beacon Stop","simulation"
88489,7550,"Gianduja2E","Beacon Stop","simulation"
90241,96043,"Gianduja2E","Beacon Stop","simulation"
87993,58134,"Gianduja2E","Beacon Stop","simulation"
47816,78246,"EvoCom2","Beacon Stop","simulation"
56862,5081,"EvoCom2","Beacon Stop","simulation"
52572,51028,"EvoCom2","Beacon Stop","simulation"
51888,28832,"EvoCom2","Beacon Stop","simulation"
61628,37383,"EvoCom2","Beacon Stop","simulation"
62844,34385,"EvoCom2","Beacon Stop","simulation"
52473,7583,"EvoCom2","Beacon Stop","simulation"
56560,95415,"EvoCom2","Beacon Stop","simulation"
59849,16672,"EvoCom2","Beacon Stop","simulation"
58270,9221,"EvoCom2","Beacon Stop","simulation"
51616,14671,"EvoCom2","Beacon Stop","simulation"
55625,7550,"EvoCom2","Beacon Stop","simulation"
63163,96043,"EvoCom2","Beacon Stop","simulation"
44054,58134,"EvoCom2","Beacon Stop","simulation"
