"score","seed","alg","task","real"
205237,98128,"Gianduja2E","Beacon Stop","simulation"
202633,78246,"Gianduja2E","Beacon Stop","simulation"
222684,5081,"Gianduja2E","Beacon Stop","simulation"
351466,51028,"Gianduja2E","Beacon Stop","simulation"
221414,28832,"Gianduja2E","Beacon Stop","simulation"
342096,37383,"Gianduja2E","Beacon Stop","simulation"
341681,34385,"Gianduja2E","Beacon Stop","simulation"
196257,7583,"Gianduja2E","Beacon Stop","simulation"
331140,95415,"Gianduja2E","Beacon Stop","simulation"
350277,16672,"Gianduja2E","Beacon Stop","simulation"
220033,9221,"Gianduja2E","Beacon Stop","simulation"
356590,14671,"Gianduja2E","Beacon Stop","simulation"
341370,7550,"Gianduja2E","Beacon Stop","simulation"
336883,96043,"Gianduja2E","Beacon Stop","simulation"
357682,58134,"Gianduja2E","Beacon Stop","simulation"
192475,98128,"EvoCom2","Beacon Stop","simulation"
173751,78246,"EvoCom2","Beacon Stop","simulation"
203049,5081,"EvoCom2","Beacon Stop","simulation"
202231,51028,"EvoCom2","Beacon Stop","simulation"
199382,28832,"EvoCom2","Beacon Stop","simulation"
248471,37383,"EvoCom2","Beacon Stop","simulation"
209578,34385,"EvoCom2","Beacon Stop","simulation"
201223,7583,"EvoCom2","Beacon Stop","simulation"
196267,95415,"EvoCom2","Beacon Stop","simulation"
238734,16672,"EvoCom2","Beacon Stop","simulation"
232885,9221,"EvoCom2","Beacon Stop","simulation"
209775,14671,"EvoCom2","Beacon Stop","simulation"
188962,7550,"EvoCom2","Beacon Stop","simulation"
212485,96043,"EvoCom2","Beacon Stop","simulation"
169858,58134,"EvoCom2","Beacon Stop","simulation"
