"score","seed","alg","task","real"
45763,98128,"Gianduja2E","Beacon Stop","simulation"
28935,78246,"Gianduja2E","Beacon Stop","simulation"
41891,5081,"Gianduja2E","Beacon Stop","simulation"
44059,51028,"Gianduja2E","Beacon Stop","simulation"
44907,28832,"Gianduja2E","Beacon Stop","simulation"
45200,34385,"Gianduja2E","Beacon Stop","simulation"
45965,7583,"Gianduja2E","Beacon Stop","simulation"
45878,95415,"Gianduja2E","Beacon Stop","simulation"
44641,16672,"Gianduja2E","Beacon Stop","simulation"
45384,9221,"Gianduja2E","Beacon Stop","simulation"
44443,14671,"Gianduja2E","Beacon Stop","simulation"
44095,7550,"Gianduja2E","Beacon Stop","simulation"
45210,96043,"Gianduja2E","Beacon Stop","simulation"
45446,58134,"Gianduja2E","Beacon Stop","simulation"
25276,98128,"EvoCom2","Beacon Stop","simulation"
27274,78246,"EvoCom2","Beacon Stop","simulation"
30663,5081,"EvoCom2","Beacon Stop","simulation"
26323,51028,"EvoCom2","Beacon Stop","simulation"
29428,28832,"EvoCom2","Beacon Stop","simulation"
34715,34385,"EvoCom2","Beacon Stop","simulation"
27096,7583,"EvoCom2","Beacon Stop","simulation"
30592,95415,"EvoCom2","Beacon Stop","simulation"
29270,16672,"EvoCom2","Beacon Stop","simulation"
29078,9221,"EvoCom2","Beacon Stop","simulation"
25182,14671,"EvoCom2","Beacon Stop","simulation"
31572,7550,"EvoCom2","Beacon Stop","simulation"
34439,96043,"EvoCom2","Beacon Stop","simulation"
22782,58134,"EvoCom2","Beacon Stop","simulation"
