"score","seed","alg","task","real"
102804,98128,"Gianduja2E","Beacon Stop","simulation"
100785,78246,"Gianduja2E","Beacon Stop","simulation"
136603,5081,"Gianduja2E","Beacon Stop","simulation"
171035,51028,"Gianduja2E","Beacon Stop","simulation"
120919,28832,"Gianduja2E","Beacon Stop","simulation"
168047,34385,"Gianduja2E","Beacon Stop","simulation"
97790,7583,"Gianduja2E","Beacon Stop","simulation"
175908,95415,"Gianduja2E","Beacon Stop","simulation"
167710,16672,"Gianduja2E","Beacon Stop","simulation"
123091,9221,"Gianduja2E","Beacon Stop","simulation"
178934,14671,"Gianduja2E","Beacon Stop","simulation"
173113,7550,"Gianduja2E","Beacon Stop","simulation"
172007,96043,"Gianduja2E","Beacon Stop","simulation"
175583,58134,"Gianduja2E","Beacon Stop","simulation"
107389,98128,"EvoCom2","Beacon Stop","simulation"
96048,78246,"EvoCom2","Beacon Stop","simulation"
107502,5081,"EvoCom2","Beacon Stop","simulation"
109291,51028,"EvoCom2","Beacon Stop","simulation"
107323,28832,"EvoCom2","Beacon Stop","simulation"
121166,34385,"EvoCom2","Beacon Stop","simulation"
105630,7583,"EvoCom2","Beacon Stop","simulation"
103600,95415,"EvoCom2","Beacon Stop","simulation"
118575,16672,"EvoCom2","Beacon Stop","simulation"
117833,9221,"EvoCom2","Beacon Stop","simulation"
104474,14671,"EvoCom2","Beacon Stop","simulation"
103271,7550,"EvoCom2","Beacon Stop","simulation"
113040,96043,"EvoCom2","Beacon Stop","simulation"
84690,58134,"EvoCom2","Beacon Stop","simulation"
