"score","seed","alg","task","real"
206147,98128,"Gianduja2E","Beacon Stop","simulation"
202652,78246,"Gianduja2E","Beacon Stop","simulation"
230599,5081,"Gianduja2E","Beacon Stop","simulation"
255837,51028,"Gianduja2E","Beacon Stop","simulation"
208305,28832,"Gianduja2E","Beacon Stop","simulation"
319820,34385,"Gianduja2E","Beacon Stop","simulation"
196787,7583,"Gianduja2E","Beacon Stop","simulation"
283490,95415,"Gianduja2E","Beacon Stop","simulation"
258556,16672,"Gianduja2E","Beacon Stop","simulation"
220312,9221,"Gianduja2E","Beacon Stop","simulation"
223743,14671,"Gianduja2E","Beacon Stop","simulation"
347991,7550,"Gianduja2E","Beacon Stop","simulation"
332360,96043,"Gianduja2E","Beacon Stop","simulation"
196271,58134,"Gianduja2E","Beacon Stop","simulation"
208667,98128,"EvoCom2","Beacon Stop","simulation"
179692,78246,"EvoCom2","Beacon Stop","simulation"
205488,5081,"EvoCom2","Beacon Stop","simulation"
211097,51028,"EvoCom2","Beacon Stop","simulation"
203341,28832,"EvoCom2","Beacon Stop","simulation"
223527,34385,"EvoCom2","Beacon Stop","simulation"
203256,7583,"EvoCom2","Beacon Stop","simulation"
198515,95415,"EvoCom2","Beacon Stop","simulation"
235973,16672,"EvoCom2","Beacon Stop","simulation"
232883,9221,"EvoCom2","Beacon Stop","simulation"
209674,14671,"EvoCom2","Beacon Stop","simulation"
191892,7550,"EvoCom2","Beacon Stop","simulation"
208679,96043,"EvoCom2","Beacon Stop","simulation"
168622,58134,"EvoCom2","Beacon Stop","simulation"
