"score","seed","alg","task","real"
150183,78246,"Gianduja2E","Beacon Stop","simulation"
163251,5081,"Gianduja2E","Beacon Stop","simulation"
179446,51028,"Gianduja2E","Beacon Stop","simulation"
180483,28832,"Gianduja2E","Beacon Stop","simulation"
180186,37383,"Gianduja2E","Beacon Stop","simulation"
176592,34385,"Gianduja2E","Beacon Stop","simulation"
180429,7583,"Gianduja2E","Beacon Stop","simulation"
179870,95415,"Gianduja2E","Beacon Stop","simulation"
181957,16672,"Gianduja2E","Beacon Stop","simulation"
178014,9221,"Gianduja2E","Beacon Stop","simulation"
180240,14671,"Gianduja2E","Beacon Stop","simulation"
174519,7550,"Gianduja2E","Beacon Stop","simulation"
177167,96043,"Gianduja2E","Beacon Stop","simulation"
181770,58134,"Gianduja2E","Beacon Stop","simulation"
181065,78246,"Gianduja2EPR","Beacon Stop","simulation"
147741,5081,"Gianduja2EPR","Beacon Stop","simulation"
180520,51028,"Gianduja2EPR","Beacon Stop","simulation"
182389,28832,"Gianduja2EPR","Beacon Stop","simulation"
179264,37383,"Gianduja2EPR","Beacon Stop","simulation"
177503,34385,"Gianduja2EPR","Beacon Stop","simulation"
184002,7583,"Gianduja2EPR","Beacon Stop","simulation"
178680,95415,"Gianduja2EPR","Beacon Stop","simulation"
182014,16672,"Gianduja2EPR","Beacon Stop","simulation"
182828,9221,"Gianduja2EPR","Beacon Stop","simulation"
180079,14671,"Gianduja2EPR","Beacon Stop","simulation"
181637,7550,"Gianduja2EPR","Beacon Stop","simulation"
173461,96043,"Gianduja2EPR","Beacon Stop","simulation"
180978,58134,"Gianduja2EPR","Beacon Stop","simulation"
122442,78246,"EvoCom2","Beacon Stop","simulation"
97126,5081,"EvoCom2","Beacon Stop","simulation"
118256,51028,"EvoCom2","Beacon Stop","simulation"
107009,28832,"EvoCom2","Beacon Stop","simulation"
112403,37383,"EvoCom2","Beacon Stop","simulation"
101323,34385,"EvoCom2","Beacon Stop","simulation"
103127,7583,"EvoCom2","Beacon Stop","simulation"
113365,95415,"EvoCom2","Beacon Stop","simulation"
106418,16672,"EvoCom2","Beacon Stop","simulation"
119465,9221,"EvoCom2","Beacon Stop","simulation"
106860,14671,"EvoCom2","Beacon Stop","simulation"
104625,7550,"EvoCom2","Beacon Stop","simulation"
111839,96043,"EvoCom2","Beacon Stop","simulation"
95030,58134,"EvoCom2","Beacon Stop","simulation"
96103,78246,"EvoCom2PR","Beacon Stop","simulation"
106325,5081,"EvoCom2PR","Beacon Stop","simulation"
106728,51028,"EvoCom2PR","Beacon Stop","simulation"
108216,28832,"EvoCom2PR","Beacon Stop","simulation"
123293,37383,"EvoCom2PR","Beacon Stop","simulation"
118649,34385,"EvoCom2PR","Beacon Stop","simulation"
104104,7583,"EvoCom2PR","Beacon Stop","simulation"
100632,95415,"EvoCom2PR","Beacon Stop","simulation"
119295,16672,"EvoCom2PR","Beacon Stop","simulation"
117042,9221,"EvoCom2PR","Beacon Stop","simulation"
103356,14671,"EvoCom2PR","Beacon Stop","simulation"
97961,7550,"EvoCom2PR","Beacon Stop","simulation"
112093,96043,"EvoCom2PR","Beacon Stop","simulation"
84345,58134,"EvoCom2PR","Beacon Stop","simulation"
