"score","seed","alg","task","real"
217997,78246,"Gianduja2E","Beacon Stop","simulation"
293281,5081,"Gianduja2E","Beacon Stop","simulation"
356098,51028,"Gianduja2E","Beacon Stop","simulation"
318650,28832,"Gianduja2E","Beacon Stop","simulation"
360202,37383,"Gianduja2E","Beacon Stop","simulation"
325500,34385,"Gianduja2E","Beacon Stop","simulation"
322005,7583,"Gianduja2E","Beacon Stop","simulation"
350841,95415,"Gianduja2E","Beacon Stop","simulation"
361748,16672,"Gianduja2E","Beacon Stop","simulation"
358198,9221,"Gianduja2E","Beacon Stop","simulation"
360953,14671,"Gianduja2E","Beacon Stop","simulation"
355342,7550,"Gianduja2E","Beacon Stop","simulation"
339413,96043,"Gianduja2E","Beacon Stop","simulation"
364105,58134,"Gianduja2E","Beacon Stop","simulation"
285327,78246,"Gianduja2EPR","Beacon Stop","simulation"
259898,5081,"Gianduja2EPR","Beacon Stop","simulation"
359211,51028,"Gianduja2EPR","Beacon Stop","simulation"
314359,28832,"Gianduja2EPR","Beacon Stop","simulation"
340644,37383,"Gianduja2EPR","Beacon Stop","simulation"
345629,34385,"Gianduja2EPR","Beacon Stop","simulation"
363120,7583,"Gianduja2EPR","Beacon Stop","simulation"
349534,95415,"Gianduja2EPR","Beacon Stop","simulation"
360867,16672,"Gianduja2EPR","Beacon Stop","simulation"
350538,9221,"Gianduja2EPR","Beacon Stop","simulation"
360376,14671,"Gianduja2EPR","Beacon Stop","simulation"
351409,7550,"Gianduja2EPR","Beacon Stop","simulation"
346513,96043,"Gianduja2EPR","Beacon Stop","simulation"
362739,58134,"Gianduja2EPR","Beacon Stop","simulation"
206395,78246,"EvoCom2","Beacon Stop","simulation"
204430,5081,"EvoCom2","Beacon Stop","simulation"
220443,51028,"EvoCom2","Beacon Stop","simulation"
209280,28832,"EvoCom2","Beacon Stop","simulation"
202413,37383,"EvoCom2","Beacon Stop","simulation"
194470,34385,"EvoCom2","Beacon Stop","simulation"
197447,7583,"EvoCom2","Beacon Stop","simulation"
221437,95415,"EvoCom2","Beacon Stop","simulation"
184910,16672,"EvoCom2","Beacon Stop","simulation"
224121,9221,"EvoCom2","Beacon Stop","simulation"
202398,14671,"EvoCom2","Beacon Stop","simulation"
200063,7550,"EvoCom2","Beacon Stop","simulation"
207733,96043,"EvoCom2","Beacon Stop","simulation"
173389,58134,"EvoCom2","Beacon Stop","simulation"
181934,78246,"EvoCom2PR","Beacon Stop","simulation"
206991,5081,"EvoCom2PR","Beacon Stop","simulation"
212028,51028,"EvoCom2PR","Beacon Stop","simulation"
204105,28832,"EvoCom2PR","Beacon Stop","simulation"
248874,37383,"EvoCom2PR","Beacon Stop","simulation"
217990,34385,"EvoCom2PR","Beacon Stop","simulation"
204107,7583,"EvoCom2PR","Beacon Stop","simulation"
199934,95415,"EvoCom2PR","Beacon Stop","simulation"
236015,16672,"EvoCom2PR","Beacon Stop","simulation"
232974,9221,"EvoCom2PR","Beacon Stop","simulation"
209274,14671,"EvoCom2PR","Beacon Stop","simulation"
189312,7550,"EvoCom2PR","Beacon Stop","simulation"
210674,96043,"EvoCom2PR","Beacon Stop","simulation"
168945,58134,"EvoCom2PR","Beacon Stop","simulation"
