"score","seed","alg","task","real"
45276,78246,"Gianduja2E","Beacon Stop","simulation"
45982,5081,"Gianduja2E","Beacon Stop","simulation"
44797,51028,"Gianduja2E","Beacon Stop","simulation"
45105,28832,"Gianduja2E","Beacon Stop","simulation"
45270,37383,"Gianduja2E","Beacon Stop","simulation"
45535,34385,"Gianduja2E","Beacon Stop","simulation"
45331,7583,"Gianduja2E","Beacon Stop","simulation"
45237,95415,"Gianduja2E","Beacon Stop","simulation"
44067,16672,"Gianduja2E","Beacon Stop","simulation"
44896,9221,"Gianduja2E","Beacon Stop","simulation"
44827,14671,"Gianduja2E","Beacon Stop","simulation"
45757,7550,"Gianduja2E","Beacon Stop","simulation"
44692,96043,"Gianduja2E","Beacon Stop","simulation"
45152,58134,"Gianduja2E","Beacon Stop","simulation"
45572,78246,"Gianduja2EPR","Beacon Stop","simulation"
42112,5081,"Gianduja2EPR","Beacon Stop","simulation"
44732,51028,"Gianduja2EPR","Beacon Stop","simulation"
46180,28832,"Gianduja2EPR","Beacon Stop","simulation"
45950,37383,"Gianduja2EPR","Beacon Stop","simulation"
45128,34385,"Gianduja2EPR","Beacon Stop","simulation"
45910,7583,"Gianduja2EPR","Beacon Stop","simulation"
46114,95415,"Gianduja2EPR","Beacon Stop","simulation"
45317,16672,"Gianduja2EPR","Beacon Stop","simulation"
44090,9221,"Gianduja2EPR","Beacon Stop","simulation"
45118,14671,"Gianduja2EPR","Beacon Stop","simulation"
46226,7550,"Gianduja2EPR","Beacon Stop","simulation"
45153,96043,"Gianduja2EPR","Beacon Stop","simulation"
45424,58134,"Gianduja2EPR","Beacon Stop","simulation"
41326,78246,"EvoCom2","Beacon Stop","simulation"
34886,5081,"EvoCom2","Beacon Stop","simulation"
40229,51028,"EvoCom2","Beacon Stop","simulation"
36280,28832,"EvoCom2","Beacon Stop","simulation"
38611,37383,"EvoCom2","Beacon Stop","simulation"
28646,34385,"EvoCom2","Beacon Stop","simulation"
37047,7583,"EvoCom2","Beacon Stop","simulation"
39432,95415,"EvoCom2","Beacon Stop","simulation"
39154,16672,"EvoCom2","Beacon Stop","simulation"
38244,9221,"EvoCom2","Beacon Stop","simulation"
34944,14671,"EvoCom2","Beacon Stop","simulation"
39870,7550,"EvoCom2","Beacon Stop","simulation"
40713,96043,"EvoCom2","Beacon Stop","simulation"
33466,58134,"EvoCom2","Beacon Stop","simulation"
25365,78246,"EvoCom2PR","Beacon Stop","simulation"
30794,5081,"EvoCom2PR","Beacon Stop","simulation"
27398,51028,"EvoCom2PR","Beacon Stop","simulation"
26268,28832,"EvoCom2PR","Beacon Stop","simulation"
30482,37383,"EvoCom2PR","Beacon Stop","simulation"
36483,34385,"EvoCom2PR","Beacon Stop","simulation"
27031,7583,"EvoCom2PR","Beacon Stop","simulation"
29465,95415,"EvoCom2PR","Beacon Stop","simulation"
29269,16672,"EvoCom2PR","Beacon Stop","simulation"
28745,9221,"EvoCom2PR","Beacon Stop","simulation"
25463,14671,"EvoCom2PR","Beacon Stop","simulation"
28172,7550,"EvoCom2PR","Beacon Stop","simulation"
33719,96043,"EvoCom2PR","Beacon Stop","simulation"
22861,58134,"EvoCom2PR","Beacon Stop","simulation"
