"score","seed","alg","task","real"
9780,98128,"Gianduja2","Beacon Aggregation","simulation"
4772,78246,"Gianduja2","Beacon Aggregation","simulation"
7692,5081,"Gianduja2","Beacon Aggregation","simulation"
7017,51028,"Gianduja2","Beacon Aggregation","simulation"
6031,28832,"Gianduja2","Beacon Aggregation","simulation"
6700,37383,"Gianduja2","Beacon Aggregation","simulation"
12111,34385,"Gianduja2","Beacon Aggregation","simulation"
8319,96043,"Gianduja2","Beacon Aggregation","simulation"
6816,95415,"Gianduja2","Beacon Aggregation","simulation"
7277,9221,"Gianduja2","Beacon Aggregation","simulation"
8865,16672,"Gianduja2","Beacon Aggregation","simulation"
5857,14671,"Gianduja2","Beacon Aggregation","simulation"
6324,79820,"Gianduja2","Beacon Aggregation","simulation"
8938,7583,"Gianduja2","Beacon Aggregation","simulation"
8251,58134,"Gianduja2","Beacon Aggregation","simulation"
8161,94393,"Gianduja2","Beacon Aggregation","simulation"
10059,7548,"Gianduja2","Beacon Aggregation","simulation"
9567,19890,"Gianduja2","Beacon Aggregation","simulation"
7090,46885,"Gianduja2","Beacon Aggregation","simulation"
6558,52388,"Gianduja2","Beacon Aggregation","simulation"
8244,87754,"Gianduja2","Beacon Aggregation","simulation"
7228,47343,"Gianduja2","Beacon Aggregation","simulation"
8691,13478,"Gianduja2","Beacon Aggregation","simulation"
6809,17254,"Gianduja2","Beacon Aggregation","simulation"
4464,39786,"Gianduja2","Beacon Aggregation","simulation"
10807,12071,"Gianduja2","Beacon Aggregation","simulation"
8373,82478,"Gianduja2","Beacon Aggregation","simulation"
11022,51590,"Gianduja2","Beacon Aggregation","simulation"
8899,90271,"Gianduja2","Beacon Aggregation","simulation"
7886,21440,"Gianduja2","Beacon Aggregation","simulation"
4021,88504,"Gianduja2","Beacon Aggregation","simulation"
9183,10126,"Gianduja2","Beacon Aggregation","simulation"
9058,72952,"Gianduja2","Beacon Aggregation","simulation"
7469,57303,"Gianduja2","Beacon Aggregation","simulation"
7079,87190,"Gianduja2","Beacon Aggregation","simulation"
9582,74278,"Gianduja2","Beacon Aggregation","simulation"
5411,58122,"Gianduja2","Beacon Aggregation","simulation"
5838,69996,"Gianduja2","Beacon Aggregation","simulation"
6570,62778,"Gianduja2","Beacon Aggregation","simulation"
6475,66277,"Gianduja2","Beacon Aggregation","simulation"
7023,61464,"Gianduja2","Beacon Aggregation","simulation"
7096,43039,"Gianduja2","Beacon Aggregation","simulation"
6598,92123,"Gianduja2","Beacon Aggregation","simulation"
6733,77088,"Gianduja2","Beacon Aggregation","simulation"
9596,52577,"Gianduja2","Beacon Aggregation","simulation"
6397,70407,"Gianduja2","Beacon Aggregation","simulation"
6342,69179,"Gianduja2","Beacon Aggregation","simulation"
9832,82028,"Gianduja2","Beacon Aggregation","simulation"
8003,45716,"Gianduja2","Beacon Aggregation","simulation"
10330,9989,"Gianduja2","Beacon Aggregation","simulation"
9864,39975,"Gianduja2","Beacon Aggregation","simulation"
7374,45670,"Gianduja2","Beacon Aggregation","simulation"
5663,35842,"Gianduja2","Beacon Aggregation","simulation"
7420,85831,"Gianduja2","Beacon Aggregation","simulation"
7422,96278,"Gianduja2","Beacon Aggregation","simulation"
6115,80536,"Gianduja2","Beacon Aggregation","simulation"
7311,87372,"Gianduja2","Beacon Aggregation","simulation"
9916,99892,"Gianduja2","Beacon Aggregation","simulation"
7543,89604,"Gianduja2","Beacon Aggregation","simulation"
7704,83114,"Gianduja2","Beacon Aggregation","simulation"
7380,6497,"Gianduja2","Beacon Aggregation","simulation"
5050,92972,"Gianduja2","Beacon Aggregation","simulation"
7804,11535,"Gianduja2","Beacon Aggregation","simulation"
5149,92749,"Gianduja2","Beacon Aggregation","simulation"
7266,82858,"Gianduja2","Beacon Aggregation","simulation"
7329,15932,"Gianduja2","Beacon Aggregation","simulation"
6634,61397,"Gianduja2","Beacon Aggregation","simulation"
5037,78113,"Gianduja2","Beacon Aggregation","simulation"
6555,30010,"Gianduja2","Beacon Aggregation","simulation"
6525,48677,"Gianduja2","Beacon Aggregation","simulation"
5896,40027,"Gianduja2","Beacon Aggregation","simulation"
9943,55937,"Gianduja2","Beacon Aggregation","simulation"
9300,79284,"Gianduja2","Beacon Aggregation","simulation"
9280,37609,"Gianduja2","Beacon Aggregation","simulation"
6513,10327,"Gianduja2","Beacon Aggregation","simulation"
9579,42676,"Gianduja2","Beacon Aggregation","simulation"
3705,33507,"Gianduja2","Beacon Aggregation","simulation"
8585,84383,"Gianduja2","Beacon Aggregation","simulation"
5739,21087,"Gianduja2","Beacon Aggregation","simulation"
9440,12499,"Gianduja2","Beacon Aggregation","simulation"
7124,24034,"Gianduja2","Beacon Aggregation","simulation"
8560,88644,"Gianduja2","Beacon Aggregation","simulation"
6112,23820,"Gianduja2","Beacon Aggregation","simulation"
4901,71629,"Gianduja2","Beacon Aggregation","simulation"
7152,7732,"Gianduja2","Beacon Aggregation","simulation"
6536,19319,"Gianduja2","Beacon Aggregation","simulation"
7814,3365,"Gianduja2","Beacon Aggregation","simulation"
7913,16774,"Gianduja2","Beacon Aggregation","simulation"
10815,31355,"Gianduja2","Beacon Aggregation","simulation"
9635,7638,"Gianduja2","Beacon Aggregation","simulation"
6665,8528,"Gianduja2","Beacon Aggregation","simulation"
6821,36091,"Gianduja2","Beacon Aggregation","simulation"
8270,58938,"Gianduja2","Beacon Aggregation","simulation"
8263,66126,"Gianduja2","Beacon Aggregation","simulation"
9289,22108,"Gianduja2","Beacon Aggregation","simulation"
8557,33965,"Gianduja2","Beacon Aggregation","simulation"
8124,97046,"Gianduja2","Beacon Aggregation","simulation"
8579,48792,"Gianduja2","Beacon Aggregation","simulation"
8517,62804,"Gianduja2","Beacon Aggregation","simulation"
7459,68988,"Gianduja2","Beacon Aggregation","simulation"
5103,98128,"Gianduja2E","Beacon Aggregation","simulation"
8501,78246,"Gianduja2E","Beacon Aggregation","simulation"
8880,5081,"Gianduja2E","Beacon Aggregation","simulation"
8807,51028,"Gianduja2E","Beacon Aggregation","simulation"
6764,28832,"Gianduja2E","Beacon Aggregation","simulation"
6736,37383,"Gianduja2E","Beacon Aggregation","simulation"
9199,34385,"Gianduja2E","Beacon Aggregation","simulation"
9335,96043,"Gianduja2E","Beacon Aggregation","simulation"
8504,95415,"Gianduja2E","Beacon Aggregation","simulation"
6526,9221,"Gianduja2E","Beacon Aggregation","simulation"
10821,16672,"Gianduja2E","Beacon Aggregation","simulation"
6483,14671,"Gianduja2E","Beacon Aggregation","simulation"
8283,79820,"Gianduja2E","Beacon Aggregation","simulation"
11571,7583,"Gianduja2E","Beacon Aggregation","simulation"
8842,58134,"Gianduja2E","Beacon Aggregation","simulation"
6436,94393,"Gianduja2E","Beacon Aggregation","simulation"
6456,7548,"Gianduja2E","Beacon Aggregation","simulation"
6432,19890,"Gianduja2E","Beacon Aggregation","simulation"
7316,46885,"Gianduja2E","Beacon Aggregation","simulation"
6488,52388,"Gianduja2E","Beacon Aggregation","simulation"
6995,87754,"Gianduja2E","Beacon Aggregation","simulation"
8993,47343,"Gianduja2E","Beacon Aggregation","simulation"
6730,13478,"Gianduja2E","Beacon Aggregation","simulation"
8206,17254,"Gianduja2E","Beacon Aggregation","simulation"
5732,39786,"Gianduja2E","Beacon Aggregation","simulation"
9304,12071,"Gianduja2E","Beacon Aggregation","simulation"
8968,82478,"Gianduja2E","Beacon Aggregation","simulation"
8809,51590,"Gianduja2E","Beacon Aggregation","simulation"
9423,90271,"Gianduja2E","Beacon Aggregation","simulation"
