"score","seed","alg","task","real"
9151,98128,"Gianduja3","Beacon Aggregation","simulation"
7411,78246,"Gianduja3","Beacon Aggregation","simulation"
7589,5081,"Gianduja3","Beacon Aggregation","simulation"
2063,51028,"Gianduja3","Beacon Aggregation","simulation"
8927,28832,"Gianduja3","Beacon Aggregation","simulation"
8370,37383,"Gianduja3","Beacon Aggregation","simulation"
9099,34385,"Gianduja3","Beacon Aggregation","simulation"
8677,96043,"Gianduja3","Beacon Aggregation","simulation"
12879,95415,"Gianduja3","Beacon Aggregation","simulation"
8528,9221,"Gianduja3","Beacon Aggregation","simulation"
6301,16672,"Gianduja3","Beacon Aggregation","simulation"
8705,14671,"Gianduja3","Beacon Aggregation","simulation"
7735,79820,"Gianduja3","Beacon Aggregation","simulation"
6989,7583,"Gianduja3","Beacon Aggregation","simulation"
7453,58134,"Gianduja3","Beacon Aggregation","simulation"
6042,94393,"Gianduja3","Beacon Aggregation","simulation"
7703,7548,"Gianduja3","Beacon Aggregation","simulation"
6115,19890,"Gianduja3","Beacon Aggregation","simulation"
8738,46885,"Gianduja3","Beacon Aggregation","simulation"
8023,52388,"Gianduja3","Beacon Aggregation","simulation"
3960,87754,"Gianduja3","Beacon Aggregation","simulation"
6536,47343,"Gianduja3","Beacon Aggregation","simulation"
7863,13478,"Gianduja3","Beacon Aggregation","simulation"
10238,17254,"Gianduja3","Beacon Aggregation","simulation"
8515,39786,"Gianduja3","Beacon Aggregation","simulation"
9347,12071,"Gianduja3","Beacon Aggregation","simulation"
7540,82478,"Gianduja3","Beacon Aggregation","simulation"
5049,51590,"Gianduja3","Beacon Aggregation","simulation"
10694,90271,"Gianduja3","Beacon Aggregation","simulation"
6027,21440,"Gianduja3","Beacon Aggregation","simulation"
9780,88504,"Gianduja3","Beacon Aggregation","simulation"
8469,10126,"Gianduja3","Beacon Aggregation","simulation"
6130,72952,"Gianduja3","Beacon Aggregation","simulation"
6733,57303,"Gianduja3","Beacon Aggregation","simulation"
7352,87190,"Gianduja3","Beacon Aggregation","simulation"
6590,74278,"Gianduja3","Beacon Aggregation","simulation"
6203,58122,"Gianduja3","Beacon Aggregation","simulation"
6383,69996,"Gianduja3","Beacon Aggregation","simulation"
4162,62778,"Gianduja3","Beacon Aggregation","simulation"
10647,66277,"Gianduja3","Beacon Aggregation","simulation"
7762,61464,"Gianduja3","Beacon Aggregation","simulation"
7030,43039,"Gianduja3","Beacon Aggregation","simulation"
6478,92123,"Gianduja3","Beacon Aggregation","simulation"
9711,77088,"Gianduja3","Beacon Aggregation","simulation"
9872,52577,"Gianduja3","Beacon Aggregation","simulation"
8275,70407,"Gianduja3","Beacon Aggregation","simulation"
4449,69179,"Gianduja3","Beacon Aggregation","simulation"
7103,82028,"Gianduja3","Beacon Aggregation","simulation"
6347,45716,"Gianduja3","Beacon Aggregation","simulation"
6624,9989,"Gianduja3","Beacon Aggregation","simulation"
6134,39975,"Gianduja3","Beacon Aggregation","simulation"
6401,45670,"Gianduja3","Beacon Aggregation","simulation"
7952,35842,"Gianduja3","Beacon Aggregation","simulation"
10586,85831,"Gianduja3","Beacon Aggregation","simulation"
7670,96278,"Gianduja3","Beacon Aggregation","simulation"
6138,80536,"Gianduja3","Beacon Aggregation","simulation"
6312,87372,"Gianduja3","Beacon Aggregation","simulation"
8488,99892,"Gianduja3","Beacon Aggregation","simulation"
7255,89604,"Gianduja3","Beacon Aggregation","simulation"
6178,83114,"Gianduja3","Beacon Aggregation","simulation"
7570,6497,"Gianduja3","Beacon Aggregation","simulation"
8648,92972,"Gianduja3","Beacon Aggregation","simulation"
7896,11535,"Gianduja3","Beacon Aggregation","simulation"
6358,92749,"Gianduja3","Beacon Aggregation","simulation"
7814,82858,"Gianduja3","Beacon Aggregation","simulation"
8747,15932,"Gianduja3","Beacon Aggregation","simulation"
6872,61397,"Gianduja3","Beacon Aggregation","simulation"
5073,78113,"Gianduja3","Beacon Aggregation","simulation"
7603,30010,"Gianduja3","Beacon Aggregation","simulation"
6587,48677,"Gianduja3","Beacon Aggregation","simulation"
8467,40027,"Gianduja3","Beacon Aggregation","simulation"
5637,55937,"Gianduja3","Beacon Aggregation","simulation"
6250,79284,"Gianduja3","Beacon Aggregation","simulation"
9804,37609,"Gianduja3","Beacon Aggregation","simulation"
6515,10327,"Gianduja3","Beacon Aggregation","simulation"
7195,42676,"Gianduja3","Beacon Aggregation","simulation"
6998,33507,"Gianduja3","Beacon Aggregation","simulation"
7951,84383,"Gianduja3","Beacon Aggregation","simulation"
6103,21087,"Gianduja3","Beacon Aggregation","simulation"
7096,12499,"Gianduja3","Beacon Aggregation","simulation"
11358,24034,"Gianduja3","Beacon Aggregation","simulation"
6705,88644,"Gianduja3","Beacon Aggregation","simulation"
5022,23820,"Gianduja3","Beacon Aggregation","simulation"
6031,71629,"Gianduja3","Beacon Aggregation","simulation"
7931,7732,"Gianduja3","Beacon Aggregation","simulation"
9732,19319,"Gianduja3","Beacon Aggregation","simulation"
8754,3365,"Gianduja3","Beacon Aggregation","simulation"
6400,16774,"Gianduja3","Beacon Aggregation","simulation"
7101,31355,"Gianduja3","Beacon Aggregation","simulation"
9424,7638,"Gianduja3","Beacon Aggregation","simulation"
4077,8528,"Gianduja3","Beacon Aggregation","simulation"
5758,36091,"Gianduja3","Beacon Aggregation","simulation"
6516,58938,"Gianduja3","Beacon Aggregation","simulation"
5755,66126,"Gianduja3","Beacon Aggregation","simulation"
6647,22108,"Gianduja3","Beacon Aggregation","simulation"
9097,33965,"Gianduja3","Beacon Aggregation","simulation"
7354,97046,"Gianduja3","Beacon Aggregation","simulation"
9682,48792,"Gianduja3","Beacon Aggregation","simulation"
6293,62804,"Gianduja3","Beacon Aggregation","simulation"
7269,68988,"Gianduja3","Beacon Aggregation","simulation"
10824,98128,"Gianduja3E","Beacon Aggregation","simulation"
5824,78246,"Gianduja3E","Beacon Aggregation","simulation"
10664,5081,"Gianduja3E","Beacon Aggregation","simulation"
5682,51028,"Gianduja3E","Beacon Aggregation","simulation"
5275,28832,"Gianduja3E","Beacon Aggregation","simulation"
8188,37383,"Gianduja3E","Beacon Aggregation","simulation"
9887,34385,"Gianduja3E","Beacon Aggregation","simulation"
8558,96043,"Gianduja3E","Beacon Aggregation","simulation"
7754,95415,"Gianduja3E","Beacon Aggregation","simulation"
9396,9221,"Gianduja3E","Beacon Aggregation","simulation"
5041,16672,"Gianduja3E","Beacon Aggregation","simulation"
7028,14671,"Gianduja3E","Beacon Aggregation","simulation"
6842,79820,"Gianduja3E","Beacon Aggregation","simulation"
6298,7583,"Gianduja3E","Beacon Aggregation","simulation"
7682,58134,"Gianduja3E","Beacon Aggregation","simulation"
6041,94393,"Gianduja3E","Beacon Aggregation","simulation"
3825,7548,"Gianduja3E","Beacon Aggregation","simulation"
6159,19890,"Gianduja3E","Beacon Aggregation","simulation"
5971,46885,"Gianduja3E","Beacon Aggregation","simulation"
7291,52388,"Gianduja3E","Beacon Aggregation","simulation"
7532,87754,"Gianduja3E","Beacon Aggregation","simulation"
9370,47343,"Gianduja3E","Beacon Aggregation","simulation"
5488,13478,"Gianduja3E","Beacon Aggregation","simulation"
10705,17254,"Gianduja3E","Beacon Aggregation","simulation"
5854,39786,"Gianduja3E","Beacon Aggregation","simulation"
8121,12071,"Gianduja3E","Beacon Aggregation","simulation"
8278,82478,"Gianduja3E","Beacon Aggregation","simulation"
7564,51590,"Gianduja3E","Beacon Aggregation","simulation"
10745,90271,"Gianduja3E","Beacon Aggregation","simulation"
7736,21440,"Gianduja3E","Beacon Aggregation","simulation"
8498,88504,"Gianduja3E","Beacon Aggregation","simulation"
