"score","seed","alg","task","real"
11633,98128,"Gianduja3","Beacon DecPR","simulation"
10644,78246,"Gianduja3","Beacon DecPR","simulation"
11491,5081,"Gianduja3","Beacon DecPR","simulation"
11357,51028,"Gianduja3","Beacon DecPR","simulation"
11468,28832,"Gianduja3","Beacon DecPR","simulation"
11075,37383,"Gianduja3","Beacon DecPR","simulation"
11562,34385,"Gianduja3","Beacon DecPR","simulation"
11381,96043,"Gianduja3","Beacon DecPR","simulation"
11052,95415,"Gianduja3","Beacon DecPR","simulation"
11226,9221,"Gianduja3","Beacon DecPR","simulation"
11563,16672,"Gianduja3","Beacon DecPR","simulation"
11362,14671,"Gianduja3","Beacon DecPR","simulation"
11383,79820,"Gianduja3","Beacon DecPR","simulation"
11394,7583,"Gianduja3","Beacon DecPR","simulation"
11438,58134,"Gianduja3","Beacon DecPR","simulation"
11438,94393,"Gianduja3","Beacon DecPR","simulation"
11379,7548,"Gianduja3","Beacon DecPR","simulation"
11362,19890,"Gianduja3","Beacon DecPR","simulation"
11315,46885,"Gianduja3","Beacon DecPR","simulation"
11362,52388,"Gianduja3","Beacon DecPR","simulation"
11438,87754,"Gianduja3","Beacon DecPR","simulation"
11438,47343,"Gianduja3","Beacon DecPR","simulation"
11362,13478,"Gianduja3","Beacon DecPR","simulation"
11438,17254,"Gianduja3","Beacon DecPR","simulation"
11429,39786,"Gianduja3","Beacon DecPR","simulation"
11438,12071,"Gianduja3","Beacon DecPR","simulation"
11438,82478,"Gianduja3","Beacon DecPR","simulation"
11437,51590,"Gianduja3","Beacon DecPR","simulation"
11438,90271,"Gianduja3","Beacon DecPR","simulation"
11362,21440,"Gianduja3","Beacon DecPR","simulation"
15178,88504,"Gianduja3","Beacon DecPR","simulation"
15440,10126,"Gianduja3","Beacon DecPR","simulation"
14938,72952,"Gianduja3","Beacon DecPR","simulation"
7813,57303,"Gianduja3","Beacon DecPR","simulation"
8284,87190,"Gianduja3","Beacon DecPR","simulation"
14368,74278,"Gianduja3","Beacon DecPR","simulation"
13675,58122,"Gianduja3","Beacon DecPR","simulation"
7728,69996,"Gianduja3","Beacon DecPR","simulation"
8219,62778,"Gianduja3","Beacon DecPR","simulation"
14519,66277,"Gianduja3","Beacon DecPR","simulation"
11552,61464,"Gianduja3","Beacon DecPR","simulation"
12006,43039,"Gianduja3","Beacon DecPR","simulation"
11391,92123,"Gianduja3","Beacon DecPR","simulation"
11269,77088,"Gianduja3","Beacon DecPR","simulation"
10699,52577,"Gianduja3","Beacon DecPR","simulation"
11397,70407,"Gianduja3","Beacon DecPR","simulation"
13066,69179,"Gianduja3","Beacon DecPR","simulation"
11786,82028,"Gianduja3","Beacon DecPR","simulation"
11384,45716,"Gianduja3","Beacon DecPR","simulation"
12049,9989,"Gianduja3","Beacon DecPR","simulation"
11860,39975,"Gianduja3","Beacon DecPR","simulation"
11482,45670,"Gianduja3","Beacon DecPR","simulation"
11380,35842,"Gianduja3","Beacon DecPR","simulation"
11159,85831,"Gianduja3","Beacon DecPR","simulation"
13494,96278,"Gianduja3","Beacon DecPR","simulation"
11383,80536,"Gianduja3","Beacon DecPR","simulation"
11362,87372,"Gianduja3","Beacon DecPR","simulation"
11438,99892,"Gianduja3","Beacon DecPR","simulation"
11075,89604,"Gianduja3","Beacon DecPR","simulation"
11801,83114,"Gianduja3","Beacon DecPR","simulation"
11438,6497,"Gianduja3","Beacon DecPR","simulation"
11438,92972,"Gianduja3","Beacon DecPR","simulation"
11438,11535,"Gianduja3","Beacon DecPR","simulation"
11438,92749,"Gianduja3","Beacon DecPR","simulation"
11342,82858,"Gianduja3","Beacon DecPR","simulation"
11362,15932,"Gianduja3","Beacon DecPR","simulation"
11366,61397,"Gianduja3","Beacon DecPR","simulation"
11438,78113,"Gianduja3","Beacon DecPR","simulation"
11438,30010,"Gianduja3","Beacon DecPR","simulation"
11362,48677,"Gianduja3","Beacon DecPR","simulation"
11252,40027,"Gianduja3","Beacon DecPR","simulation"
12774,55937,"Gianduja3","Beacon DecPR","simulation"
11259,79284,"Gianduja3","Beacon DecPR","simulation"
11382,37609,"Gianduja3","Beacon DecPR","simulation"
11645,10327,"Gianduja3","Beacon DecPR","simulation"
11921,42676,"Gianduja3","Beacon DecPR","simulation"
10743,33507,"Gianduja3","Beacon DecPR","simulation"
11708,84383,"Gianduja3","Beacon DecPR","simulation"
12431,21087,"Gianduja3","Beacon DecPR","simulation"
11086,12499,"Gianduja3","Beacon DecPR","simulation"
11362,24034,"Gianduja3","Beacon DecPR","simulation"
11362,88644,"Gianduja3","Beacon DecPR","simulation"
11438,23820,"Gianduja3","Beacon DecPR","simulation"
11362,71629,"Gianduja3","Beacon DecPR","simulation"
11438,7732,"Gianduja3","Beacon DecPR","simulation"
11438,19319,"Gianduja3","Beacon DecPR","simulation"
11438,3365,"Gianduja3","Beacon DecPR","simulation"
11343,16774,"Gianduja3","Beacon DecPR","simulation"
11458,31355,"Gianduja3","Beacon DecPR","simulation"
11438,7638,"Gianduja3","Beacon DecPR","simulation"
11438,8528,"Gianduja3","Beacon DecPR","simulation"
11450,36091,"Gianduja3","Beacon DecPR","simulation"
11438,58938,"Gianduja3","Beacon DecPR","simulation"
11438,66126,"Gianduja3","Beacon DecPR","simulation"
10999,22108,"Gianduja3","Beacon DecPR","simulation"
11360,33965,"Gianduja3","Beacon DecPR","simulation"
11438,97046,"Gianduja3","Beacon DecPR","simulation"
11362,48792,"Gianduja3","Beacon DecPR","simulation"
11362,62804,"Gianduja3","Beacon DecPR","simulation"
11362,68988,"Gianduja3","Beacon DecPR","simulation"
11590,98128,"Gianduja3E","Beacon DecPR","simulation"
17823,78246,"Gianduja3E","Beacon DecPR","simulation"
18528,5081,"Gianduja3E","Beacon DecPR","simulation"
11251,51028,"Gianduja3E","Beacon DecPR","simulation"
