"score","seed","alg","task","real"
13211,98128,"Evocom3","Beacon Dec","simulation"
16159,78246,"Evocom3","Beacon Dec","simulation"
15264,5081,"Evocom3","Beacon Dec","simulation"
7737,51028,"Evocom3","Beacon Dec","simulation"
7259,28832,"Evocom3","Beacon Dec","simulation"
10165,37383,"Evocom3","Beacon Dec","simulation"
16692,34385,"Evocom3","Beacon Dec","simulation"
12793,96043,"Evocom3","Beacon Dec","simulation"
7161,95415,"Evocom3","Beacon Dec","simulation"
11707,9221,"Evocom3","Beacon Dec","simulation"
11633,98128,"Gianduja3","Beacon Dec","simulation"
11388,78246,"Gianduja3","Beacon Dec","simulation"
11438,5081,"Gianduja3","Beacon Dec","simulation"
7610,51028,"Gianduja3","Beacon Dec","simulation"
11753,28832,"Gianduja3","Beacon Dec","simulation"
10993,37383,"Gianduja3","Beacon Dec","simulation"
11442,34385,"Gianduja3","Beacon Dec","simulation"
12634,96043,"Gianduja3","Beacon Dec","simulation"
11362,95415,"Gianduja3","Beacon Dec","simulation"
11362,9221,"Gianduja3","Beacon Dec","simulation"
10115,98128,"Gianduja3E","Beacon Dec","simulation"
16859,78246,"Gianduja3E","Beacon Dec","simulation"
13064,5081,"Gianduja3E","Beacon Dec","simulation"
9477,51028,"Gianduja3E","Beacon Dec","simulation"
8845,28832,"Gianduja3E","Beacon Dec","simulation"
6308,37383,"Gianduja3E","Beacon Dec","simulation"
16596,34385,"Gianduja3E","Beacon Dec","simulation"
8685,96043,"Gianduja3E","Beacon Dec","simulation"
12647,95415,"Gianduja3E","Beacon Dec","simulation"
11791,9221,"Gianduja3E","Beacon Dec","simulation"
