"score","seed","alg","task","real"
11373,98128,"Gianduja2","Beacon Aggregation","simulation"
7264,78246,"Gianduja2","Beacon Aggregation","simulation"
9596,5081,"Gianduja2","Beacon Aggregation","simulation"
8558,51028,"Gianduja2","Beacon Aggregation","simulation"
8926,28832,"Gianduja2","Beacon Aggregation","simulation"
4951,37383,"Gianduja2","Beacon Aggregation","simulation"
5046,34385,"Gianduja2","Beacon Aggregation","simulation"
5402,96043,"Gianduja2","Beacon Aggregation","simulation"
9154,95415,"Gianduja2","Beacon Aggregation","simulation"
7117,9221,"Gianduja2","Beacon Aggregation","simulation"
10350,98128,"Gianduja2E","Beacon Aggregation","simulation"
8640,78246,"Gianduja2E","Beacon Aggregation","simulation"
5873,5081,"Gianduja2E","Beacon Aggregation","simulation"
8833,51028,"Gianduja2E","Beacon Aggregation","simulation"
10234,28832,"Gianduja2E","Beacon Aggregation","simulation"
1468,37383,"Gianduja2E","Beacon Aggregation","simulation"
7777,34385,"Gianduja2E","Beacon Aggregation","simulation"
12279,96043,"Gianduja2E","Beacon Aggregation","simulation"
7457,95415,"Gianduja2E","Beacon Aggregation","simulation"
2129,9221,"Gianduja2E","Beacon Aggregation","simulation"
1484,98128,"Evocom2","Beacon Aggregation","simulation"
346,78246,"Evocom2","Beacon Aggregation","simulation"
1682,5081,"Evocom2","Beacon Aggregation","simulation"
2518,51028,"Evocom2","Beacon Aggregation","simulation"
59,28832,"Evocom2","Beacon Aggregation","simulation"
883,37383,"Evocom2","Beacon Aggregation","simulation"
114,34385,"Evocom2","Beacon Aggregation","simulation"
287,96043,"Evocom2","Beacon Aggregation","simulation"
1133,95415,"Evocom2","Beacon Aggregation","simulation"
3375,9221,"Evocom2","Beacon Aggregation","simulation"
