"score","seed","alg","task","real"
22375,98128,"Gianduja2","Beacon Stop","simulation"
16885,78246,"Gianduja2","Beacon Stop","simulation"
20649,5081,"Gianduja2","Beacon Stop","simulation"
13508,51028,"Gianduja2","Beacon Stop","simulation"
13410,28832,"Gianduja2","Beacon Stop","simulation"
22322,37383,"Gianduja2","Beacon Stop","simulation"
22401,34385,"Gianduja2","Beacon Stop","simulation"
22352,96043,"Gianduja2","Beacon Stop","simulation"
21846,95415,"Gianduja2","Beacon Stop","simulation"
15298,9221,"Gianduja2","Beacon Stop","simulation"
22976,98128,"Gianduja2E","Beacon Stop","simulation"
22561,78246,"Gianduja2E","Beacon Stop","simulation"
22924,5081,"Gianduja2E","Beacon Stop","simulation"
22468,51028,"Gianduja2E","Beacon Stop","simulation"
21635,28832,"Gianduja2E","Beacon Stop","simulation"
21852,37383,"Gianduja2E","Beacon Stop","simulation"
23172,34385,"Gianduja2E","Beacon Stop","simulation"
22331,96043,"Gianduja2E","Beacon Stop","simulation"
22476,95415,"Gianduja2E","Beacon Stop","simulation"
23005,9221,"Gianduja2E","Beacon Stop","simulation"
15633,98128,"Evocom2","Beacon Stop","simulation"
13308,78246,"Evocom2","Beacon Stop","simulation"
13861,5081,"Evocom2","Beacon Stop","simulation"
15530,51028,"Evocom2","Beacon Stop","simulation"
15044,28832,"Evocom2","Beacon Stop","simulation"
15399,37383,"Evocom2","Beacon Stop","simulation"
12212,34385,"Evocom2","Beacon Stop","simulation"
12988,96043,"Evocom2","Beacon Stop","simulation"
16396,95415,"Evocom2","Beacon Stop","simulation"
15759,9221,"Evocom2","Beacon Stop","simulation"
