"score","seed","alg","task","real"
9861,98128,"Gianduja2","Beacon Aggregation","simulation"
8597,78246,"Gianduja2","Beacon Aggregation","simulation"
8475,5081,"Gianduja2","Beacon Aggregation","simulation"
7888,51028,"Gianduja2","Beacon Aggregation","simulation"
5451,28832,"Gianduja2","Beacon Aggregation","simulation"
8632,37383,"Gianduja2","Beacon Aggregation","simulation"
8977,34385,"Gianduja2","Beacon Aggregation","simulation"
9121,96043,"Gianduja2","Beacon Aggregation","simulation"
7629,95415,"Gianduja2","Beacon Aggregation","simulation"
9742,9221,"Gianduja2","Beacon Aggregation","simulation"
5103,98128,"Gianduja2E","Beacon Aggregation","simulation"
9769,78246,"Gianduja2E","Beacon Aggregation","simulation"
7686,5081,"Gianduja2E","Beacon Aggregation","simulation"
6951,51028,"Gianduja2E","Beacon Aggregation","simulation"
7751,28832,"Gianduja2E","Beacon Aggregation","simulation"
11808,37383,"Gianduja2E","Beacon Aggregation","simulation"
8245,34385,"Gianduja2E","Beacon Aggregation","simulation"
9205,96043,"Gianduja2E","Beacon Aggregation","simulation"
12658,95415,"Gianduja2E","Beacon Aggregation","simulation"
11171,9221,"Gianduja2E","Beacon Aggregation","simulation"
8240,98128,"Evocom2","Beacon Aggregation","simulation"
12338,78246,"Evocom2","Beacon Aggregation","simulation"
7174,5081,"Evocom2","Beacon Aggregation","simulation"
60,51028,"Evocom2","Beacon Aggregation","simulation"
14275,28832,"Evocom2","Beacon Aggregation","simulation"
12900,37383,"Evocom2","Beacon Aggregation","simulation"
12282,34385,"Evocom2","Beacon Aggregation","simulation"
10457,96043,"Evocom2","Beacon Aggregation","simulation"
8963,95415,"Evocom2","Beacon Aggregation","simulation"
7904,9221,"Evocom2","Beacon Aggregation","simulation"
7629,98128,"EvoCom2X","Beacon Aggregation","simulation"
7005,78246,"EvoCom2X","Beacon Aggregation","simulation"
12865,5081,"EvoCom2X","Beacon Aggregation","simulation"
11715,51028,"EvoCom2X","Beacon Aggregation","simulation"
14887,28832,"EvoCom2X","Beacon Aggregation","simulation"
10152,37383,"EvoCom2X","Beacon Aggregation","simulation"
7927,34385,"EvoCom2X","Beacon Aggregation","simulation"
8168,96043,"EvoCom2X","Beacon Aggregation","simulation"
10305,95415,"EvoCom2X","Beacon Aggregation","simulation"
4973,9221,"EvoCom2X","Beacon Aggregation","simulation"
