"score","seed","alg","task","real"
11362,98128,"Gianduja2","Beacon Dec","simulation"
11438,78246,"Gianduja2","Beacon Dec","simulation"
11438,5081,"Gianduja2","Beacon Dec","simulation"
10886,51028,"Gianduja2","Beacon Dec","simulation"
11345,28832,"Gianduja2","Beacon Dec","simulation"
11362,37383,"Gianduja2","Beacon Dec","simulation"
11442,34385,"Gianduja2","Beacon Dec","simulation"
11362,96043,"Gianduja2","Beacon Dec","simulation"
11362,95415,"Gianduja2","Beacon Dec","simulation"
10698,9221,"Gianduja2","Beacon Dec","simulation"
17214,98128,"Gianduja2E","Beacon Dec","simulation"
18375,78246,"Gianduja2E","Beacon Dec","simulation"
19733,5081,"Gianduja2E","Beacon Dec","simulation"
11982,51028,"Gianduja2E","Beacon Dec","simulation"
11362,28832,"Gianduja2E","Beacon Dec","simulation"
13027,37383,"Gianduja2E","Beacon Dec","simulation"
17759,34385,"Gianduja2E","Beacon Dec","simulation"
16529,96043,"Gianduja2E","Beacon Dec","simulation"
12582,95415,"Gianduja2E","Beacon Dec","simulation"
12917,9221,"Gianduja2E","Beacon Dec","simulation"
16009,98128,"Evocom2","Beacon Dec","simulation"
20560,78246,"Evocom2","Beacon Dec","simulation"
20568,5081,"Evocom2","Beacon Dec","simulation"
11257,51028,"Evocom2","Beacon Dec","simulation"
16025,28832,"Evocom2","Beacon Dec","simulation"
18233,37383,"Evocom2","Beacon Dec","simulation"
21464,34385,"Evocom2","Beacon Dec","simulation"
17391,96043,"Evocom2","Beacon Dec","simulation"
17794,95415,"Evocom2","Beacon Dec","simulation"
14018,9221,"Evocom2","Beacon Dec","simulation"
11438,98128,"EvoCom2X","Beacon Dec","simulation"
13242,78246,"EvoCom2X","Beacon Dec","simulation"
12006,5081,"EvoCom2X","Beacon Dec","simulation"
11472,51028,"EvoCom2X","Beacon Dec","simulation"
12549,28832,"EvoCom2X","Beacon Dec","simulation"
11431,37383,"EvoCom2X","Beacon Dec","simulation"
11378,34385,"EvoCom2X","Beacon Dec","simulation"
10593,96043,"EvoCom2X","Beacon Dec","simulation"
11016,95415,"EvoCom2X","Beacon Dec","simulation"
13374,9221,"EvoCom2X","Beacon Dec","simulation"
