"score","seed","alg","task","real"
719,98128,"Evocom3","Beacon Aggregation","simulation"
1687,78246,"Evocom3","Beacon Aggregation","simulation"
3759,5081,"Evocom3","Beacon Aggregation","simulation"
2881,51028,"Evocom3","Beacon Aggregation","simulation"
1283,28832,"Evocom3","Beacon Aggregation","simulation"
1883,37383,"Evocom3","Beacon Aggregation","simulation"
5623,34385,"Evocom3","Beacon Aggregation","simulation"
733,96043,"Evocom3","Beacon Aggregation","simulation"
3937,95415,"Evocom3","Beacon Aggregation","simulation"
3674,9221,"Evocom3","Beacon Aggregation","simulation"
5354,98128,"Gianduja3","Beacon Aggregation","simulation"
7838,78246,"Gianduja3","Beacon Aggregation","simulation"
8774,5081,"Gianduja3","Beacon Aggregation","simulation"
7390,51028,"Gianduja3","Beacon Aggregation","simulation"
9894,28832,"Gianduja3","Beacon Aggregation","simulation"
7888,37383,"Gianduja3","Beacon Aggregation","simulation"
8379,34385,"Gianduja3","Beacon Aggregation","simulation"
7650,96043,"Gianduja3","Beacon Aggregation","simulation"
5881,95415,"Gianduja3","Beacon Aggregation","simulation"
5218,9221,"Gianduja3","Beacon Aggregation","simulation"
9451,98128,"Gianduja3E","Beacon Aggregation","simulation"
6661,78246,"Gianduja3E","Beacon Aggregation","simulation"
6175,5081,"Gianduja3E","Beacon Aggregation","simulation"
7489,51028,"Gianduja3E","Beacon Aggregation","simulation"
10541,28832,"Gianduja3E","Beacon Aggregation","simulation"
4450,37383,"Gianduja3E","Beacon Aggregation","simulation"
6012,34385,"Gianduja3E","Beacon Aggregation","simulation"
6584,96043,"Gianduja3E","Beacon Aggregation","simulation"
9957,95415,"Gianduja3E","Beacon Aggregation","simulation"
5734,9221,"Gianduja3E","Beacon Aggregation","simulation"
8768,98128,"EvoCom3X","Beacon Aggregation","simulation"
9831,78246,"EvoCom3X","Beacon Aggregation","simulation"
6484,5081,"EvoCom3X","Beacon Aggregation","simulation"
415,51028,"EvoCom3X","Beacon Aggregation","simulation"
1,28832,"EvoCom3X","Beacon Aggregation","simulation"
2426,37383,"EvoCom3X","Beacon Aggregation","simulation"
5731,34385,"EvoCom3X","Beacon Aggregation","simulation"
7135,96043,"EvoCom3X","Beacon Aggregation","simulation"
310,95415,"EvoCom3X","Beacon Aggregation","simulation"
1,9221,"EvoCom3X","Beacon Aggregation","simulation"
