"score","seed","alg","task","real"
17261,98128,"Evocom3","Beacon Dec","simulation"
21685,78246,"Evocom3","Beacon Dec","simulation"
17361,5081,"Evocom3","Beacon Dec","simulation"
17440,51028,"Evocom3","Beacon Dec","simulation"
16873,28832,"Evocom3","Beacon Dec","simulation"
14094,37383,"Evocom3","Beacon Dec","simulation"
22378,34385,"Evocom3","Beacon Dec","simulation"
14210,96043,"Evocom3","Beacon Dec","simulation"
17626,95415,"Evocom3","Beacon Dec","simulation"
18960,9221,"Evocom3","Beacon Dec","simulation"
11127,98128,"Gianduja3","Beacon Dec","simulation"
11438,78246,"Gianduja3","Beacon Dec","simulation"
11438,5081,"Gianduja3","Beacon Dec","simulation"
8650,51028,"Gianduja3","Beacon Dec","simulation"
11241,28832,"Gianduja3","Beacon Dec","simulation"
11362,37383,"Gianduja3","Beacon Dec","simulation"
11641,34385,"Gianduja3","Beacon Dec","simulation"
10538,96043,"Gianduja3","Beacon Dec","simulation"
11297,95415,"Gianduja3","Beacon Dec","simulation"
11362,9221,"Gianduja3","Beacon Dec","simulation"
11791,98128,"Gianduja3E","Beacon Dec","simulation"
19070,78246,"Gianduja3E","Beacon Dec","simulation"
17302,5081,"Gianduja3E","Beacon Dec","simulation"
9679,51028,"Gianduja3E","Beacon Dec","simulation"
10213,28832,"Gianduja3E","Beacon Dec","simulation"
11689,37383,"Gianduja3E","Beacon Dec","simulation"
17704,34385,"Gianduja3E","Beacon Dec","simulation"
9215,96043,"Gianduja3E","Beacon Dec","simulation"
16007,95415,"Gianduja3E","Beacon Dec","simulation"
15402,9221,"Gianduja3E","Beacon Dec","simulation"
11449,98128,"EvoCom3X","Beacon Dec","simulation"
19526,78246,"EvoCom3X","Beacon Dec","simulation"
12515,5081,"EvoCom3X","Beacon Dec","simulation"
11335,51028,"EvoCom3X","Beacon Dec","simulation"
11438,28832,"EvoCom3X","Beacon Dec","simulation"
11545,37383,"EvoCom3X","Beacon Dec","simulation"
9771,34385,"EvoCom3X","Beacon Dec","simulation"
12310,96043,"EvoCom3X","Beacon Dec","simulation"
11217,95415,"EvoCom3X","Beacon Dec","simulation"
13298,9221,"EvoCom3X","Beacon Dec","simulation"
