"score","seed","alg","task","real"
20436,98128,"Evocom3","Beacon Stop","simulation"
19829,78246,"Evocom3","Beacon Stop","simulation"
19774,5081,"Evocom3","Beacon Stop","simulation"
20118,51028,"Evocom3","Beacon Stop","simulation"
19474,28832,"Evocom3","Beacon Stop","simulation"
20114,37383,"Evocom3","Beacon Stop","simulation"
18479,34385,"Evocom3","Beacon Stop","simulation"
20426,96043,"Evocom3","Beacon Stop","simulation"
19911,95415,"Evocom3","Beacon Stop","simulation"
20248,9221,"Evocom3","Beacon Stop","simulation"
20521,98128,"Gianduja3","Beacon Stop","simulation"
17805,78246,"Gianduja3","Beacon Stop","simulation"
22524,5081,"Gianduja3","Beacon Stop","simulation"
19707,51028,"Gianduja3","Beacon Stop","simulation"
21662,28832,"Gianduja3","Beacon Stop","simulation"
20008,37383,"Gianduja3","Beacon Stop","simulation"
19528,34385,"Gianduja3","Beacon Stop","simulation"
18700,96043,"Gianduja3","Beacon Stop","simulation"
19060,95415,"Gianduja3","Beacon Stop","simulation"
21944,9221,"Gianduja3","Beacon Stop","simulation"
22337,98128,"Gianduja3E","Beacon Stop","simulation"
23350,78246,"Gianduja3E","Beacon Stop","simulation"
22519,5081,"Gianduja3E","Beacon Stop","simulation"
21934,51028,"Gianduja3E","Beacon Stop","simulation"
22094,28832,"Gianduja3E","Beacon Stop","simulation"
22204,37383,"Gianduja3E","Beacon Stop","simulation"
23183,34385,"Gianduja3E","Beacon Stop","simulation"
22302,96043,"Gianduja3E","Beacon Stop","simulation"
21969,95415,"Gianduja3E","Beacon Stop","simulation"
22048,9221,"Gianduja3E","Beacon Stop","simulation"
14110,98128,"EvoCom3X","Beacon Stop","simulation"
19442,78246,"EvoCom3X","Beacon Stop","simulation"
12387,5081,"EvoCom3X","Beacon Stop","simulation"
14195,51028,"EvoCom3X","Beacon Stop","simulation"
14344,28832,"EvoCom3X","Beacon Stop","simulation"
18410,37383,"EvoCom3X","Beacon Stop","simulation"
12320,34385,"EvoCom3X","Beacon Stop","simulation"
14454,96043,"EvoCom3X","Beacon Stop","simulation"
12810,95415,"EvoCom3X","Beacon Stop","simulation"
14703,9221,"EvoCom3X","Beacon Stop","simulation"
