"score","seed","alg","task","real"
6446,98128,"Gianduja2","Beacon AggregationPR","simulation"
6833,78246,"Gianduja2","Beacon AggregationPR","simulation"
6876,5081,"Gianduja2","Beacon AggregationPR","simulation"
7080,51028,"Gianduja2","Beacon AggregationPR","simulation"
6646,28832,"Gianduja2","Beacon AggregationPR","simulation"
9705,37383,"Gianduja2","Beacon AggregationPR","simulation"
9531,34385,"Gianduja2","Beacon AggregationPR","simulation"
6032,96043,"Gianduja2","Beacon AggregationPR","simulation"
5077,95415,"Gianduja2","Beacon AggregationPR","simulation"
5388,9221,"Gianduja2","Beacon AggregationPR","simulation"
7727,16672,"Gianduja2","Beacon AggregationPR","simulation"
7774,14671,"Gianduja2","Beacon AggregationPR","simulation"
4820,79820,"Gianduja2","Beacon AggregationPR","simulation"
8227,7583,"Gianduja2","Beacon AggregationPR","simulation"
6340,58134,"Gianduja2","Beacon AggregationPR","simulation"
8272,94393,"Gianduja2","Beacon AggregationPR","simulation"
8328,7548,"Gianduja2","Beacon AggregationPR","simulation"
7362,19890,"Gianduja2","Beacon AggregationPR","simulation"
9403,46885,"Gianduja2","Beacon AggregationPR","simulation"
7398,52388,"Gianduja2","Beacon AggregationPR","simulation"
6856,87754,"Gianduja2","Beacon AggregationPR","simulation"
7234,47343,"Gianduja2","Beacon AggregationPR","simulation"
8683,13478,"Gianduja2","Beacon AggregationPR","simulation"
5914,17254,"Gianduja2","Beacon AggregationPR","simulation"
8845,39786,"Gianduja2","Beacon AggregationPR","simulation"
8309,12071,"Gianduja2","Beacon AggregationPR","simulation"
6351,82478,"Gianduja2","Beacon AggregationPR","simulation"
9872,51590,"Gianduja2","Beacon AggregationPR","simulation"
7175,90271,"Gianduja2","Beacon AggregationPR","simulation"
5876,21440,"Gianduja2","Beacon AggregationPR","simulation"
8820,88504,"Gianduja2","Beacon AggregationPR","simulation"
9461,10126,"Gianduja2","Beacon AggregationPR","simulation"
8149,72952,"Gianduja2","Beacon AggregationPR","simulation"
5903,57303,"Gianduja2","Beacon AggregationPR","simulation"
5723,87190,"Gianduja2","Beacon AggregationPR","simulation"
9643,74278,"Gianduja2","Beacon AggregationPR","simulation"
6462,58122,"Gianduja2","Beacon AggregationPR","simulation"
6999,69996,"Gianduja2","Beacon AggregationPR","simulation"
7071,62778,"Gianduja2","Beacon AggregationPR","simulation"
7380,66277,"Gianduja2","Beacon AggregationPR","simulation"
5962,61464,"Gianduja2","Beacon AggregationPR","simulation"
7919,43039,"Gianduja2","Beacon AggregationPR","simulation"
5714,92123,"Gianduja2","Beacon AggregationPR","simulation"
9095,77088,"Gianduja2","Beacon AggregationPR","simulation"
6436,52577,"Gianduja2","Beacon AggregationPR","simulation"
4414,70407,"Gianduja2","Beacon AggregationPR","simulation"
9168,69179,"Gianduja2","Beacon AggregationPR","simulation"
7206,82028,"Gianduja2","Beacon AggregationPR","simulation"
7572,45716,"Gianduja2","Beacon AggregationPR","simulation"
9297,9989,"Gianduja2","Beacon AggregationPR","simulation"
7657,39975,"Gianduja2","Beacon AggregationPR","simulation"
6567,45670,"Gianduja2","Beacon AggregationPR","simulation"
9271,35842,"Gianduja2","Beacon AggregationPR","simulation"
7917,85831,"Gianduja2","Beacon AggregationPR","simulation"
7619,96278,"Gianduja2","Beacon AggregationPR","simulation"
6357,80536,"Gianduja2","Beacon AggregationPR","simulation"
6212,87372,"Gianduja2","Beacon AggregationPR","simulation"
8166,99892,"Gianduja2","Beacon AggregationPR","simulation"
8590,89604,"Gianduja2","Beacon AggregationPR","simulation"
9628,83114,"Gianduja2","Beacon AggregationPR","simulation"
7079,6497,"Gianduja2","Beacon AggregationPR","simulation"
6194,92972,"Gianduja2","Beacon AggregationPR","simulation"
8168,11535,"Gianduja2","Beacon AggregationPR","simulation"
6427,92749,"Gianduja2","Beacon AggregationPR","simulation"
6765,82858,"Gianduja2","Beacon AggregationPR","simulation"
6617,15932,"Gianduja2","Beacon AggregationPR","simulation"
9636,61397,"Gianduja2","Beacon AggregationPR","simulation"
7072,78113,"Gianduja2","Beacon AggregationPR","simulation"
12400,30010,"Gianduja2","Beacon AggregationPR","simulation"
7012,48677,"Gianduja2","Beacon AggregationPR","simulation"
5721,40027,"Gianduja2","Beacon AggregationPR","simulation"
9584,55937,"Gianduja2","Beacon AggregationPR","simulation"
7849,79284,"Gianduja2","Beacon AggregationPR","simulation"
8505,37609,"Gianduja2","Beacon AggregationPR","simulation"
7585,10327,"Gianduja2","Beacon AggregationPR","simulation"
8512,42676,"Gianduja2","Beacon AggregationPR","simulation"
5980,33507,"Gianduja2","Beacon AggregationPR","simulation"
5635,84383,"Gianduja2","Beacon AggregationPR","simulation"
6142,21087,"Gianduja2","Beacon AggregationPR","simulation"
10674,12499,"Gianduja2","Beacon AggregationPR","simulation"
6647,24034,"Gianduja2","Beacon AggregationPR","simulation"
5630,88644,"Gianduja2","Beacon AggregationPR","simulation"
7502,23820,"Gianduja2","Beacon AggregationPR","simulation"
3867,71629,"Gianduja2","Beacon AggregationPR","simulation"
7863,7732,"Gianduja2","Beacon AggregationPR","simulation"
7111,19319,"Gianduja2","Beacon AggregationPR","simulation"
7665,3365,"Gianduja2","Beacon AggregationPR","simulation"
7977,16774,"Gianduja2","Beacon AggregationPR","simulation"
7639,31355,"Gianduja2","Beacon AggregationPR","simulation"
7383,7638,"Gianduja2","Beacon AggregationPR","simulation"
6442,8528,"Gianduja2","Beacon AggregationPR","simulation"
6815,36091,"Gianduja2","Beacon AggregationPR","simulation"
6285,58938,"Gianduja2","Beacon AggregationPR","simulation"
7680,66126,"Gianduja2","Beacon AggregationPR","simulation"
11836,22108,"Gianduja2","Beacon AggregationPR","simulation"
9206,33965,"Gianduja2","Beacon AggregationPR","simulation"
6519,97046,"Gianduja2","Beacon AggregationPR","simulation"
10410,48792,"Gianduja2","Beacon AggregationPR","simulation"
6718,62804,"Gianduja2","Beacon AggregationPR","simulation"
8675,68988,"Gianduja2","Beacon AggregationPR","simulation"
