"score","seed","alg","task","real"
20436,98128,"EvoCom3","Beacon Stop","simulation"
19829,78246,"EvoCom3","Beacon Stop","simulation"
19774,5081,"EvoCom3","Beacon Stop","simulation"
20118,51028,"EvoCom3","Beacon Stop","simulation"
19474,28832,"EvoCom3","Beacon Stop","simulation"
20114,37383,"EvoCom3","Beacon Stop","simulation"
18479,34385,"EvoCom3","Beacon Stop","simulation"
20426,96043,"EvoCom3","Beacon Stop","simulation"
19911,95415,"EvoCom3","Beacon Stop","simulation"
20248,9221,"EvoCom3","Beacon Stop","simulation"
17500,98128,"Gianduja3","Beacon Stop","simulation"
19663,78246,"Gianduja3","Beacon Stop","simulation"
22407,5081,"Gianduja3","Beacon Stop","simulation"
16551,51028,"Gianduja3","Beacon Stop","simulation"
12216,28832,"Gianduja3","Beacon Stop","simulation"
22277,37383,"Gianduja3","Beacon Stop","simulation"
14706,34385,"Gianduja3","Beacon Stop","simulation"
15065,96043,"Gianduja3","Beacon Stop","simulation"
13556,95415,"Gianduja3","Beacon Stop","simulation"
21887,9221,"Gianduja3","Beacon Stop","simulation"
22504,98128,"Gianduja3E","Beacon Stop","simulation"
23116,78246,"Gianduja3E","Beacon Stop","simulation"
22441,5081,"Gianduja3E","Beacon Stop","simulation"
21991,51028,"Gianduja3E","Beacon Stop","simulation"
21635,28832,"Gianduja3E","Beacon Stop","simulation"
22189,37383,"Gianduja3E","Beacon Stop","simulation"
23068,34385,"Gianduja3E","Beacon Stop","simulation"
22172,96043,"Gianduja3E","Beacon Stop","simulation"
22186,95415,"Gianduja3E","Beacon Stop","simulation"
22050,9221,"Gianduja3E","Beacon Stop","simulation"
