"score","seed","alg","task","real"
22245,98128,"Gianduja2","Beacon Stop","simulation"
17012,78246,"Gianduja2","Beacon Stop","simulation"
20406,5081,"Gianduja2","Beacon Stop","simulation"
19273,51028,"Gianduja2","Beacon Stop","simulation"
22028,28832,"Gianduja2","Beacon Stop","simulation"
19678,37383,"Gianduja2","Beacon Stop","simulation"
18073,34385,"Gianduja2","Beacon Stop","simulation"
22078,96043,"Gianduja2","Beacon Stop","simulation"
21826,95415,"Gianduja2","Beacon Stop","simulation"
22026,9221,"Gianduja2","Beacon Stop","simulation"
22448,16672,"Gianduja2","Beacon Stop","simulation"
20361,14671,"Gianduja2","Beacon Stop","simulation"
22190,7550,"Gianduja2","Beacon Stop","simulation"
18079,7583,"Gianduja2","Beacon Stop","simulation"
22393,58134,"Gianduja2","Beacon Stop","simulation"
22339,98128,"Gianduja2E","Beacon Stop","simulation"
22392,78246,"Gianduja2E","Beacon Stop","simulation"
22929,5081,"Gianduja2E","Beacon Stop","simulation"
22122,51028,"Gianduja2E","Beacon Stop","simulation"
22198,28832,"Gianduja2E","Beacon Stop","simulation"
22620,37383,"Gianduja2E","Beacon Stop","simulation"
22242,34385,"Gianduja2E","Beacon Stop","simulation"
21735,96043,"Gianduja2E","Beacon Stop","simulation"
22640,95415,"Gianduja2E","Beacon Stop","simulation"
21938,9221,"Gianduja2E","Beacon Stop","simulation"
22001,16672,"Gianduja2E","Beacon Stop","simulation"
22006,14671,"Gianduja2E","Beacon Stop","simulation"
22582,7550,"Gianduja2E","Beacon Stop","simulation"
22546,7583,"Gianduja2E","Beacon Stop","simulation"
22578,58134,"Gianduja2E","Beacon Stop","simulation"
20521,98128,"Gianduja3","Beacon Stop","simulation"
17805,78246,"Gianduja3","Beacon Stop","simulation"
22524,5081,"Gianduja3","Beacon Stop","simulation"
19707,51028,"Gianduja3","Beacon Stop","simulation"
21662,28832,"Gianduja3","Beacon Stop","simulation"
20008,37383,"Gianduja3","Beacon Stop","simulation"
19528,34385,"Gianduja3","Beacon Stop","simulation"
18700,96043,"Gianduja3","Beacon Stop","simulation"
19060,95415,"Gianduja3","Beacon Stop","simulation"
21944,9221,"Gianduja3","Beacon Stop","simulation"
22428,16672,"Gianduja3","Beacon Stop","simulation"
18995,14671,"Gianduja3","Beacon Stop","simulation"
20846,7550,"Gianduja3","Beacon Stop","simulation"
17980,7583,"Gianduja3","Beacon Stop","simulation"
20910,58134,"Gianduja3","Beacon Stop","simulation"
22337,98128,"Gianduja3E","Beacon Stop","simulation"
23350,78246,"Gianduja3E","Beacon Stop","simulation"
22519,5081,"Gianduja3E","Beacon Stop","simulation"
21934,51028,"Gianduja3E","Beacon Stop","simulation"
22094,28832,"Gianduja3E","Beacon Stop","simulation"
22204,37383,"Gianduja3E","Beacon Stop","simulation"
23183,34385,"Gianduja3E","Beacon Stop","simulation"
22302,96043,"Gianduja3E","Beacon Stop","simulation"
21969,95415,"Gianduja3E","Beacon Stop","simulation"
22048,9221,"Gianduja3E","Beacon Stop","simulation"
22428,16672,"Gianduja3E","Beacon Stop","simulation"
22089,14671,"Gianduja3E","Beacon Stop","simulation"
22113,7550,"Gianduja3E","Beacon Stop","simulation"
22285,7583,"Gianduja3E","Beacon Stop","simulation"
22535,58134,"Gianduja3E","Beacon Stop","simulation"
21191,98128,"EvoCom2","Beacon Stop","simulation"
19999,78246,"EvoCom2","Beacon Stop","simulation"
19704,5081,"EvoCom2","Beacon Stop","simulation"
20502,51028,"EvoCom2","Beacon Stop","simulation"
20659,28832,"EvoCom2","Beacon Stop","simulation"
20903,37383,"EvoCom2","Beacon Stop","simulation"
19812,34385,"EvoCom2","Beacon Stop","simulation"
21071,96043,"EvoCom2","Beacon Stop","simulation"
19618,95415,"EvoCom2","Beacon Stop","simulation"
20824,9221,"EvoCom2","Beacon Stop","simulation"
20182,16672,"EvoCom2","Beacon Stop","simulation"
19844,14671,"EvoCom2","Beacon Stop","simulation"
18282,7550,"EvoCom2","Beacon Stop","simulation"
19676,7583,"EvoCom2","Beacon Stop","simulation"
21571,58134,"EvoCom2","Beacon Stop","simulation"
20898,98128,"EvoCom2X","Beacon Stop","simulation"
19327,78246,"EvoCom2X","Beacon Stop","simulation"
17792,5081,"EvoCom2X","Beacon Stop","simulation"
18681,51028,"EvoCom2X","Beacon Stop","simulation"
20166,28832,"EvoCom2X","Beacon Stop","simulation"
21072,37383,"EvoCom2X","Beacon Stop","simulation"
20546,34385,"EvoCom2X","Beacon Stop","simulation"
22292,96043,"EvoCom2X","Beacon Stop","simulation"
18949,95415,"EvoCom2X","Beacon Stop","simulation"
20189,9221,"EvoCom2X","Beacon Stop","simulation"
21807,16672,"EvoCom2X","Beacon Stop","simulation"
20609,14671,"EvoCom2X","Beacon Stop","simulation"
18629,7550,"EvoCom2X","Beacon Stop","simulation"
20001,7583,"EvoCom2X","Beacon Stop","simulation"
21099,58134,"EvoCom2X","Beacon Stop","simulation"
19044,98128,"EvoCom3","Beacon Stop","simulation"
19299,78246,"EvoCom3","Beacon Stop","simulation"
19555,5081,"EvoCom3","Beacon Stop","simulation"
17811,51028,"EvoCom3","Beacon Stop","simulation"
19194,28832,"EvoCom3","Beacon Stop","simulation"
21074,37383,"EvoCom3","Beacon Stop","simulation"
19871,34385,"EvoCom3","Beacon Stop","simulation"
19376,96043,"EvoCom3","Beacon Stop","simulation"
19916,95415,"EvoCom3","Beacon Stop","simulation"
20916,9221,"EvoCom3","Beacon Stop","simulation"
20620,16672,"EvoCom3","Beacon Stop","simulation"
18906,14671,"EvoCom3","Beacon Stop","simulation"
19734,7550,"EvoCom3","Beacon Stop","simulation"
20472,7583,"EvoCom3","Beacon Stop","simulation"
21074,58134,"EvoCom3","Beacon Stop","simulation"
19555,98128,"EvoCom3X","Beacon Stop","simulation"
20727,78246,"EvoCom3X","Beacon Stop","simulation"
19260,5081,"EvoCom3X","Beacon Stop","simulation"
19133,51028,"EvoCom3X","Beacon Stop","simulation"
20763,28832,"EvoCom3X","Beacon Stop","simulation"
20906,37383,"EvoCom3X","Beacon Stop","simulation"
20023,34385,"EvoCom3X","Beacon Stop","simulation"
20253,96043,"EvoCom3X","Beacon Stop","simulation"
20140,95415,"EvoCom3X","Beacon Stop","simulation"
19807,9221,"EvoCom3X","Beacon Stop","simulation"
20507,16672,"EvoCom3X","Beacon Stop","simulation"
21195,14671,"EvoCom3X","Beacon Stop","simulation"
21600,7550,"EvoCom3X","Beacon Stop","simulation"
19890,7583,"EvoCom3X","Beacon Stop","simulation"
20898,58134,"EvoCom3X","Beacon Stop","simulation"
22231,98128,"Gianduja2PR","Beacon Stop","simulation"
15615,78246,"Gianduja2PR","Beacon Stop","simulation"
16210,5081,"Gianduja2PR","Beacon Stop","simulation"
13079,51028,"Gianduja2PR","Beacon Stop","simulation"
22164,28832,"Gianduja2PR","Beacon Stop","simulation"
15509,37383,"Gianduja2PR","Beacon Stop","simulation"
16553,34385,"Gianduja2PR","Beacon Stop","simulation"
22352,96043,"Gianduja2PR","Beacon Stop","simulation"
21615,95415,"Gianduja2PR","Beacon Stop","simulation"
22209,9221,"Gianduja2PR","Beacon Stop","simulation"
21553,16672,"Gianduja2PR","Beacon Stop","simulation"
15772,14671,"Gianduja2PR","Beacon Stop","simulation"
22278,7550,"Gianduja2PR","Beacon Stop","simulation"
17484,7583,"Gianduja2PR","Beacon Stop","simulation"
22627,58134,"Gianduja2PR","Beacon Stop","simulation"
22506,98128,"Gianduja2EPR","Beacon Stop","simulation"
22139,78246,"Gianduja2EPR","Beacon Stop","simulation"
21639,5081,"Gianduja2EPR","Beacon Stop","simulation"
21998,51028,"Gianduja2EPR","Beacon Stop","simulation"
22631,28832,"Gianduja2EPR","Beacon Stop","simulation"
22493,37383,"Gianduja2EPR","Beacon Stop","simulation"
22778,34385,"Gianduja2EPR","Beacon Stop","simulation"
22606,96043,"Gianduja2EPR","Beacon Stop","simulation"
22105,95415,"Gianduja2EPR","Beacon Stop","simulation"
22125,9221,"Gianduja2EPR","Beacon Stop","simulation"
22733,16672,"Gianduja2EPR","Beacon Stop","simulation"
22446,14671,"Gianduja2EPR","Beacon Stop","simulation"
22975,7550,"Gianduja2EPR","Beacon Stop","simulation"
22919,7583,"Gianduja2EPR","Beacon Stop","simulation"
22321,58134,"Gianduja2EPR","Beacon Stop","simulation"
17500,98128,"Gianduja3PR","Beacon Stop","simulation"
19663,78246,"Gianduja3PR","Beacon Stop","simulation"
22407,5081,"Gianduja3PR","Beacon Stop","simulation"
16551,51028,"Gianduja3PR","Beacon Stop","simulation"
12216,28832,"Gianduja3PR","Beacon Stop","simulation"
22277,37383,"Gianduja3PR","Beacon Stop","simulation"
14706,34385,"Gianduja3PR","Beacon Stop","simulation"
15065,96043,"Gianduja3PR","Beacon Stop","simulation"
13556,95415,"Gianduja3PR","Beacon Stop","simulation"
21887,9221,"Gianduja3PR","Beacon Stop","simulation"
22548,16672,"Gianduja3PR","Beacon Stop","simulation"
17420,14671,"Gianduja3PR","Beacon Stop","simulation"
15812,7550,"Gianduja3PR","Beacon Stop","simulation"
15789,7583,"Gianduja3PR","Beacon Stop","simulation"
18181,58134,"Gianduja3PR","Beacon Stop","simulation"
22504,98128,"Gianduja3EPR","Beacon Stop","simulation"
23116,78246,"Gianduja3EPR","Beacon Stop","simulation"
22441,5081,"Gianduja3EPR","Beacon Stop","simulation"
21991,51028,"Gianduja3EPR","Beacon Stop","simulation"
21635,28832,"Gianduja3EPR","Beacon Stop","simulation"
22189,37383,"Gianduja3EPR","Beacon Stop","simulation"
23068,34385,"Gianduja3EPR","Beacon Stop","simulation"
22172,96043,"Gianduja3EPR","Beacon Stop","simulation"
22186,95415,"Gianduja3EPR","Beacon Stop","simulation"
22050,9221,"Gianduja3EPR","Beacon Stop","simulation"
22548,16672,"Gianduja3EPR","Beacon Stop","simulation"
