"score","seed","alg","task","real"
11866,98128,"Gianduja2","Beacon Dec","simulation"
21094,78246,"Gianduja2","Beacon Dec","simulation"
18663,5081,"Gianduja2","Beacon Dec","simulation"
13086,51028,"Gianduja2","Beacon Dec","simulation"
11738,28832,"Gianduja2","Beacon Dec","simulation"
15200,37383,"Gianduja2","Beacon Dec","simulation"
15489,34385,"Gianduja2","Beacon Dec","simulation"
13343,96043,"Gianduja2","Beacon Dec","simulation"
14352,95415,"Gianduja2","Beacon Dec","simulation"
11889,9221,"Gianduja2","Beacon Dec","simulation"
13696,16672,"Gianduja2","Beacon Dec","simulation"
13227,7550,"Gianduja2","Beacon Dec","simulation"
17107,7583,"Gianduja2","Beacon Dec","simulation"
15292,58134,"Gianduja2","Beacon Dec","simulation"
15793,98128,"Gianduja2E","Beacon Dec","simulation"
19207,78246,"Gianduja2E","Beacon Dec","simulation"
19767,5081,"Gianduja2E","Beacon Dec","simulation"
11202,51028,"Gianduja2E","Beacon Dec","simulation"
11362,28832,"Gianduja2E","Beacon Dec","simulation"
11786,37383,"Gianduja2E","Beacon Dec","simulation"
12869,34385,"Gianduja2E","Beacon Dec","simulation"
15348,96043,"Gianduja2E","Beacon Dec","simulation"
12327,95415,"Gianduja2E","Beacon Dec","simulation"
13403,9221,"Gianduja2E","Beacon Dec","simulation"
13822,16672,"Gianduja2E","Beacon Dec","simulation"
14549,7550,"Gianduja2E","Beacon Dec","simulation"
20076,7583,"Gianduja2E","Beacon Dec","simulation"
18727,58134,"Gianduja2E","Beacon Dec","simulation"
12539,98128,"Gianduja3","Beacon Dec","simulation"
16502,78246,"Gianduja3","Beacon Dec","simulation"
16834,5081,"Gianduja3","Beacon Dec","simulation"
10113,51028,"Gianduja3","Beacon Dec","simulation"
11354,28832,"Gianduja3","Beacon Dec","simulation"
5917,37383,"Gianduja3","Beacon Dec","simulation"
14962,34385,"Gianduja3","Beacon Dec","simulation"
10254,96043,"Gianduja3","Beacon Dec","simulation"
17124,95415,"Gianduja3","Beacon Dec","simulation"
3739,9221,"Gianduja3","Beacon Dec","simulation"
15587,16672,"Gianduja3","Beacon Dec","simulation"
15131,7550,"Gianduja3","Beacon Dec","simulation"
17744,7583,"Gianduja3","Beacon Dec","simulation"
12687,58134,"Gianduja3","Beacon Dec","simulation"
11628,98128,"Gianduja3E","Beacon Dec","simulation"
19228,78246,"Gianduja3E","Beacon Dec","simulation"
18363,5081,"Gianduja3E","Beacon Dec","simulation"
8841,51028,"Gianduja3E","Beacon Dec","simulation"
10759,28832,"Gianduja3E","Beacon Dec","simulation"
11534,37383,"Gianduja3E","Beacon Dec","simulation"
17366,34385,"Gianduja3E","Beacon Dec","simulation"
9333,96043,"Gianduja3E","Beacon Dec","simulation"
15911,95415,"Gianduja3E","Beacon Dec","simulation"
16741,9221,"Gianduja3E","Beacon Dec","simulation"
19060,16672,"Gianduja3E","Beacon Dec","simulation"
10860,7550,"Gianduja3E","Beacon Dec","simulation"
17597,7583,"Gianduja3E","Beacon Dec","simulation"
15295,58134,"Gianduja3E","Beacon Dec","simulation"
16305,98128,"EvoCom2","Beacon Dec","simulation"
21563,78246,"EvoCom2","Beacon Dec","simulation"
20528,5081,"EvoCom2","Beacon Dec","simulation"
17675,51028,"EvoCom2","Beacon Dec","simulation"
13404,28832,"EvoCom2","Beacon Dec","simulation"
17079,37383,"EvoCom2","Beacon Dec","simulation"
19863,34385,"EvoCom2","Beacon Dec","simulation"
16146,96043,"EvoCom2","Beacon Dec","simulation"
15698,95415,"EvoCom2","Beacon Dec","simulation"
17362,9221,"EvoCom2","Beacon Dec","simulation"
20954,16672,"EvoCom2","Beacon Dec","simulation"
19622,7550,"EvoCom2","Beacon Dec","simulation"
20282,7583,"EvoCom2","Beacon Dec","simulation"
20388,58134,"EvoCom2","Beacon Dec","simulation"
17776,98128,"EvoCom2X","Beacon Dec","simulation"
19846,78246,"EvoCom2X","Beacon Dec","simulation"
20188,5081,"EvoCom2X","Beacon Dec","simulation"
15827,51028,"EvoCom2X","Beacon Dec","simulation"
16917,28832,"EvoCom2X","Beacon Dec","simulation"
17779,37383,"EvoCom2X","Beacon Dec","simulation"
16690,34385,"EvoCom2X","Beacon Dec","simulation"
17883,96043,"EvoCom2X","Beacon Dec","simulation"
17676,95415,"EvoCom2X","Beacon Dec","simulation"
17609,9221,"EvoCom2X","Beacon Dec","simulation"
20761,16672,"EvoCom2X","Beacon Dec","simulation"
20955,7550,"EvoCom2X","Beacon Dec","simulation"
19970,7583,"EvoCom2X","Beacon Dec","simulation"
20618,58134,"EvoCom2X","Beacon Dec","simulation"
18064,98128,"EvoCom3","Beacon Dec","simulation"
21428,78246,"EvoCom3","Beacon Dec","simulation"
19117,5081,"EvoCom3","Beacon Dec","simulation"
17486,51028,"EvoCom3","Beacon Dec","simulation"
17762,28832,"EvoCom3","Beacon Dec","simulation"
14785,37383,"EvoCom3","Beacon Dec","simulation"
20082,34385,"EvoCom3","Beacon Dec","simulation"
17178,96043,"EvoCom3","Beacon Dec","simulation"
15437,95415,"EvoCom3","Beacon Dec","simulation"
18589,9221,"EvoCom3","Beacon Dec","simulation"
20944,16672,"EvoCom3","Beacon Dec","simulation"
20180,7550,"EvoCom3","Beacon Dec","simulation"
21120,7583,"EvoCom3","Beacon Dec","simulation"
20853,58134,"EvoCom3","Beacon Dec","simulation"
16817,98128,"EvoCom3X","Beacon Dec","simulation"
21309,78246,"EvoCom3X","Beacon Dec","simulation"
19852,5081,"EvoCom3X","Beacon Dec","simulation"
