"score","seed","alg","task","real"
40106,9221,"EvoCom","Stop","real"
40221,9221,"Chocolate","Stop","real"
43132,34385,"Gianduja","Stop","real"
35258,28832,"EvoCom","Stop","real"
41732,28832,"Gianduja","Stop","real"
38271,5081,"Gianduja","Stop","real"
3099,95415,"Chocolate","Stop","real"
39482,37383,"Chocolate","Stop","real"
42093,9221,"Gianduja","Stop","real"
38718,51028,"Gianduja","Stop","real"
43613,95415,"Gianduja","Stop","real"
39439,51028,"Chocolate","Stop","real"
35764,28832,"Chocolate","Stop","real"
32185,95415,"EvoCom","Stop","real"
40998,96043,"Chocolate","Stop","real"
1875,5081,"Chocolate","Stop","real"
21879,96043,"EvoCom","Stop","real"
5372,34385,"Chocolate","Stop","real"
4775,34385,"EvoCom","Stop","real"
39252,51028,"EvoCom","Stop","real"
8531,37383,"EvoCom","Stop","real"
41801,96043,"Gianduja","Stop","real"
4543,78246,"Gianduja","Stop","real"
5652,5081,"EvoCom","Stop","real"
39656,78246,"Chocolate","Stop","real"
43731,37383,"Gianduja","Stop","real"
28685,78246,"EvoCom","Stop","real"
42101,7583,"Chocolate","Stop","real"
37792,16672,"Gianduja","Stop","real"
1710,14671,"Chocolate","Stop","real"
30616,7548,"Chocolate","Stop","real"
41321,7548,"Gianduja","Stop","real"
584,16672,"Chocolate","Stop","real"
39521,58134,"Chocolate","Stop","real"
44282,14671,"Gianduja","Stop","real"
39541,16672,"EvoCom","Stop","real"
8542,58134,"EvoCom","Stop","real"
41674,7583,"Gianduja",Stop,"real"
39345,58134,"Gianduja","Stop","real"
4487,7548,"EvoCom","Stop","real"
33710,7583,"EvoCom","Stop","real"
6724,14671,"EvoCom","Stop","real"
