"score","seed","alg","task","real"
41345,78246,"EvoComX","Stop1X","simulation"
31085,5081,"EvoComX","Stop1X","simulation"
29502,51028,"EvoComX","Stop1X","simulation"
38010,28832,"EvoComX","Stop1X","simulation"
35881,37383,"EvoComX","Stop1X","simulation"
35266,34385,"EvoComX","Stop1X","simulation"
34954,96043,"EvoComX","Stop1X","simulation"
33825,95415,"EvoComX","Stop1X","simulation"
33988,9221,"EvoComX","Stop1X","simulation"
38254,16672,"EvoComX","Stop1X","simulation"
35036,14671,"EvoComX","Stop1X","simulation"
37703,79820,"EvoComX","Stop1X","simulation"
36619,7583,"EvoComX","Stop1X","simulation"
34946,58134,"EvoComX","Stop1X","simulation"
20404,78246,"GiandujaE","Stop1X","simulation"
41762,5081,"GiandujaE","Stop1X","simulation"
34915,51028,"GiandujaE","Stop1X","simulation"
40901,28832,"GiandujaE","Stop1X","simulation"
42242,37383,"GiandujaE","Stop1X","simulation"
42893,34385,"GiandujaE","Stop1X","simulation"
40818,96043,"GiandujaE","Stop1X","simulation"
42810,95415,"GiandujaE","Stop1X","simulation"
42866,9221,"GiandujaE","Stop1X","simulation"
10913,16672,"GiandujaE","Stop1X","simulation"
33349,14671,"GiandujaE","Stop1X","simulation"
36401,79820,"GiandujaE","Stop1X","simulation"
43627,7583,"GiandujaE","Stop1X","simulation"
44079,58134,"GiandujaE","Stop1X","simulation"
44034,78246,"GiandujaEX","Stop1X","simulation"
39150,5081,"GiandujaEX","Stop1X","simulation"
43224,51028,"GiandujaEX","Stop1X","simulation"
41328,28832,"GiandujaEX","Stop1X","simulation"
40661,37383,"GiandujaEX","Stop1X","simulation"
22812,34385,"GiandujaEX","Stop1X","simulation"
42257,96043,"GiandujaEX","Stop1X","simulation"
38738,95415,"GiandujaEX","Stop1X","simulation"
42718,9221,"GiandujaEX","Stop1X","simulation"
43238,16672,"GiandujaEX","Stop1X","simulation"
37314,14671,"GiandujaEX","Stop1X","simulation"
34712,79820,"GiandujaEX","Stop1X","simulation"
37104,7583,"GiandujaEX","Stop1X","simulation"
44805,58134,"GiandujaEX","Stop1X","simulation"
35506,78246,"GiandujaX","Stop1X","simulation"
37168,5081,"GiandujaX","Stop1X","simulation"
42796,51028,"GiandujaX","Stop1X","simulation"
39652,28832,"GiandujaX","Stop1X","simulation"
41833,37383,"GiandujaX","Stop1X","simulation"
39846,34385,"GiandujaX","Stop1X","simulation"
40606,96043,"GiandujaX","Stop1X","simulation"
38667,95415,"GiandujaX","Stop1X","simulation"
44117,9221,"GiandujaX","Stop1X","simulation"
35908,16672,"GiandujaX","Stop1X","simulation"
42792,14671,"GiandujaX","Stop1X","simulation"
40505,79820,"GiandujaX","Stop1X","simulation"
35218,7583,"GiandujaX","Stop1X","simulation"
38939,58134,"GiandujaX","Stop1X","simulation"
37175,78246,"EvoCom","Stop1X","simulation"
35924,5081,"EvoCom","Stop1X","simulation"
37995,51028,"EvoCom","Stop1X","simulation"
34589,28832,"EvoCom","Stop1X","simulation"
34417,37383,"EvoCom","Stop1X","simulation"
39333,34385,"EvoCom","Stop1X","simulation"
37935,96043,"EvoCom","Stop1X","simulation"
35655,95415,"EvoCom","Stop1X","simulation"
38120,9221,"EvoCom","Stop1X","simulation"
37041,16672,"EvoCom","Stop1X","simulation"
33960,14671,"EvoCom","Stop1X","simulation"
36745,79820,"EvoCom","Stop1X","simulation"
13725,7583,"EvoCom","Stop1X","simulation"
40301,58134,"EvoCom","Stop1X","simulation"
42113,78246,"Gianduja","Stop1X","simulation"
41532,5081,"Gianduja","Stop1X","simulation"
35691,51028,"Gianduja","Stop1X","simulation"
43939,28832,"Gianduja","Stop1X","simulation"
42337,37383,"Gianduja","Stop1X","simulation"
42191,34385,"Gianduja","Stop1X","simulation"
42230,96043,"Gianduja","Stop1X","simulation"
43978,95415,"Gianduja","Stop1X","simulation"
45185,9221,"Gianduja","Stop1X","simulation"
42444,16672,"Gianduja","Stop1X","simulation"
42214,14671,"Gianduja","Stop1X","simulation"
40349,79820,"Gianduja","Stop1X","simulation"
43653,7583,"Gianduja","Stop1X","simulation"
158,58134,"Gianduja","Stop1X","simulation"
31159,78246,"Chocolate","Stop1X","simulation"
42344,5081,"Chocolate","Stop1X","simulation"
36981,51028,"Chocolate","Stop1X","simulation"
39978,28832,"Chocolate","Stop1X","simulation"
36443,37383,"Chocolate","Stop1X","simulation"
25018,34385,"Chocolate","Stop1X","simulation"
36654,96043,"Chocolate","Stop1X","simulation"
42939,95415,"Chocolate","Stop1X","simulation"
41746,9221,"Chocolate","Stop1X","simulation"
41468,16672,"Chocolate","Stop1X","simulation"
1454,14671,"Chocolate","Stop1X","simulation"
39361,79820,"Chocolate","Stop1X","simulation"
10156,7583,"Chocolate","Stop1X","simulation"
42844,58134,"Chocolate","Stop1X","simulation"
