| Num of exp | xml | seed | controller
| ---- | ---- | ---- | ----
| 0 | Robotfiles/automodegianduja_stop_visu_79820.xml | 79820 | epuck_nn_controller
| 1 | Robotfiles/automodegianduja_stop_visu_7583.xml | 7583 | automode_choco
| 2 | Robotfiles/automodegianduja_stop_visu_46885.xml | 46885 | epuck_nn_controller
| 3 | Robotfiles/automodegianduja_stop_visu_16672.xml | 16672 | automode_gianduja
| 4 | Robotfiles/automodegianduja_stop_visu_14671.xml | 14671 | automode_choco
| 5 | Robotfiles/automodegianduja_stop_visu_7548.xml | 7548 | automode_choco
| 6 | Robotfiles/automodegianduja_stop_visu_19890.xml | 19890 | automode_gianduja
| 7 | Robotfiles/automodegianduja_stop_visu_7548.xml | 7548 | automode_gianduja
| 8 | Robotfiles/automodegianduja_stop_visu_16672.xml | 16672 | automode_choco
| 9 | Robotfiles/automodegianduja_stop_visu_52388.xml | 52388 | epuck_nn_controller
| 10 | Robotfiles/automodegianduja_stop_visu_52388.xml | 52388 | automode_choco
| 11 | Robotfiles/automodegianduja_stop_visu_58134.xml | 58134 | automode_choco
| 12 | Robotfiles/automodegianduja_stop_visu_94393.xml | 94393 | epuck_nn_controller
| 13 | Robotfiles/automodegianduja_stop_visu_46885.xml | 46885 | automode_choco
| 14 | Robotfiles/automodegianduja_stop_visu_14671.xml | 14671 | automode_gianduja
| 15 | Robotfiles/automodegianduja_stop_visu_79820.xml | 79820 | automode_choco
| 16 | Robotfiles/automodegianduja_stop_visu_19890.xml | 19890 | epuck_nn_controller
| 17 | Robotfiles/automodegianduja_stop_visu_16672.xml | 16672 | epuck_nn_controller
| 18 | Robotfiles/automodegianduja_stop_visu_58134.xml | 58134 | epuck_nn_controller
| 19 | Robotfiles/automodegianduja_stop_visu_7583.xml | 7583 | automode_gianduja
| 20 | Robotfiles/automodegianduja_stop_visu_94393.xml | 94393 | automode_choco
| 21 | Robotfiles/automodegianduja_stop_visu_46885.xml | 46885 | automode_gianduja
| 22 | Robotfiles/automodegianduja_stop_visu_58134.xml | 58134 | automode_gianduja
| 23 | Robotfiles/automodegianduja_stop_visu_7548.xml | 7548 | epuck_nn_controller
| 24 | Robotfiles/automodegianduja_stop_visu_7583.xml | 7583 | epuck_nn_controller
| 25 | Robotfiles/automodegianduja_stop_visu_79820.xml | 79820 | automode_gianduja
| 26 | Robotfiles/automodegianduja_stop_visu_52388.xml | 52388 | automode_gianduja
| 27 | Robotfiles/automodegianduja_stop_visu_94393.xml | 94393 | automode_gianduja
| 28 | Robotfiles/automodegianduja_stop_visu_19890.xml | 19890 | automode_choco
| 29 | Robotfiles/automodegianduja_stop_visu_14671.xml | 14671 | epuck_nn_controller
