"score","seed","alg","task","real"
36819,98128,"EvoCom","Stop","simulation"
38292,78246,"EvoCom","Stop","simulation"
34691,5081,"EvoCom","Stop","simulation"
10578,51028,"EvoCom","Stop","simulation"
34827,28832,"EvoCom","Stop","simulation"
39281,37383,"EvoCom","Stop","simulation"
33330,34385,"EvoCom","Stop","simulation"
39512,96043,"EvoCom","Stop","simulation"
32669,95415,"EvoCom","Stop","simulation"
33084,9221,"EvoCom","Stop","simulation"
37129,16672,"EvoCom","Stop","simulation"
38219,14671,"EvoCom","Stop","simulation"
36264,79820,"EvoCom","Stop","simulation"
36401,7583,"EvoCom","Stop","simulation"
11167,58134,"EvoCom","Stop","simulation"
38806,98128,"Gianduja","Stop","simulation"
41197,78246,"Gianduja","Stop","simulation"
41927,5081,"Gianduja","Stop","simulation"
39107,51028,"Gianduja","Stop","simulation"
37875,28832,"Gianduja","Stop","simulation"
43579,37383,"Gianduja","Stop","simulation"
43709,34385,"Gianduja","Stop","simulation"
43946,96043,"Gianduja","Stop","simulation"
43056,95415,"Gianduja","Stop","simulation"
44864,9221,"Gianduja","Stop","simulation"
44652,16672,"Gianduja","Stop","simulation"
43869,14671,"Gianduja","Stop","simulation"
41876,79820,"Gianduja","Stop","simulation"
43644,7583,"Gianduja","Stop","simulation"
44536,58134,"Gianduja","Stop","simulation"
40441,98128,"Chocolate","Stop","simulation"
42324,78246,"Chocolate","Stop","simulation"
41823,5081,"Chocolate","Stop","simulation"
37968,51028,"Chocolate","Stop","simulation"
40939,28832,"Chocolate","Stop","simulation"
41544,37383,"Chocolate","Stop","simulation"
41040,34385,"Chocolate","Stop","simulation"
2983,96043,"Chocolate","Stop","simulation"
41429,95415,"Chocolate","Stop","simulation"
42485,9221,"Chocolate","Stop","simulation"
41650,16672,"Chocolate","Stop","simulation"
1772,14671,"Chocolate","Stop","simulation"
40747,79820,"Chocolate","Stop","simulation"
33430,7583,"Chocolate","Stop","simulation"
43399,58134,"Chocolate","Stop","simulation"
