"score","seed","alg","task","real"
15085,98128,"EvoComX","Aggregation1X","simulation"
17152,78246,"EvoComX","Aggregation1X","simulation"
13018,5081,"EvoComX","Aggregation1X","simulation"
13301,51028,"EvoComX","Aggregation1X","simulation"
14966,28832,"EvoComX","Aggregation1X","simulation"
11696,37383,"EvoComX","Aggregation1X","simulation"
14980,34385,"EvoComX","Aggregation1X","simulation"
14420,96043,"EvoComX","Aggregation1X","simulation"
14122,95415,"EvoComX","Aggregation1X","simulation"
12866,9221,"EvoComX","Aggregation1X","simulation"
1662,16672,"EvoComX","Aggregation1X","simulation"
10010,14671,"EvoComX","Aggregation1X","simulation"
15449,79820,"EvoComX","Aggregation1X","simulation"
12474,7583,"EvoComX","Aggregation1X","simulation"
9494,58134,"EvoComX","Aggregation1X","simulation"
7868,98128,"GiandujaE","Aggregation1X","simulation"
10877,78246,"GiandujaE","Aggregation1X","simulation"
11937,5081,"GiandujaE","Aggregation1X","simulation"
14735,51028,"GiandujaE","Aggregation1X","simulation"
9926,28832,"GiandujaE","Aggregation1X","simulation"
10033,37383,"GiandujaE","Aggregation1X","simulation"
16209,34385,"GiandujaE","Aggregation1X","simulation"
17181,96043,"GiandujaE","Aggregation1X","simulation"
17395,95415,"GiandujaE","Aggregation1X","simulation"
14538,9221,"GiandujaE","Aggregation1X","simulation"
14807,16672,"GiandujaE","Aggregation1X","simulation"
9910,14671,"GiandujaE","Aggregation1X","simulation"
13306,79820,"GiandujaE","Aggregation1X","simulation"
13615,7583,"GiandujaE","Aggregation1X","simulation"
13913,58134,"GiandujaE","Aggregation1X","simulation"
8913,98128,"GiandujaEX","Aggregation1X","simulation"
13423,78246,"GiandujaEX","Aggregation1X","simulation"
12567,5081,"GiandujaEX","Aggregation1X","simulation"
15032,51028,"GiandujaEX","Aggregation1X","simulation"
12773,28832,"GiandujaEX","Aggregation1X","simulation"
11717,37383,"GiandujaEX","Aggregation1X","simulation"
12604,34385,"GiandujaEX","Aggregation1X","simulation"
12411,96043,"GiandujaEX","Aggregation1X","simulation"
10560,95415,"GiandujaEX","Aggregation1X","simulation"
10741,9221,"GiandujaEX","Aggregation1X","simulation"
11116,16672,"GiandujaEX","Aggregation1X","simulation"
6978,14671,"GiandujaEX","Aggregation1X","simulation"
9841,79820,"GiandujaEX","Aggregation1X","simulation"
10578,7583,"GiandujaEX","Aggregation1X","simulation"
9193,58134,"GiandujaEX","Aggregation1X","simulation"
13805,98128,"EvoCom","Aggregation1X","simulation"
14169,78246,"EvoCom","Aggregation1X","simulation"
16036,5081,"EvoCom","Aggregation1X","simulation"
12206,51028,"EvoCom","Aggregation1X","simulation"
17384,28832,"EvoCom","Aggregation1X","simulation"
11670,37383,"EvoCom","Aggregation1X","simulation"
13335,34385,"EvoCom","Aggregation1X","simulation"
15711,96043,"EvoCom","Aggregation1X","simulation"
14387,95415,"EvoCom","Aggregation1X","simulation"
14493,9221,"EvoCom","Aggregation1X","simulation"
15547,16672,"EvoCom","Aggregation1X","simulation"
13378,14671,"EvoCom","Aggregation1X","simulation"
14476,79820,"EvoCom","Aggregation1X","simulation"
15074,7583,"EvoCom","Aggregation1X","simulation"
12781,58134,"EvoCom","Aggregation1X","simulation"
14869,98128,"Gianduja","Aggregation1X","simulation"
11999,78246,"Gianduja","Aggregation1X","simulation"
9992,5081,"Gianduja","Aggregation1X","simulation"
16204,51028,"Gianduja","Aggregation1X","simulation"
14269,28832,"Gianduja","Aggregation1X","simulation"
15933,37383,"Gianduja","Aggregation1X","simulation"
17147,34385,"Gianduja","Aggregation1X","simulation"
8669,96043,"Gianduja","Aggregation1X","simulation"
14857,95415,"Gianduja","Aggregation1X","simulation"
12239,9221,"Gianduja","Aggregation1X","simulation"
15347,16672,"Gianduja","Aggregation1X","simulation"
14290,14671,"Gianduja","Aggregation1X","simulation"
15829,79820,"Gianduja","Aggregation1X","simulation"
12143,7583,"Gianduja","Aggregation1X","simulation"
14752,58134,"Gianduja","Aggregation1X","simulation"
10166,98128,"Chocolate","Aggregation1X","simulation"
8972,78246,"Chocolate","Aggregation1X","simulation"
8703,5081,"Chocolate","Aggregation1X","simulation"
10672,51028,"Chocolate","Aggregation1X","simulation"
10798,28832,"Chocolate","Aggregation1X","simulation"
13087,37383,"Chocolate","Aggregation1X","simulation"
13129,34385,"Chocolate","Aggregation1X","simulation"
11651,96043,"Chocolate","Aggregation1X","simulation"
10055,95415,"Chocolate","Aggregation1X","simulation"
10315,9221,"Chocolate","Aggregation1X","simulation"
10985,16672,"Chocolate","Aggregation1X","simulation"
9618,14671,"Chocolate","Aggregation1X","simulation"
10833,79820,"Chocolate","Aggregation1X","simulation"
7391,7583,"Chocolate","Aggregation1X","simulation"
9629,58134,"Chocolate","Aggregation1X","simulation"
