"score","seed","alg","task","real"
7868,98128,"EvoComX","Aggregation1X","simulation"
1170,78246,"EvoComX","Aggregation1X","simulation"
5860,5081,"EvoComX","Aggregation1X","simulation"
251,51028,"EvoComX","Aggregation1X","simulation"
3225,28832,"EvoComX","Aggregation1X","simulation"
9715,37383,"EvoComX","Aggregation1X","simulation"
807,34385,"EvoComX","Aggregation1X","simulation"
1353,96043,"EvoComX","Aggregation1X","simulation"
11348,95415,"EvoComX","Aggregation1X","simulation"
242,9221,"EvoComX","Aggregation1X","simulation"
1621,16672,"EvoComX","Aggregation1X","simulation"
6888,14671,"EvoComX","Aggregation1X","simulation"
7975,79820,"EvoComX","Aggregation1X","simulation"
8340,7583,"EvoComX","Aggregation1X","simulation"
3498,58134,"EvoComX","Aggregation1X","simulation"
10496,98128,"GiandujaE","Aggregation1X","simulation"
12539,78246,"GiandujaE","Aggregation1X","simulation"
11335,5081,"GiandujaE","Aggregation1X","simulation"
12278,51028,"GiandujaE","Aggregation1X","simulation"
10206,28832,"GiandujaE","Aggregation1X","simulation"
11263,37383,"GiandujaE","Aggregation1X","simulation"
13174,34385,"GiandujaE","Aggregation1X","simulation"
15009,96043,"GiandujaE","Aggregation1X","simulation"
12208,95415,"GiandujaE","Aggregation1X","simulation"
11102,9221,"GiandujaE","Aggregation1X","simulation"
13234,16672,"GiandujaE","Aggregation1X","simulation"
10696,14671,"GiandujaE","Aggregation1X","simulation"
8412,79820,"GiandujaE","Aggregation1X","simulation"
10741,7583,"GiandujaE","Aggregation1X","simulation"
9108,58134,"GiandujaE","Aggregation1X","simulation"
11466,98128,"GiandujaEX","Aggregation1X","simulation"
10473,78246,"GiandujaEX","Aggregation1X","simulation"
11481,5081,"GiandujaEX","Aggregation1X","simulation"
15483,51028,"GiandujaEX","Aggregation1X","simulation"
10261,28832,"GiandujaEX","Aggregation1X","simulation"
9124,37383,"GiandujaEX","Aggregation1X","simulation"
10235,34385,"GiandujaEX","Aggregation1X","simulation"
11527,96043,"GiandujaEX","Aggregation1X","simulation"
8873,95415,"GiandujaEX","Aggregation1X","simulation"
7505,9221,"GiandujaEX","Aggregation1X","simulation"
6142,16672,"GiandujaEX","Aggregation1X","simulation"
10098,14671,"GiandujaEX","Aggregation1X","simulation"
10533,79820,"GiandujaEX","Aggregation1X","simulation"
8415,7583,"GiandujaEX","Aggregation1X","simulation"
9507,58134,"GiandujaEX","Aggregation1X","simulation"
0,98128,"EvoCom","Aggregation1X","simulation"
2156,78246,"EvoCom","Aggregation1X","simulation"
10545,5081,"EvoCom","Aggregation1X","simulation"
377,51028,"EvoCom","Aggregation1X","simulation"
0,28832,"EvoCom","Aggregation1X","simulation"
1895,37383,"EvoCom","Aggregation1X","simulation"
0,34385,"EvoCom","Aggregation1X","simulation"
0,96043,"EvoCom","Aggregation1X","simulation"
4225,95415,"EvoCom","Aggregation1X","simulation"
972,9221,"EvoCom","Aggregation1X","simulation"
8193,16672,"EvoCom","Aggregation1X","simulation"
4119,14671,"EvoCom","Aggregation1X","simulation"
978,79820,"EvoCom","Aggregation1X","simulation"
9299,7583,"EvoCom","Aggregation1X","simulation"
4355,58134,"EvoCom","Aggregation1X","simulation"
14444,98128,"Gianduja","Aggregation1X","simulation"
13658,78246,"Gianduja","Aggregation1X","simulation"
10915,5081,"Gianduja","Aggregation1X","simulation"
16686,51028,"Gianduja","Aggregation1X","simulation"
11181,28832,"Gianduja","Aggregation1X","simulation"
12412,37383,"Gianduja","Aggregation1X","simulation"
15399,34385,"Gianduja","Aggregation1X","simulation"
11258,96043,"Gianduja","Aggregation1X","simulation"
14043,95415,"Gianduja","Aggregation1X","simulation"
10760,9221,"Gianduja","Aggregation1X","simulation"
13575,16672,"Gianduja","Aggregation1X","simulation"
11254,14671,"Gianduja","Aggregation1X","simulation"
12754,79820,"Gianduja","Aggregation1X","simulation"
10584,7583,"Gianduja","Aggregation1X","simulation"
14298,58134,"Gianduja","Aggregation1X","simulation"
10915,98128,"Chocolate","Aggregation1X","simulation"
9645,78246,"Chocolate","Aggregation1X","simulation"
7313,5081,"Chocolate","Aggregation1X","simulation"
5627,51028,"Chocolate","Aggregation1X","simulation"
7939,28832,"Chocolate","Aggregation1X","simulation"
9277,37383,"Chocolate","Aggregation1X","simulation"
9253,34385,"Chocolate","Aggregation1X","simulation"
10656,96043,"Chocolate","Aggregation1X","simulation"
9485,95415,"Chocolate","Aggregation1X","simulation"
10030,9221,"Chocolate","Aggregation1X","simulation"
10020,16672,"Chocolate","Aggregation1X","simulation"
7357,14671,"Chocolate","Aggregation1X","simulation"
8986,79820,"Chocolate","Aggregation1X","simulation"
6218,7583,"Chocolate","Aggregation1X","simulation"
11501,58134,"Chocolate","Aggregation1X","simulation"
