"score","seed","alg","task","real"
2951,98128,"EvoComX","Decision1X","simulation"
1625,78246,"EvoComX","Decision1X","simulation"
23317,5081,"EvoComX","Decision1X","simulation"
21663,51028,"EvoComX","Decision1X","simulation"
19151,28832,"EvoComX","Decision1X","simulation"
1518,37383,"EvoComX","Decision1X","simulation"
2862,34385,"EvoComX","Decision1X","simulation"
13745,96043,"EvoComX","Decision1X","simulation"
14204,95415,"EvoComX","Decision1X","simulation"
21989,9221,"EvoComX","Decision1X","simulation"
22078,16672,"EvoComX","Decision1X","simulation"
4124,14671,"EvoComX","Decision1X","simulation"
3802,79820,"EvoComX","Decision1X","simulation"
10746,7583,"EvoComX","Decision1X","simulation"
7799,58134,"EvoComX","Decision1X","simulation"
8670,98128,"GiandujaE","Decision1X","simulation"
22795,78246,"GiandujaE","Decision1X","simulation"
22634,5081,"GiandujaE","Decision1X","simulation"
21759,51028,"GiandujaE","Decision1X","simulation"
22172,28832,"GiandujaE","Decision1X","simulation"
22284,37383,"GiandujaE","Decision1X","simulation"
20021,34385,"GiandujaE","Decision1X","simulation"
22328,96043,"GiandujaE","Decision1X","simulation"
22789,95415,"GiandujaE","Decision1X","simulation"
21877,9221,"GiandujaE","Decision1X","simulation"
23669,16672,"GiandujaE","Decision1X","simulation"
22665,14671,"GiandujaE","Decision1X","simulation"
20607,79820,"GiandujaE","Decision1X","simulation"
21317,7583,"GiandujaE","Decision1X","simulation"
22950,58134,"GiandujaE","Decision1X","simulation"
22427,94393,"GiandujaE","Decision1X","simulation"
23147,7548,"GiandujaE","Decision1X","simulation"
22620,19890,"GiandujaE","Decision1X","simulation"
20816,46885,"GiandujaE","Decision1X","simulation"
20455,52388,"GiandujaE","Decision1X","simulation"
21313,98128,"GiandujaEX","Decision1X","simulation"
15720,78246,"GiandujaEX","Decision1X","simulation"
23041,5081,"GiandujaEX","Decision1X","simulation"
12000,51028,"GiandujaEX","Decision1X","simulation"
22573,28832,"GiandujaEX","Decision1X","simulation"
22714,37383,"GiandujaEX","Decision1X","simulation"
21067,34385,"GiandujaEX","Decision1X","simulation"
22508,96043,"GiandujaEX","Decision1X","simulation"
23134,95415,"GiandujaEX","Decision1X","simulation"
12000,9221,"GiandujaEX","Decision1X","simulation"
23669,16672,"GiandujaEX","Decision1X","simulation"
22615,14671,"GiandujaEX","Decision1X","simulation"
596,79820,"GiandujaEX","Decision1X","simulation"
21317,7583,"GiandujaEX","Decision1X","simulation"
22988,58134,"GiandujaEX","Decision1X","simulation"
21947,94393,"GiandujaEX","Decision1X","simulation"
23147,7548,"GiandujaEX","Decision1X","simulation"
20009,19890,"GiandujaEX","Decision1X","simulation"
21267,46885,"GiandujaEX","Decision1X","simulation"
20504,52388,"GiandujaEX","Decision1X","simulation"
21761,98128,"GiandujaX","Decision1X","simulation"
11865,78246,"GiandujaX","Decision1X","simulation"
23041,5081,"GiandujaX","Decision1X","simulation"
12000,51028,"GiandujaX","Decision1X","simulation"
23266,28832,"GiandujaX","Decision1X","simulation"
6963,37383,"GiandujaX","Decision1X","simulation"
21067,34385,"GiandujaX","Decision1X","simulation"
22328,96043,"GiandujaX","Decision1X","simulation"
23134,95415,"GiandujaX","Decision1X","simulation"
21519,9221,"GiandujaX","Decision1X","simulation"
19120,16672,"GiandujaX","Decision1X","simulation"
22665,14671,"GiandujaX","Decision1X","simulation"
8471,79820,"GiandujaX","Decision1X","simulation"
20309,7583,"GiandujaX","Decision1X","simulation"
9952,58134,"GiandujaX","Decision1X","simulation"
5949,98128,"EvoCom","Decision1X","simulation"
17151,78246,"EvoCom","Decision1X","simulation"
22262,5081,"EvoCom","Decision1X","simulation"
2275,51028,"EvoCom","Decision1X","simulation"
22131,28832,"EvoCom","Decision1X","simulation"
15314,37383,"EvoCom","Decision1X","simulation"
7439,34385,"EvoCom","Decision1X","simulation"
13262,96043,"EvoCom","Decision1X","simulation"
21879,95415,"EvoCom","Decision1X","simulation"
4201,9221,"EvoCom","Decision1X","simulation"
22456,16672,"EvoCom","Decision1X","simulation"
19318,14671,"EvoCom","Decision1X","simulation"
3285,79820,"EvoCom","Decision1X","simulation"
9427,7583,"EvoCom","Decision1X","simulation"
22676,58134,"EvoCom","Decision1X","simulation"
11451,98128,"Gianduja","Decision1X","simulation"
22382,78246,"Gianduja","Decision1X","simulation"
11544,5081,"Gianduja","Decision1X","simulation"
21833,51028,"Gianduja","Decision1X","simulation"
15801,28832,"Gianduja","Decision1X","simulation"
22626,37383,"Gianduja","Decision1X","simulation"
