"score","seed","alg","task","real"
6712,98128,"Gianduja2","Beacon Aggregation","simulation"
7883,78246,"Gianduja2","Beacon Aggregation","simulation"
6503,5081,"Gianduja2","Beacon Aggregation","simulation"
10466,51028,"Gianduja2","Beacon Aggregation","simulation"
7310,28832,"Gianduja2","Beacon Aggregation","simulation"
6069,37383,"Gianduja2","Beacon Aggregation","simulation"
6746,34385,"Gianduja2","Beacon Aggregation","simulation"
6625,96043,"Gianduja2","Beacon Aggregation","simulation"
7119,95415,"Gianduja2","Beacon Aggregation","simulation"
9657,9221,"Gianduja2","Beacon Aggregation","simulation"
4786,98128,"Gianduja2E","Beacon Aggregation","simulation"
7876,78246,"Gianduja2E","Beacon Aggregation","simulation"
10452,5081,"Gianduja2E","Beacon Aggregation","simulation"
9770,51028,"Gianduja2E","Beacon Aggregation","simulation"
13976,28832,"Gianduja2E","Beacon Aggregation","simulation"
1658,37383,"Gianduja2E","Beacon Aggregation","simulation"
7527,34385,"Gianduja2E","Beacon Aggregation","simulation"
11028,96043,"Gianduja2E","Beacon Aggregation","simulation"
8564,95415,"Gianduja2E","Beacon Aggregation","simulation"
8754,9221,"Gianduja2E","Beacon Aggregation","simulation"
4765,98128,"Evocom2","Beacon Aggregation","simulation"
6668,78246,"Evocom2","Beacon Aggregation","simulation"
8976,5081,"Evocom2","Beacon Aggregation","simulation"
12656,51028,"Evocom2","Beacon Aggregation","simulation"
412,28832,"Evocom2","Beacon Aggregation","simulation"
524,37383,"Evocom2","Beacon Aggregation","simulation"
8215,34385,"Evocom2","Beacon Aggregation","simulation"
1044,96043,"Evocom2","Beacon Aggregation","simulation"
11076,95415,"Evocom2","Beacon Aggregation","simulation"
7865,9221,"Evocom2","Beacon Aggregation","simulation"
