"score","seed","alg","task","real"
22131,98128,"Gianduja2","Beacon Stop","simulation"
21079,78246,"Gianduja2","Beacon Stop","simulation"
18731,5081,"Gianduja2","Beacon Stop","simulation"
13919,51028,"Gianduja2","Beacon Stop","simulation"
19004,28832,"Gianduja2","Beacon Stop","simulation"
22675,37383,"Gianduja2","Beacon Stop","simulation"
22289,34385,"Gianduja2","Beacon Stop","simulation"
13033,96043,"Gianduja2","Beacon Stop","simulation"
22104,95415,"Gianduja2","Beacon Stop","simulation"
16242,9221,"Gianduja2","Beacon Stop","simulation"
22901,98128,"Gianduja2E","Beacon Stop","simulation"
22964,78246,"Gianduja2E","Beacon Stop","simulation"
23341,5081,"Gianduja2E","Beacon Stop","simulation"
22076,51028,"Gianduja2E","Beacon Stop","simulation"
22102,28832,"Gianduja2E","Beacon Stop","simulation"
22237,37383,"Gianduja2E","Beacon Stop","simulation"
23196,34385,"Gianduja2E","Beacon Stop","simulation"
22059,96043,"Gianduja2E","Beacon Stop","simulation"
22355,95415,"Gianduja2E","Beacon Stop","simulation"
22552,9221,"Gianduja2E","Beacon Stop","simulation"
19408,98128,"Evocom2","Beacon Stop","simulation"
21241,78246,"Evocom2","Beacon Stop","simulation"
20780,5081,"Evocom2","Beacon Stop","simulation"
19786,51028,"Evocom2","Beacon Stop","simulation"
18915,28832,"Evocom2","Beacon Stop","simulation"
20747,37383,"Evocom2","Beacon Stop","simulation"
20441,34385,"Evocom2","Beacon Stop","simulation"
19859,96043,"Evocom2","Beacon Stop","simulation"
21624,95415,"Evocom2","Beacon Stop","simulation"
20668,9221,"Evocom2","Beacon Stop","simulation"
