"score","seed","alg","task","real"
22245,98128,"Gianduja2","Beacon Stop","simulation"
22415,78246,"Gianduja2","Beacon Stop","simulation"
22464,5081,"Gianduja2","Beacon Stop","simulation"
22054,51028,"Gianduja2","Beacon Stop","simulation"
22158,28832,"Gianduja2","Beacon Stop","simulation"
22139,37383,"Gianduja2","Beacon Stop","simulation"
22364,34385,"Gianduja2","Beacon Stop","simulation"
22061,96043,"Gianduja2","Beacon Stop","simulation"
22189,95415,"Gianduja2","Beacon Stop","simulation"
21944,9221,"Gianduja2","Beacon Stop","simulation"
17853,16672,"Gianduja2","Beacon Stop","simulation"
16963,14671,"Gianduja2","Beacon Stop","simulation"
17385,79820,"Gianduja2","Beacon Stop","simulation"
17433,7583,"Gianduja2","Beacon Stop","simulation"
18096,58134,"Gianduja2","Beacon Stop","simulation"
17710,94393,"Gianduja2","Beacon Stop","simulation"
15471,7548,"Gianduja2","Beacon Stop","simulation"
17298,19890,"Gianduja2","Beacon Stop","simulation"
16278,46885,"Gianduja2","Beacon Stop","simulation"
16265,52388,"Gianduja2","Beacon Stop","simulation"
19227,87754,"Gianduja2","Beacon Stop","simulation"
20312,47343,"Gianduja2","Beacon Stop","simulation"
17917,13478,"Gianduja2","Beacon Stop","simulation"
20679,17254,"Gianduja2","Beacon Stop","simulation"
20285,39786,"Gianduja2","Beacon Stop","simulation"
19535,12071,"Gianduja2","Beacon Stop","simulation"
20903,82478,"Gianduja2","Beacon Stop","simulation"
19963,51590,"Gianduja2","Beacon Stop","simulation"
20497,90271,"Gianduja2","Beacon Stop","simulation"
18021,21440,"Gianduja2","Beacon Stop","simulation"
20971,88504,"Gianduja2","Beacon Stop","simulation"
19913,10126,"Gianduja2","Beacon Stop","simulation"
21098,72952,"Gianduja2","Beacon Stop","simulation"
18742,57303,"Gianduja2","Beacon Stop","simulation"
19523,87190,"Gianduja2","Beacon Stop","simulation"
20208,74278,"Gianduja2","Beacon Stop","simulation"
21308,58122,"Gianduja2","Beacon Stop","simulation"
20063,69996,"Gianduja2","Beacon Stop","simulation"
19717,62778,"Gianduja2","Beacon Stop","simulation"
21586,66277,"Gianduja2","Beacon Stop","simulation"
22244,61464,"Gianduja2","Beacon Stop","simulation"
22155,43039,"Gianduja2","Beacon Stop","simulation"
22221,92123,"Gianduja2","Beacon Stop","simulation"
22030,77088,"Gianduja2","Beacon Stop","simulation"
22192,52577,"Gianduja2","Beacon Stop","simulation"
22163,70407,"Gianduja2","Beacon Stop","simulation"
22224,69179,"Gianduja2","Beacon Stop","simulation"
22424,82028,"Gianduja2","Beacon Stop","simulation"
22287,45716,"Gianduja2","Beacon Stop","simulation"
22194,9989,"Gianduja2","Beacon Stop","simulation"
19263,39975,"Gianduja2","Beacon Stop","simulation"
19592,45670,"Gianduja2","Beacon Stop","simulation"
15853,35842,"Gianduja2","Beacon Stop","simulation"
16068,85831,"Gianduja2","Beacon Stop","simulation"
20245,96278,"Gianduja2","Beacon Stop","simulation"
17293,80536,"Gianduja2","Beacon Stop","simulation"
18651,87372,"Gianduja2","Beacon Stop","simulation"
20690,99892,"Gianduja2","Beacon Stop","simulation"
20090,89604,"Gianduja2","Beacon Stop","simulation"
14812,83114,"Gianduja2","Beacon Stop","simulation"
22365,6497,"Gianduja2","Beacon Stop","simulation"
22349,92972,"Gianduja2","Beacon Stop","simulation"
22438,11535,"Gianduja2","Beacon Stop","simulation"
21831,92749,"Gianduja2","Beacon Stop","simulation"
21734,82858,"Gianduja2","Beacon Stop","simulation"
21947,15932,"Gianduja2","Beacon Stop","simulation"
21161,61397,"Gianduja2","Beacon Stop","simulation"
22275,78113,"Gianduja2","Beacon Stop","simulation"
21785,30010,"Gianduja2","Beacon Stop","simulation"
19095,48677,"Gianduja2","Beacon Stop","simulation"
22545,40027,"Gianduja2","Beacon Stop","simulation"
22141,55937,"Gianduja2","Beacon Stop","simulation"
22228,79284,"Gianduja2","Beacon Stop","simulation"
21779,37609,"Gianduja2","Beacon Stop","simulation"
21890,10327,"Gianduja2","Beacon Stop","simulation"
22062,42676,"Gianduja2","Beacon Stop","simulation"
22407,33507,"Gianduja2","Beacon Stop","simulation"
