"score","seed","alg","task","real"
22231,98128,"Gianduja2","Beacon Stop","simulation"
15615,78246,"Gianduja2","Beacon Stop","simulation"
16210,5081,"Gianduja2","Beacon Stop","simulation"
13079,51028,"Gianduja2","Beacon Stop","simulation"
22164,28832,"Gianduja2","Beacon Stop","simulation"
15509,37383,"Gianduja2","Beacon Stop","simulation"
16553,34385,"Gianduja2","Beacon Stop","simulation"
22352,96043,"Gianduja2","Beacon Stop","simulation"
21615,95415,"Gianduja2","Beacon Stop","simulation"
22209,9221,"Gianduja2","Beacon Stop","simulation"
22506,98128,"Gianduja2E","Beacon Stop","simulation"
22139,78246,"Gianduja2E","Beacon Stop","simulation"
21639,5081,"Gianduja2E","Beacon Stop","simulation"
21998,51028,"Gianduja2E","Beacon Stop","simulation"
22631,28832,"Gianduja2E","Beacon Stop","simulation"
22493,37383,"Gianduja2E","Beacon Stop","simulation"
22778,34385,"Gianduja2E","Beacon Stop","simulation"
22606,96043,"Gianduja2E","Beacon Stop","simulation"
22105,95415,"Gianduja2E","Beacon Stop","simulation"
22125,9221,"Gianduja2E","Beacon Stop","simulation"
15633,98128,"Evocom2","Beacon Stop","simulation"
13308,78246,"Evocom2","Beacon Stop","simulation"
13861,5081,"Evocom2","Beacon Stop","simulation"
15530,51028,"Evocom2","Beacon Stop","simulation"
15044,28832,"Evocom2","Beacon Stop","simulation"
15399,37383,"Evocom2","Beacon Stop","simulation"
12212,34385,"Evocom2","Beacon Stop","simulation"
12988,96043,"Evocom2","Beacon Stop","simulation"
16396,95415,"Evocom2","Beacon Stop","simulation"
15759,9221,"Evocom2","Beacon Stop","simulation"
