"score","seed","alg","task","real"
20521,98128,"Gianduja3","Beacon Stop","simulation"
19951,78246,"Gianduja3","Beacon Stop","simulation"
21162,5081,"Gianduja3","Beacon Stop","simulation"
20517,51028,"Gianduja3","Beacon Stop","simulation"
18559,28832,"Gianduja3","Beacon Stop","simulation"
19461,37383,"Gianduja3","Beacon Stop","simulation"
18519,34385,"Gianduja3","Beacon Stop","simulation"
20728,96043,"Gianduja3","Beacon Stop","simulation"
20024,95415,"Gianduja3","Beacon Stop","simulation"
17626,9221,"Gianduja3","Beacon Stop","simulation"
17132,16672,"Gianduja3","Beacon Stop","simulation"
20707,14671,"Gianduja3","Beacon Stop","simulation"
18739,79820,"Gianduja3","Beacon Stop","simulation"
20583,7583,"Gianduja3","Beacon Stop","simulation"
20710,58134,"Gianduja3","Beacon Stop","simulation"
17947,94393,"Gianduja3","Beacon Stop","simulation"
16652,7548,"Gianduja3","Beacon Stop","simulation"
18720,19890,"Gianduja3","Beacon Stop","simulation"
19220,46885,"Gianduja3","Beacon Stop","simulation"
20334,52388,"Gianduja3","Beacon Stop","simulation"
21154,87754,"Gianduja3","Beacon Stop","simulation"
22229,47343,"Gianduja3","Beacon Stop","simulation"
21883,13478,"Gianduja3","Beacon Stop","simulation"
22498,17254,"Gianduja3","Beacon Stop","simulation"
22432,39786,"Gianduja3","Beacon Stop","simulation"
22156,12071,"Gianduja3","Beacon Stop","simulation"
22230,82478,"Gianduja3","Beacon Stop","simulation"
22423,51590,"Gianduja3","Beacon Stop","simulation"
22405,90271,"Gianduja3","Beacon Stop","simulation"
22078,21440,"Gianduja3","Beacon Stop","simulation"
19850,88504,"Gianduja3","Beacon Stop","simulation"
19945,10126,"Gianduja3","Beacon Stop","simulation"
17911,72952,"Gianduja3","Beacon Stop","simulation"
16763,57303,"Gianduja3","Beacon Stop","simulation"
18785,87190,"Gianduja3","Beacon Stop","simulation"
20024,74278,"Gianduja3","Beacon Stop","simulation"
19330,58122,"Gianduja3","Beacon Stop","simulation"
16642,69996,"Gianduja3","Beacon Stop","simulation"
15564,62778,"Gianduja3","Beacon Stop","simulation"
20582,66277,"Gianduja3","Beacon Stop","simulation"
19039,61464,"Gianduja3","Beacon Stop","simulation"
21088,43039,"Gianduja3","Beacon Stop","simulation"
21240,92123,"Gianduja3","Beacon Stop","simulation"
19916,77088,"Gianduja3","Beacon Stop","simulation"
21938,52577,"Gianduja3","Beacon Stop","simulation"
21530,70407,"Gianduja3","Beacon Stop","simulation"
21681,69179,"Gianduja3","Beacon Stop","simulation"
21763,82028,"Gianduja3","Beacon Stop","simulation"
19311,45716,"Gianduja3","Beacon Stop","simulation"
21359,9989,"Gianduja3","Beacon Stop","simulation"
20163,39975,"Gianduja3","Beacon Stop","simulation"
20976,45670,"Gianduja3","Beacon Stop","simulation"
21601,35842,"Gianduja3","Beacon Stop","simulation"
21564,85831,"Gianduja3","Beacon Stop","simulation"
20299,96278,"Gianduja3","Beacon Stop","simulation"
21689,80536,"Gianduja3","Beacon Stop","simulation"
18062,87372,"Gianduja3","Beacon Stop","simulation"
22168,99892,"Gianduja3","Beacon Stop","simulation"
21611,89604,"Gianduja3","Beacon Stop","simulation"
20770,83114,"Gianduja3","Beacon Stop","simulation"
20851,6497,"Gianduja3","Beacon Stop","simulation"
19320,92972,"Gianduja3","Beacon Stop","simulation"
20974,11535,"Gianduja3","Beacon Stop","simulation"
19690,92749,"Gianduja3","Beacon Stop","simulation"
14551,82858,"Gianduja3","Beacon Stop","simulation"
16046,15932,"Gianduja3","Beacon Stop","simulation"
17017,61397,"Gianduja3","Beacon Stop","simulation"
18506,78113,"Gianduja3","Beacon Stop","simulation"
16974,30010,"Gianduja3","Beacon Stop","simulation"
18853,48677,"Gianduja3","Beacon Stop","simulation"
19890,40027,"Gianduja3","Beacon Stop","simulation"
18410,55937,"Gianduja3","Beacon Stop","simulation"
19949,79284,"Gianduja3","Beacon Stop","simulation"
18413,37609,"Gianduja3","Beacon Stop","simulation"
18294,10327,"Gianduja3","Beacon Stop","simulation"
17323,42676,"Gianduja3","Beacon Stop","simulation"
19477,33507,"Gianduja3","Beacon Stop","simulation"
15978,84383,"Gianduja3","Beacon Stop","simulation"
17826,21087,"Gianduja3","Beacon Stop","simulation"
19857,12499,"Gianduja3","Beacon Stop","simulation"
18856,24034,"Gianduja3","Beacon Stop","simulation"
19934,88644,"Gianduja3","Beacon Stop","simulation"
19130,23820,"Gianduja3","Beacon Stop","simulation"
18886,71629,"Gianduja3","Beacon Stop","simulation"
16765,7732,"Gianduja3","Beacon Stop","simulation"
19550,19319,"Gianduja3","Beacon Stop","simulation"
20537,3365,"Gianduja3","Beacon Stop","simulation"
19542,16774,"Gianduja3","Beacon Stop","simulation"
14705,31355,"Gianduja3","Beacon Stop","simulation"
19348,7638,"Gianduja3","Beacon Stop","simulation"
21723,8528,"Gianduja3","Beacon Stop","simulation"
22297,36091,"Gianduja3","Beacon Stop","simulation"
22314,58938,"Gianduja3","Beacon Stop","simulation"
22333,66126,"Gianduja3","Beacon Stop","simulation"
22023,22108,"Gianduja3","Beacon Stop","simulation"
21802,33965,"Gianduja3","Beacon Stop","simulation"
21751,97046,"Gianduja3","Beacon Stop","simulation"
20563,48792,"Gianduja3","Beacon Stop","simulation"
21959,62804,"Gianduja3","Beacon Stop","simulation"
21882,68988,"Gianduja3","Beacon Stop","simulation"
22337,98128,"Gianduja3E","Beacon Stop","simulation"
22505,78246,"Gianduja3E","Beacon Stop","simulation"
22651,5081,"Gianduja3E","Beacon Stop","simulation"
22076,51028,"Gianduja3E","Beacon Stop","simulation"
22198,28832,"Gianduja3E","Beacon Stop","simulation"
21910,37383,"Gianduja3E","Beacon Stop","simulation"
22260,34385,"Gianduja3E","Beacon Stop","simulation"
21601,96043,"Gianduja3E","Beacon Stop","simulation"
22182,95415,"Gianduja3E","Beacon Stop","simulation"
22060,9221,"Gianduja3E","Beacon Stop","simulation"
23296,16672,"Gianduja3E","Beacon Stop","simulation"
23246,14671,"Gianduja3E","Beacon Stop","simulation"
22296,79820,"Gianduja3E","Beacon Stop","simulation"
23080,7583,"Gianduja3E","Beacon Stop","simulation"
22581,58134,"Gianduja3E","Beacon Stop","simulation"
23064,94393,"Gianduja3E","Beacon Stop","simulation"
23129,7548,"Gianduja3E","Beacon Stop","simulation"
22971,19890,"Gianduja3E","Beacon Stop","simulation"
22860,46885,"Gianduja3E","Beacon Stop","simulation"
22598,52388,"Gianduja3E","Beacon Stop","simulation"
22591,87754,"Gianduja3E","Beacon Stop","simulation"
22530,47343,"Gianduja3E","Beacon Stop","simulation"
21993,13478,"Gianduja3E","Beacon Stop","simulation"
22549,17254,"Gianduja3E","Beacon Stop","simulation"
22427,39786,"Gianduja3E","Beacon Stop","simulation"
22571,12071,"Gianduja3E","Beacon Stop","simulation"
22382,82478,"Gianduja3E","Beacon Stop","simulation"
22501,51590,"Gianduja3E","Beacon Stop","simulation"
22419,90271,"Gianduja3E","Beacon Stop","simulation"
