"score","seed","alg","task","real"
11362,98128,"Gianduja2","Beacon Dec","simulation"
11438,78246,"Gianduja2","Beacon Dec","simulation"
11438,5081,"Gianduja2","Beacon Dec","simulation"
11518,51028,"Gianduja2","Beacon Dec","simulation"
11490,28832,"Gianduja2","Beacon Dec","simulation"
11916,37383,"Gianduja2","Beacon Dec","simulation"
11389,34385,"Gianduja2","Beacon Dec","simulation"
11362,96043,"Gianduja2","Beacon Dec","simulation"
11362,95415,"Gianduja2","Beacon Dec","simulation"
11362,9221,"Gianduja2","Beacon Dec","simulation"
11579,16672,"Gianduja2","Beacon Dec","simulation"
11355,14671,"Gianduja2","Beacon Dec","simulation"
10860,79820,"Gianduja2","Beacon Dec","simulation"
11438,7583,"Gianduja2","Beacon Dec","simulation"
11438,58134,"Gianduja2","Beacon Dec","simulation"
11672,94393,"Gianduja2","Beacon Dec","simulation"
11343,7548,"Gianduja2","Beacon Dec","simulation"
11362,19890,"Gianduja2","Beacon Dec","simulation"
11362,46885,"Gianduja2","Beacon Dec","simulation"
11362,52388,"Gianduja2","Beacon Dec","simulation"
11438,87754,"Gianduja2","Beacon Dec","simulation"
11373,47343,"Gianduja2","Beacon Dec","simulation"
11362,13478,"Gianduja2","Beacon Dec","simulation"
11347,17254,"Gianduja2","Beacon Dec","simulation"
11351,39786,"Gianduja2","Beacon Dec","simulation"
11429,12071,"Gianduja2","Beacon Dec","simulation"
11438,82478,"Gianduja2","Beacon Dec","simulation"
11437,51590,"Gianduja2","Beacon Dec","simulation"
11438,90271,"Gianduja2","Beacon Dec","simulation"
11408,21440,"Gianduja2","Beacon Dec","simulation"
11471,88504,"Gianduja2","Beacon Dec","simulation"
11700,10126,"Gianduja2","Beacon Dec","simulation"
11423,72952,"Gianduja2","Beacon Dec","simulation"
11084,57303,"Gianduja2","Beacon Dec","simulation"
11297,87190,"Gianduja2","Beacon Dec","simulation"
11418,74278,"Gianduja2","Beacon Dec","simulation"
12179,58122,"Gianduja2","Beacon Dec","simulation"
11275,69996,"Gianduja2","Beacon Dec","simulation"
10937,62778,"Gianduja2","Beacon Dec","simulation"
12061,66277,"Gianduja2","Beacon Dec","simulation"
11438,61464,"Gianduja2","Beacon Dec","simulation"
11362,43039,"Gianduja2","Beacon Dec","simulation"
11367,92123,"Gianduja2","Beacon Dec","simulation"
11351,77088,"Gianduja2","Beacon Dec","simulation"
11339,52577,"Gianduja2","Beacon Dec","simulation"
11364,70407,"Gianduja2","Beacon Dec","simulation"
11438,69179,"Gianduja2","Beacon Dec","simulation"
11438,82028,"Gianduja2","Beacon Dec","simulation"
11362,45716,"Gianduja2","Beacon Dec","simulation"
11362,9989,"Gianduja2","Beacon Dec","simulation"
11438,39975,"Gianduja2","Beacon Dec","simulation"
11438,45670,"Gianduja2","Beacon Dec","simulation"
11438,35842,"Gianduja2","Beacon Dec","simulation"
11438,85831,"Gianduja2","Beacon Dec","simulation"
11675,96278,"Gianduja2","Beacon Dec","simulation"
11357,80536,"Gianduja2","Beacon Dec","simulation"
11362,87372,"Gianduja2","Beacon Dec","simulation"
11438,99892,"Gianduja2","Beacon Dec","simulation"
11363,89604,"Gianduja2","Beacon Dec","simulation"
11283,83114,"Gianduja2","Beacon Dec","simulation"
11438,6497,"Gianduja2","Beacon Dec","simulation"
11438,92972,"Gianduja2","Beacon Dec","simulation"
11438,11535,"Gianduja2","Beacon Dec","simulation"
11322,92749,"Gianduja2","Beacon Dec","simulation"
