"score","seed","alg","task","real"
11362,98128,"Gianduja2","Beacon DecPR","simulation"
11237,78246,"Gianduja2","Beacon DecPR","simulation"
11438,5081,"Gianduja2","Beacon DecPR","simulation"
11362,51028,"Gianduja2","Beacon DecPR","simulation"
11501,28832,"Gianduja2","Beacon DecPR","simulation"
11409,37383,"Gianduja2","Beacon DecPR","simulation"
11575,34385,"Gianduja2","Beacon DecPR","simulation"
11362,96043,"Gianduja2","Beacon DecPR","simulation"
11362,95415,"Gianduja2","Beacon DecPR","simulation"
11362,9221,"Gianduja2","Beacon DecPR","simulation"
11434,16672,"Gianduja2","Beacon DecPR","simulation"
11293,14671,"Gianduja2","Beacon DecPR","simulation"
11083,79820,"Gianduja2","Beacon DecPR","simulation"
11438,7583,"Gianduja2","Beacon DecPR","simulation"
11438,58134,"Gianduja2","Beacon DecPR","simulation"
11438,94393,"Gianduja2","Beacon DecPR","simulation"
10775,7548,"Gianduja2","Beacon DecPR","simulation"
11362,19890,"Gianduja2","Beacon DecPR","simulation"
10927,46885,"Gianduja2","Beacon DecPR","simulation"
11362,52388,"Gianduja2","Beacon DecPR","simulation"
11438,87754,"Gianduja2","Beacon DecPR","simulation"
11422,47343,"Gianduja2","Beacon DecPR","simulation"
11362,13478,"Gianduja2","Beacon DecPR","simulation"
11438,17254,"Gianduja2","Beacon DecPR","simulation"
11434,39786,"Gianduja2","Beacon DecPR","simulation"
11395,12071,"Gianduja2","Beacon DecPR","simulation"
11438,82478,"Gianduja2","Beacon DecPR","simulation"
11437,51590,"Gianduja2","Beacon DecPR","simulation"
11438,90271,"Gianduja2","Beacon DecPR","simulation"
11365,21440,"Gianduja2","Beacon DecPR","simulation"
11438,88504,"Gianduja2","Beacon DecPR","simulation"
11438,10126,"Gianduja2","Beacon DecPR","simulation"
11435,72952,"Gianduja2","Beacon DecPR","simulation"
11358,57303,"Gianduja2","Beacon DecPR","simulation"
11362,87190,"Gianduja2","Beacon DecPR","simulation"
11450,74278,"Gianduja2","Beacon DecPR","simulation"
11469,58122,"Gianduja2","Beacon DecPR","simulation"
11380,69996,"Gianduja2","Beacon DecPR","simulation"
11362,62778,"Gianduja2","Beacon DecPR","simulation"
11408,66277,"Gianduja2","Beacon DecPR","simulation"
11438,61464,"Gianduja2","Beacon DecPR","simulation"
11362,43039,"Gianduja2","Beacon DecPR","simulation"
11369,92123,"Gianduja2","Beacon DecPR","simulation"
11636,77088,"Gianduja2","Beacon DecPR","simulation"
11355,52577,"Gianduja2","Beacon DecPR","simulation"
11696,70407,"Gianduja2","Beacon DecPR","simulation"
11438,69179,"Gianduja2","Beacon DecPR","simulation"
11438,82028,"Gianduja2","Beacon DecPR","simulation"
11362,45716,"Gianduja2","Beacon DecPR","simulation"
11362,9989,"Gianduja2","Beacon DecPR","simulation"
11438,39975,"Gianduja2","Beacon DecPR","simulation"
11488,45670,"Gianduja2","Beacon DecPR","simulation"
11421,35842,"Gianduja2","Beacon DecPR","simulation"
11438,85831,"Gianduja2","Beacon DecPR","simulation"
11479,96278,"Gianduja2","Beacon DecPR","simulation"
11356,80536,"Gianduja2","Beacon DecPR","simulation"
11362,87372,"Gianduja2","Beacon DecPR","simulation"
11438,99892,"Gianduja2","Beacon DecPR","simulation"
11363,89604,"Gianduja2","Beacon DecPR","simulation"
11317,83114,"Gianduja2","Beacon DecPR","simulation"
11841,6497,"Gianduja2","Beacon DecPR","simulation"
11438,92972,"Gianduja2","Beacon DecPR","simulation"
11438,11535,"Gianduja2","Beacon DecPR","simulation"
11267,92749,"Gianduja2","Beacon DecPR","simulation"
11358,82858,"Gianduja2","Beacon DecPR","simulation"
11362,15932,"Gianduja2","Beacon DecPR","simulation"
11364,61397,"Gianduja2","Beacon DecPR","simulation"
11438,78113,"Gianduja2","Beacon DecPR","simulation"
11438,30010,"Gianduja2","Beacon DecPR","simulation"
11362,48677,"Gianduja2","Beacon DecPR","simulation"
11438,40027,"Gianduja2","Beacon DecPR","simulation"
11358,55937,"Gianduja2","Beacon DecPR","simulation"
11438,79284,"Gianduja2","Beacon DecPR","simulation"
11350,37609,"Gianduja2","Beacon DecPR","simulation"
11363,10327,"Gianduja2","Beacon DecPR","simulation"
11358,42676,"Gianduja2","Beacon DecPR","simulation"
11438,33507,"Gianduja2","Beacon DecPR","simulation"
11327,84383,"Gianduja2","Beacon DecPR","simulation"
11358,21087,"Gianduja2","Beacon DecPR","simulation"
11438,12499,"Gianduja2","Beacon DecPR","simulation"
11251,24034,"Gianduja2","Beacon DecPR","simulation"
11362,88644,"Gianduja2","Beacon DecPR","simulation"
11459,23820,"Gianduja2","Beacon DecPR","simulation"
11311,71629,"Gianduja2","Beacon DecPR","simulation"
11479,7732,"Gianduja2","Beacon DecPR","simulation"
11471,19319,"Gianduja2","Beacon DecPR","simulation"
11609,3365,"Gianduja2","Beacon DecPR","simulation"
11356,16774,"Gianduja2","Beacon DecPR","simulation"
11474,31355,"Gianduja2","Beacon DecPR","simulation"
11459,7638,"Gianduja2","Beacon DecPR","simulation"
11438,8528,"Gianduja2","Beacon DecPR","simulation"
11447,36091,"Gianduja2","Beacon DecPR","simulation"
11462,58938,"Gianduja2","Beacon DecPR","simulation"
11476,66126,"Gianduja2","Beacon DecPR","simulation"
11097,22108,"Gianduja2","Beacon DecPR","simulation"
11182,33965,"Gianduja2","Beacon DecPR","simulation"
11447,97046,"Gianduja2","Beacon DecPR","simulation"
11079,48792,"Gianduja2","Beacon DecPR","simulation"
11656,62804,"Gianduja2","Beacon DecPR","simulation"
10878,68988,"Gianduja2","Beacon DecPR","simulation"
15212,98128,"Gianduja2E","Beacon DecPR","simulation"
11567,78246,"Gianduja2E","Beacon DecPR","simulation"
11502,5081,"Gianduja2E","Beacon DecPR","simulation"
16028,51028,"Gianduja2E","Beacon DecPR","simulation"
14479,28832,"Gianduja2E","Beacon DecPR","simulation"
14840,37383,"Gianduja2E","Beacon DecPR","simulation"
11555,34385,"Gianduja2E","Beacon DecPR","simulation"
15553,96043,"Gianduja2E","Beacon DecPR","simulation"
15768,95415,"Gianduja2E","Beacon DecPR","simulation"
15226,9221,"Gianduja2E","Beacon DecPR","simulation"
19060,16672,"Gianduja2E","Beacon DecPR","simulation"
11568,14671,"Gianduja2E","Beacon DecPR","simulation"
10936,79820,"Gianduja2E","Beacon DecPR","simulation"
18891,7583,"Gianduja2E","Beacon DecPR","simulation"
18836,58134,"Gianduja2E","Beacon DecPR","simulation"
18642,94393,"Gianduja2E","Beacon DecPR","simulation"
13296,7548,"Gianduja2E","Beacon DecPR","simulation"
10129,19890,"Gianduja2E","Beacon DecPR","simulation"
11431,46885,"Gianduja2E","Beacon DecPR","simulation"
11484,52388,"Gianduja2E","Beacon DecPR","simulation"
18314,87754,"Gianduja2E","Beacon DecPR","simulation"
18798,47343,"Gianduja2E","Beacon DecPR","simulation"
12464,13478,"Gianduja2E","Beacon DecPR","simulation"
17190,17254,"Gianduja2E","Beacon DecPR","simulation"
17049,39786,"Gianduja2E","Beacon DecPR","simulation"
18888,12071,"Gianduja2E","Beacon DecPR","simulation"
18079,82478,"Gianduja2E","Beacon DecPR","simulation"
17988,51590,"Gianduja2E","Beacon DecPR","simulation"
19006,90271,"Gianduja2E","Beacon DecPR","simulation"
11625,21440,"Gianduja2E","Beacon DecPR","simulation"
18078,88504,"Gianduja2E","Beacon DecPR","simulation"
18464,10126,"Gianduja2E","Beacon DecPR","simulation"
17928,72952,"Gianduja2E","Beacon DecPR","simulation"
7885,57303,"Gianduja2E","Beacon DecPR","simulation"
12099,87190,"Gianduja2E","Beacon DecPR","simulation"
18489,74278,"Gianduja2E","Beacon DecPR","simulation"
18363,58122,"Gianduja2E","Beacon DecPR","simulation"
11504,69996,"Gianduja2E","Beacon DecPR","simulation"
11008,62778,"Gianduja2E","Beacon DecPR","simulation"
17494,66277,"Gianduja2E","Beacon DecPR","simulation"
18667,61464,"Gianduja2E","Beacon DecPR","simulation"
11362,43039,"Gianduja2E","Beacon DecPR","simulation"
11372,92123,"Gianduja2E","Beacon DecPR","simulation"
11435,77088,"Gianduja2E","Beacon DecPR","simulation"
11401,52577,"Gianduja2E","Beacon DecPR","simulation"
11362,70407,"Gianduja2E","Beacon DecPR","simulation"
11438,69179,"Gianduja2E","Beacon DecPR","simulation"
11438,82028,"Gianduja2E","Beacon DecPR","simulation"
11362,45716,"Gianduja2E","Beacon DecPR","simulation"
11362,9989,"Gianduja2E","Beacon DecPR","simulation"
18415,39975,"Gianduja2E","Beacon DecPR","simulation"
16857,45670,"Gianduja2E","Beacon DecPR","simulation"
17803,35842,"Gianduja2E","Beacon DecPR","simulation"
18639,85831,"Gianduja2E","Beacon DecPR","simulation"
17305,96278,"Gianduja2E","Beacon DecPR","simulation"
11283,80536,"Gianduja2E","Beacon DecPR","simulation"
11631,87372,"Gianduja2E","Beacon DecPR","simulation"
18029,99892,"Gianduja2E","Beacon DecPR","simulation"
10177,89604,"Gianduja2E","Beacon DecPR","simulation"
10012,83114,"Gianduja2E","Beacon DecPR","simulation"
14564,6497,"Gianduja2E","Beacon DecPR","simulation"
16100,92972,"Gianduja2E","Beacon DecPR","simulation"
11860,11535,"Gianduja2E","Beacon DecPR","simulation"
13555,92749,"Gianduja2E","Beacon DecPR","simulation"
8574,82858,"Gianduja2E","Beacon DecPR","simulation"
14441,15932,"Gianduja2E","Beacon DecPR","simulation"
15501,61397,"Gianduja2E","Beacon DecPR","simulation"
17120,78113,"Gianduja2E","Beacon DecPR","simulation"
14310,30010,"Gianduja2E","Beacon DecPR","simulation"
14875,48677,"Gianduja2E","Beacon DecPR","simulation"
19230,40027,"Gianduja2E","Beacon DecPR","simulation"
8311,55937,"Gianduja2E","Beacon DecPR","simulation"
18558,79284,"Gianduja2E","Beacon DecPR","simulation"
12276,37609,"Gianduja2E","Beacon DecPR","simulation"
14609,10327,"Gianduja2E","Beacon DecPR","simulation"
13581,42676,"Gianduja2E","Beacon DecPR","simulation"
20098,33507,"Gianduja2E","Beacon DecPR","simulation"
7511,84383,"Gianduja2E","Beacon DecPR","simulation"
8318,21087,"Gianduja2E","Beacon DecPR","simulation"
19542,12499,"Gianduja2E","Beacon DecPR","simulation"
10424,24034,"Gianduja2E","Beacon DecPR","simulation"
11777,88644,"Gianduja2E","Beacon DecPR","simulation"
18945,23820,"Gianduja2E","Beacon DecPR","simulation"
11099,71629,"Gianduja2E","Beacon DecPR","simulation"
17130,7732,"Gianduja2E","Beacon DecPR","simulation"
17333,19319,"Gianduja2E","Beacon DecPR","simulation"
17539,3365,"Gianduja2E","Beacon DecPR","simulation"
11571,16774,"Gianduja2E","Beacon DecPR","simulation"
14700,31355,"Gianduja2E","Beacon DecPR","simulation"
18750,7638,"Gianduja2E","Beacon DecPR","simulation"
12775,8528,"Gianduja2E","Beacon DecPR","simulation"
10282,36091,"Gianduja2E","Beacon DecPR","simulation"
13926,58938,"Gianduja2E","Beacon DecPR","simulation"
10777,66126,"Gianduja2E","Beacon DecPR","simulation"
14798,22108,"Gianduja2E","Beacon DecPR","simulation"
14964,33965,"Gianduja2E","Beacon DecPR","simulation"
10290,97046,"Gianduja2E","Beacon DecPR","simulation"
13866,48792,"Gianduja2E","Beacon DecPR","simulation"
14216,62804,"Gianduja2E","Beacon DecPR","simulation"
14681,68988,"Gianduja2E","Beacon DecPR","simulation"
7160,98128,"EvoCom2","Beacon DecPR","simulation"
14502,78246,"EvoCom2","Beacon DecPR","simulation"
14753,5081,"EvoCom2","Beacon DecPR","simulation"
6906,51028,"EvoCom2","Beacon DecPR","simulation"
8252,28832,"EvoCom2","Beacon DecPR","simulation"
7324,37383,"EvoCom2","Beacon DecPR","simulation"
13233,34385,"EvoCom2","Beacon DecPR","simulation"
6936,96043,"EvoCom2","Beacon DecPR","simulation"
8505,95415,"EvoCom2","Beacon DecPR","simulation"
7116,9221,"EvoCom2","Beacon DecPR","simulation"
17272,16672,"EvoCom2","Beacon DecPR","simulation"
7704,14671,"EvoCom2","Beacon DecPR","simulation"
7588,79820,"EvoCom2","Beacon DecPR","simulation"
16164,7583,"EvoCom2","Beacon DecPR","simulation"
17242,58134,"EvoCom2","Beacon DecPR","simulation"
15615,94393,"EvoCom2","Beacon DecPR","simulation"
7738,7548,"EvoCom2","Beacon DecPR","simulation"
7537,19890,"EvoCom2","Beacon DecPR","simulation"
8547,46885,"EvoCom2","Beacon DecPR","simulation"
8678,52388,"EvoCom2","Beacon DecPR","simulation"
12151,87754,"EvoCom2","Beacon DecPR","simulation"
13141,47343,"EvoCom2","Beacon DecPR","simulation"
10248,13478,"EvoCom2","Beacon DecPR","simulation"
12130,17254,"EvoCom2","Beacon DecPR","simulation"
13352,39786,"EvoCom2","Beacon DecPR","simulation"
11974,12071,"EvoCom2","Beacon DecPR","simulation"
12161,82478,"EvoCom2","Beacon DecPR","simulation"
11995,51590,"EvoCom2","Beacon DecPR","simulation"
12275,90271,"EvoCom2","Beacon DecPR","simulation"
9281,21440,"EvoCom2","Beacon DecPR","simulation"
14129,88504,"EvoCom2","Beacon DecPR","simulation"
13945,10126,"EvoCom2","Beacon DecPR","simulation"
15699,72952,"EvoCom2","Beacon DecPR","simulation"
8179,57303,"EvoCom2","Beacon DecPR","simulation"
8271,87190,"EvoCom2","Beacon DecPR","simulation"
15555,74278,"EvoCom2","Beacon DecPR","simulation"
14575,58122,"EvoCom2","Beacon DecPR","simulation"
8945,69996,"EvoCom2","Beacon DecPR","simulation"
10106,62778,"EvoCom2","Beacon DecPR","simulation"
