"score","seed","alg","task","real"
12752,98128,"Evocom3","Beacon Stop","simulation"
13446,78246,"Evocom3","Beacon Stop","simulation"
11265,5081,"Evocom3","Beacon Stop","simulation"
13486,51028,"Evocom3","Beacon Stop","simulation"
12766,28832,"Evocom3","Beacon Stop","simulation"
13870,37383,"Evocom3","Beacon Stop","simulation"
16921,34385,"Evocom3","Beacon Stop","simulation"
13327,96043,"Evocom3","Beacon Stop","simulation"
13221,95415,"Evocom3","Beacon Stop","simulation"
14076,9221,"Evocom3","Beacon Stop","simulation"
17500,98128,"Gianduja3","Beacon Stop","simulation"
19663,78246,"Gianduja3","Beacon Stop","simulation"
22407,5081,"Gianduja3","Beacon Stop","simulation"
16551,51028,"Gianduja3","Beacon Stop","simulation"
12216,28832,"Gianduja3","Beacon Stop","simulation"
22277,37383,"Gianduja3","Beacon Stop","simulation"
14706,34385,"Gianduja3","Beacon Stop","simulation"
15065,96043,"Gianduja3","Beacon Stop","simulation"
13556,95415,"Gianduja3","Beacon Stop","simulation"
21887,9221,"Gianduja3","Beacon Stop","simulation"
22504,98128,"Gianduja3E","Beacon Stop","simulation"
23116,78246,"Gianduja3E","Beacon Stop","simulation"
22441,5081,"Gianduja3E","Beacon Stop","simulation"
21991,51028,"Gianduja3E","Beacon Stop","simulation"
21635,28832,"Gianduja3E","Beacon Stop","simulation"
22189,37383,"Gianduja3E","Beacon Stop","simulation"
23068,34385,"Gianduja3E","Beacon Stop","simulation"
22172,96043,"Gianduja3E","Beacon Stop","simulation"
22186,95415,"Gianduja3E","Beacon Stop","simulation"
22050,9221,"Gianduja3E","Beacon Stop","simulation"
