"score","seed","alg","task","real"
13748,98128,"EvoCom3","Beacon Aggregation","simulation"
10124,78246,"EvoCom3","Beacon Aggregation","simulation"
3499,5081,"EvoCom3","Beacon Aggregation","simulation"
8696,51028,"EvoCom3","Beacon Aggregation","simulation"
9585,28832,"EvoCom3","Beacon Aggregation","simulation"
7844,37383,"EvoCom3","Beacon Aggregation","simulation"
11992,34385,"EvoCom3","Beacon Aggregation","simulation"
4987,96043,"EvoCom3","Beacon Aggregation","simulation"
8508,95415,"EvoCom3","Beacon Aggregation","simulation"
11525,9221,"EvoCom3","Beacon Aggregation","simulation"
7738,98128,"Gianduja3","Beacon Aggregation","simulation"
8714,78246,"Gianduja3","Beacon Aggregation","simulation"
8015,5081,"Gianduja3","Beacon Aggregation","simulation"
8931,51028,"Gianduja3","Beacon Aggregation","simulation"
6415,28832,"Gianduja3","Beacon Aggregation","simulation"
5596,37383,"Gianduja3","Beacon Aggregation","simulation"
5762,34385,"Gianduja3","Beacon Aggregation","simulation"
11159,96043,"Gianduja3","Beacon Aggregation","simulation"
6013,95415,"Gianduja3","Beacon Aggregation","simulation"
7637,9221,"Gianduja3","Beacon Aggregation","simulation"
10824,98128,"Gianduja3E","Beacon Aggregation","simulation"
5904,78246,"Gianduja3E","Beacon Aggregation","simulation"
5941,5081,"Gianduja3E","Beacon Aggregation","simulation"
7724,51028,"Gianduja3E","Beacon Aggregation","simulation"
9777,28832,"Gianduja3E","Beacon Aggregation","simulation"
8041,37383,"Gianduja3E","Beacon Aggregation","simulation"
9318,34385,"Gianduja3E","Beacon Aggregation","simulation"
6399,96043,"Gianduja3E","Beacon Aggregation","simulation"
7981,95415,"Gianduja3E","Beacon Aggregation","simulation"
5301,9221,"Gianduja3E","Beacon Aggregation","simulation"
