"score","seed","alg","task","real"
4930,98128,"Gianduja3","Beacon AggregationPR","simulation"
8573,78246,"Gianduja3","Beacon AggregationPR","simulation"
6773,5081,"Gianduja3","Beacon AggregationPR","simulation"
2053,51028,"Gianduja3","Beacon AggregationPR","simulation"
9766,28832,"Gianduja3","Beacon AggregationPR","simulation"
5961,37383,"Gianduja3","Beacon AggregationPR","simulation"
11204,34385,"Gianduja3","Beacon AggregationPR","simulation"
9524,96043,"Gianduja3","Beacon AggregationPR","simulation"
6910,95415,"Gianduja3","Beacon AggregationPR","simulation"
6731,9221,"Gianduja3","Beacon AggregationPR","simulation"
9063,16672,"Gianduja3","Beacon AggregationPR","simulation"
8429,14671,"Gianduja3","Beacon AggregationPR","simulation"
9072,79820,"Gianduja3","Beacon AggregationPR","simulation"
6608,7583,"Gianduja3","Beacon AggregationPR","simulation"
7576,58134,"Gianduja3","Beacon AggregationPR","simulation"
9164,94393,"Gianduja3","Beacon AggregationPR","simulation"
7931,7548,"Gianduja3","Beacon AggregationPR","simulation"
5944,19890,"Gianduja3","Beacon AggregationPR","simulation"
10330,46885,"Gianduja3","Beacon AggregationPR","simulation"
9914,52388,"Gianduja3","Beacon AggregationPR","simulation"
8563,87754,"Gianduja3","Beacon AggregationPR","simulation"
5794,47343,"Gianduja3","Beacon AggregationPR","simulation"
9259,13478,"Gianduja3","Beacon AggregationPR","simulation"
8154,17254,"Gianduja3","Beacon AggregationPR","simulation"
6084,39786,"Gianduja3","Beacon AggregationPR","simulation"
9092,12071,"Gianduja3","Beacon AggregationPR","simulation"
6540,82478,"Gianduja3","Beacon AggregationPR","simulation"
6296,51590,"Gianduja3","Beacon AggregationPR","simulation"
9289,90271,"Gianduja3","Beacon AggregationPR","simulation"
8019,21440,"Gianduja3","Beacon AggregationPR","simulation"
10905,88504,"Gianduja3","Beacon AggregationPR","simulation"
10423,10126,"Gianduja3","Beacon AggregationPR","simulation"
5677,72952,"Gianduja3","Beacon AggregationPR","simulation"
7150,57303,"Gianduja3","Beacon AggregationPR","simulation"
5217,87190,"Gianduja3","Beacon AggregationPR","simulation"
7405,74278,"Gianduja3","Beacon AggregationPR","simulation"
6738,58122,"Gianduja3","Beacon AggregationPR","simulation"
8182,69996,"Gianduja3","Beacon AggregationPR","simulation"
6567,62778,"Gianduja3","Beacon AggregationPR","simulation"
9128,66277,"Gianduja3","Beacon AggregationPR","simulation"
8631,61464,"Gianduja3","Beacon AggregationPR","simulation"
6999,43039,"Gianduja3","Beacon AggregationPR","simulation"
9356,92123,"Gianduja3","Beacon AggregationPR","simulation"
5578,77088,"Gianduja3","Beacon AggregationPR","simulation"
4955,52577,"Gianduja3","Beacon AggregationPR","simulation"
6678,70407,"Gianduja3","Beacon AggregationPR","simulation"
9984,69179,"Gianduja3","Beacon AggregationPR","simulation"
7780,82028,"Gianduja3","Beacon AggregationPR","simulation"
8521,45716,"Gianduja3","Beacon AggregationPR","simulation"
8063,9989,"Gianduja3","Beacon AggregationPR","simulation"
6638,39975,"Gianduja3","Beacon AggregationPR","simulation"
10271,45670,"Gianduja3","Beacon AggregationPR","simulation"
8570,35842,"Gianduja3","Beacon AggregationPR","simulation"
9146,85831,"Gianduja3","Beacon AggregationPR","simulation"
6506,96278,"Gianduja3","Beacon AggregationPR","simulation"
5169,80536,"Gianduja3","Beacon AggregationPR","simulation"
7390,87372,"Gianduja3","Beacon AggregationPR","simulation"
9623,99892,"Gianduja3","Beacon AggregationPR","simulation"
7367,89604,"Gianduja3","Beacon AggregationPR","simulation"
6631,83114,"Gianduja3","Beacon AggregationPR","simulation"
7774,6497,"Gianduja3","Beacon AggregationPR","simulation"
5338,92972,"Gianduja3","Beacon AggregationPR","simulation"
6427,11535,"Gianduja3","Beacon AggregationPR","simulation"
8228,92749,"Gianduja3","Beacon AggregationPR","simulation"
7292,82858,"Gianduja3","Beacon AggregationPR","simulation"
8204,15932,"Gianduja3","Beacon AggregationPR","simulation"
7329,61397,"Gianduja3","Beacon AggregationPR","simulation"
7106,78113,"Gianduja3","Beacon AggregationPR","simulation"
8939,30010,"Gianduja3","Beacon AggregationPR","simulation"
5316,48677,"Gianduja3","Beacon AggregationPR","simulation"
5749,40027,"Gianduja3","Beacon AggregationPR","simulation"
9788,55937,"Gianduja3","Beacon AggregationPR","simulation"
7769,79284,"Gianduja3","Beacon AggregationPR","simulation"
6785,37609,"Gianduja3","Beacon AggregationPR","simulation"
8541,10327,"Gianduja3","Beacon AggregationPR","simulation"
8642,42676,"Gianduja3","Beacon AggregationPR","simulation"
9700,33507,"Gianduja3","Beacon AggregationPR","simulation"
6967,84383,"Gianduja3","Beacon AggregationPR","simulation"
7382,21087,"Gianduja3","Beacon AggregationPR","simulation"
6302,12499,"Gianduja3","Beacon AggregationPR","simulation"
9415,24034,"Gianduja3","Beacon AggregationPR","simulation"
7363,88644,"Gianduja3","Beacon AggregationPR","simulation"
5596,23820,"Gianduja3","Beacon AggregationPR","simulation"
4537,71629,"Gianduja3","Beacon AggregationPR","simulation"
11157,7732,"Gianduja3","Beacon AggregationPR","simulation"
7227,19319,"Gianduja3","Beacon AggregationPR","simulation"
7148,3365,"Gianduja3","Beacon AggregationPR","simulation"
5832,16774,"Gianduja3","Beacon AggregationPR","simulation"
9924,31355,"Gianduja3","Beacon AggregationPR","simulation"
9732,7638,"Gianduja3","Beacon AggregationPR","simulation"
5073,8528,"Gianduja3","Beacon AggregationPR","simulation"
7872,36091,"Gianduja3","Beacon AggregationPR","simulation"
7517,58938,"Gianduja3","Beacon AggregationPR","simulation"
4954,66126,"Gianduja3","Beacon AggregationPR","simulation"
9637,22108,"Gianduja3","Beacon AggregationPR","simulation"
6362,33965,"Gianduja3","Beacon AggregationPR","simulation"
4982,97046,"Gianduja3","Beacon AggregationPR","simulation"
7854,48792,"Gianduja3","Beacon AggregationPR","simulation"
6224,62804,"Gianduja3","Beacon AggregationPR","simulation"
7670,68988,"Gianduja3","Beacon AggregationPR","simulation"
10824,98128,"Gianduja3E","Beacon AggregationPR","simulation"
5824,78246,"Gianduja3E","Beacon AggregationPR","simulation"
10664,5081,"Gianduja3E","Beacon AggregationPR","simulation"
5682,51028,"Gianduja3E","Beacon AggregationPR","simulation"
5275,28832,"Gianduja3E","Beacon AggregationPR","simulation"
8188,37383,"Gianduja3E","Beacon AggregationPR","simulation"
9887,34385,"Gianduja3E","Beacon AggregationPR","simulation"
8558,96043,"Gianduja3E","Beacon AggregationPR","simulation"
7754,95415,"Gianduja3E","Beacon AggregationPR","simulation"
9396,9221,"Gianduja3E","Beacon AggregationPR","simulation"
5041,16672,"Gianduja3E","Beacon AggregationPR","simulation"
7028,14671,"Gianduja3E","Beacon AggregationPR","simulation"
6842,79820,"Gianduja3E","Beacon AggregationPR","simulation"
6298,7583,"Gianduja3E","Beacon AggregationPR","simulation"
7682,58134,"Gianduja3E","Beacon AggregationPR","simulation"
6041,94393,"Gianduja3E","Beacon AggregationPR","simulation"
3825,7548,"Gianduja3E","Beacon AggregationPR","simulation"
6159,19890,"Gianduja3E","Beacon AggregationPR","simulation"
5971,46885,"Gianduja3E","Beacon AggregationPR","simulation"
7291,52388,"Gianduja3E","Beacon AggregationPR","simulation"
7532,87754,"Gianduja3E","Beacon AggregationPR","simulation"
9370,47343,"Gianduja3E","Beacon AggregationPR","simulation"
5488,13478,"Gianduja3E","Beacon AggregationPR","simulation"
10705,17254,"Gianduja3E","Beacon AggregationPR","simulation"
5854,39786,"Gianduja3E","Beacon AggregationPR","simulation"
8121,12071,"Gianduja3E","Beacon AggregationPR","simulation"
8278,82478,"Gianduja3E","Beacon AggregationPR","simulation"
7564,51590,"Gianduja3E","Beacon AggregationPR","simulation"
10745,90271,"Gianduja3E","Beacon AggregationPR","simulation"
7736,21440,"Gianduja3E","Beacon AggregationPR","simulation"
8498,88504,"Gianduja3E","Beacon AggregationPR","simulation"
9350,10126,"Gianduja3E","Beacon AggregationPR","simulation"
