"score","seed","alg","task","real"
11127,98128,"Gianduja3","Beacon Dec","simulation"
11095,78246,"Gianduja3","Beacon Dec","simulation"
11750,5081,"Gianduja3","Beacon Dec","simulation"
11405,51028,"Gianduja3","Beacon Dec","simulation"
10896,28832,"Gianduja3","Beacon Dec","simulation"
11549,37383,"Gianduja3","Beacon Dec","simulation"
11452,34385,"Gianduja3","Beacon Dec","simulation"
11202,96043,"Gianduja3","Beacon Dec","simulation"
11220,95415,"Gianduja3","Beacon Dec","simulation"
11602,9221,"Gianduja3","Beacon Dec","simulation"
11185,16672,"Gianduja3","Beacon Dec","simulation"
11362,14671,"Gianduja3","Beacon Dec","simulation"
11362,79820,"Gianduja3","Beacon Dec","simulation"
11438,7583,"Gianduja3","Beacon Dec","simulation"
11438,58134,"Gianduja3","Beacon Dec","simulation"
11438,94393,"Gianduja3","Beacon Dec","simulation"
11362,7548,"Gianduja3","Beacon Dec","simulation"
11362,19890,"Gianduja3","Beacon Dec","simulation"
11362,46885,"Gianduja3","Beacon Dec","simulation"
11362,52388,"Gianduja3","Beacon Dec","simulation"
11438,87754,"Gianduja3","Beacon Dec","simulation"
11438,47343,"Gianduja3","Beacon Dec","simulation"
11362,13478,"Gianduja3","Beacon Dec","simulation"
11438,17254,"Gianduja3","Beacon Dec","simulation"
11434,39786,"Gianduja3","Beacon Dec","simulation"
11438,12071,"Gianduja3","Beacon Dec","simulation"
11438,82478,"Gianduja3","Beacon Dec","simulation"
11437,51590,"Gianduja3","Beacon Dec","simulation"
11438,90271,"Gianduja3","Beacon Dec","simulation"
11362,21440,"Gianduja3","Beacon Dec","simulation"
13086,88504,"Gianduja3","Beacon Dec","simulation"
14268,10126,"Gianduja3","Beacon Dec","simulation"
12501,72952,"Gianduja3","Beacon Dec","simulation"
9202,57303,"Gianduja3","Beacon Dec","simulation"
9601,87190,"Gianduja3","Beacon Dec","simulation"
14155,74278,"Gianduja3","Beacon Dec","simulation"
12412,58122,"Gianduja3","Beacon Dec","simulation"
9685,69996,"Gianduja3","Beacon Dec","simulation"
8824,62778,"Gianduja3","Beacon Dec","simulation"
13569,66277,"Gianduja3","Beacon Dec","simulation"
11396,61464,"Gianduja3","Beacon Dec","simulation"
10744,43039,"Gianduja3","Beacon Dec","simulation"
11150,92123,"Gianduja3","Beacon Dec","simulation"
11566,77088,"Gianduja3","Beacon Dec","simulation"
11464,52577,"Gianduja3","Beacon Dec","simulation"
11437,70407,"Gianduja3","Beacon Dec","simulation"
11438,69179,"Gianduja3","Beacon Dec","simulation"
11406,82028,"Gianduja3","Beacon Dec","simulation"
11674,45716,"Gianduja3","Beacon Dec","simulation"
11484,9989,"Gianduja3","Beacon Dec","simulation"
11688,39975,"Gianduja3","Beacon Dec","simulation"
11374,45670,"Gianduja3","Beacon Dec","simulation"
11438,35842,"Gianduja3","Beacon Dec","simulation"
11374,85831,"Gianduja3","Beacon Dec","simulation"
11875,96278,"Gianduja3","Beacon Dec","simulation"
11372,80536,"Gianduja3","Beacon Dec","simulation"
11362,87372,"Gianduja3","Beacon Dec","simulation"
11438,99892,"Gianduja3","Beacon Dec","simulation"
10134,89604,"Gianduja3","Beacon Dec","simulation"
11329,83114,"Gianduja3","Beacon Dec","simulation"
11737,6497,"Gianduja3","Beacon Dec","simulation"
11438,92972,"Gianduja3","Beacon Dec","simulation"
11445,11535,"Gianduja3","Beacon Dec","simulation"
11503,92749,"Gianduja3","Beacon Dec","simulation"
11366,82858,"Gianduja3","Beacon Dec","simulation"
11322,15932,"Gianduja3","Beacon Dec","simulation"
11343,61397,"Gianduja3","Beacon Dec","simulation"
11525,78113,"Gianduja3","Beacon Dec","simulation"
11438,30010,"Gianduja3","Beacon Dec","simulation"
11362,48677,"Gianduja3","Beacon Dec","simulation"
11787,40027,"Gianduja3","Beacon Dec","simulation"
11363,55937,"Gianduja3","Beacon Dec","simulation"
11149,79284,"Gianduja3","Beacon Dec","simulation"
10641,37609,"Gianduja3","Beacon Dec","simulation"
10192,10327,"Gianduja3","Beacon Dec","simulation"
11025,42676,"Gianduja3","Beacon Dec","simulation"
10051,33507,"Gianduja3","Beacon Dec","simulation"
13017,84383,"Gianduja3","Beacon Dec","simulation"
12556,21087,"Gianduja3","Beacon Dec","simulation"
11068,12499,"Gianduja3","Beacon Dec","simulation"
11362,24034,"Gianduja3","Beacon Dec","simulation"
11362,88644,"Gianduja3","Beacon Dec","simulation"
11438,23820,"Gianduja3","Beacon Dec","simulation"
11362,71629,"Gianduja3","Beacon Dec","simulation"
11482,7732,"Gianduja3","Beacon Dec","simulation"
11487,19319,"Gianduja3","Beacon Dec","simulation"
11487,3365,"Gianduja3","Beacon Dec","simulation"
11379,16774,"Gianduja3","Beacon Dec","simulation"
12140,31355,"Gianduja3","Beacon Dec","simulation"
11749,7638,"Gianduja3","Beacon Dec","simulation"
11438,8528,"Gianduja3","Beacon Dec","simulation"
11450,36091,"Gianduja3","Beacon Dec","simulation"
11438,58938,"Gianduja3","Beacon Dec","simulation"
11438,66126,"Gianduja3","Beacon Dec","simulation"
11362,22108,"Gianduja3","Beacon Dec","simulation"
11360,33965,"Gianduja3","Beacon Dec","simulation"
11438,97046,"Gianduja3","Beacon Dec","simulation"
11362,48792,"Gianduja3","Beacon Dec","simulation"
11344,62804,"Gianduja3","Beacon Dec","simulation"
11362,68988,"Gianduja3","Beacon Dec","simulation"
13476,98128,"Gianduja3E","Beacon Dec","simulation"
18504,78246,"Gianduja3E","Beacon Dec","simulation"
18796,5081,"Gianduja3E","Beacon Dec","simulation"
12801,51028,"Gianduja3E","Beacon Dec","simulation"
12514,28832,"Gianduja3E","Beacon Dec","simulation"
11877,37383,"Gianduja3E","Beacon Dec","simulation"
17880,34385,"Gianduja3E","Beacon Dec","simulation"
13299,96043,"Gianduja3E","Beacon Dec","simulation"
12085,95415,"Gianduja3E","Beacon Dec","simulation"
12525,9221,"Gianduja3E","Beacon Dec","simulation"
17521,16672,"Gianduja3E","Beacon Dec","simulation"
13598,14671,"Gianduja3E","Beacon Dec","simulation"
12580,79820,"Gianduja3E","Beacon Dec","simulation"
19145,7583,"Gianduja3E","Beacon Dec","simulation"
18647,58134,"Gianduja3E","Beacon Dec","simulation"
18427,94393,"Gianduja3E","Beacon Dec","simulation"
13007,7548,"Gianduja3E","Beacon Dec","simulation"
11705,19890,"Gianduja3E","Beacon Dec","simulation"
13865,46885,"Gianduja3E","Beacon Dec","simulation"
12068,52388,"Gianduja3E","Beacon Dec","simulation"
16058,87754,"Gianduja3E","Beacon Dec","simulation"
16578,47343,"Gianduja3E","Beacon Dec","simulation"
11606,13478,"Gianduja3E","Beacon Dec","simulation"
17345,17254,"Gianduja3E","Beacon Dec","simulation"
16375,39786,"Gianduja3E","Beacon Dec","simulation"
17894,12071,"Gianduja3E","Beacon Dec","simulation"
16345,82478,"Gianduja3E","Beacon Dec","simulation"
17687,51590,"Gianduja3E","Beacon Dec","simulation"
18027,90271,"Gianduja3E","Beacon Dec","simulation"
11230,21440,"Gianduja3E","Beacon Dec","simulation"
16919,88504,"Gianduja3E","Beacon Dec","simulation"
17401,10126,"Gianduja3E","Beacon Dec","simulation"
17494,72952,"Gianduja3E","Beacon Dec","simulation"
9222,57303,"Gianduja3E","Beacon Dec","simulation"
9525,87190,"Gianduja3E","Beacon Dec","simulation"
19645,74278,"Gianduja3E","Beacon Dec","simulation"
15315,58122,"Gianduja3E","Beacon Dec","simulation"
11117,69996,"Gianduja3E","Beacon Dec","simulation"
