"score","seed","alg","task","real"
17500,98128,"Gianduja3","Beacon StopPR","simulation"
19644,78246,"Gianduja3","Beacon StopPR","simulation"
19177,5081,"Gianduja3","Beacon StopPR","simulation"
16676,51028,"Gianduja3","Beacon StopPR","simulation"
18539,28832,"Gianduja3","Beacon StopPR","simulation"
19666,37383,"Gianduja3","Beacon StopPR","simulation"
19144,34385,"Gianduja3","Beacon StopPR","simulation"
17057,96043,"Gianduja3","Beacon StopPR","simulation"
17849,95415,"Gianduja3","Beacon StopPR","simulation"
15707,9221,"Gianduja3","Beacon StopPR","simulation"
18508,16672,"Gianduja3","Beacon StopPR","simulation"
16449,14671,"Gianduja3","Beacon StopPR","simulation"
15928,79820,"Gianduja3","Beacon StopPR","simulation"
17582,7583,"Gianduja3","Beacon StopPR","simulation"
18099,58134,"Gianduja3","Beacon StopPR","simulation"
18324,94393,"Gianduja3","Beacon StopPR","simulation"
17487,7548,"Gianduja3","Beacon StopPR","simulation"
17296,19890,"Gianduja3","Beacon StopPR","simulation"
18489,46885,"Gianduja3","Beacon StopPR","simulation"
17630,52388,"Gianduja3","Beacon StopPR","simulation"
21884,87754,"Gianduja3","Beacon StopPR","simulation"
17461,47343,"Gianduja3","Beacon StopPR","simulation"
20747,13478,"Gianduja3","Beacon StopPR","simulation"
22213,17254,"Gianduja3","Beacon StopPR","simulation"
20080,39786,"Gianduja3","Beacon StopPR","simulation"
22380,12071,"Gianduja3","Beacon StopPR","simulation"
20634,82478,"Gianduja3","Beacon StopPR","simulation"
21922,51590,"Gianduja3","Beacon StopPR","simulation"
19236,90271,"Gianduja3","Beacon StopPR","simulation"
21936,21440,"Gianduja3","Beacon StopPR","simulation"
17523,88504,"Gianduja3","Beacon StopPR","simulation"
16439,10126,"Gianduja3","Beacon StopPR","simulation"
17629,72952,"Gianduja3","Beacon StopPR","simulation"
17043,57303,"Gianduja3","Beacon StopPR","simulation"
14835,87190,"Gianduja3","Beacon StopPR","simulation"
18177,74278,"Gianduja3","Beacon StopPR","simulation"
16562,58122,"Gianduja3","Beacon StopPR","simulation"
17931,69996,"Gianduja3","Beacon StopPR","simulation"
16041,62778,"Gianduja3","Beacon StopPR","simulation"
15254,66277,"Gianduja3","Beacon StopPR","simulation"
15264,61464,"Gianduja3","Beacon StopPR","simulation"
12672,43039,"Gianduja3","Beacon StopPR","simulation"
13115,92123,"Gianduja3","Beacon StopPR","simulation"
12732,77088,"Gianduja3","Beacon StopPR","simulation"
12831,52577,"Gianduja3","Beacon StopPR","simulation"
